[236.24495659 335.59805582],[276.62209136 330.40352516],[302.51587073 307.51080323],[323.67176811 284.17389479],[338.06193452 266.04467396],[278.53604759 261.25967904],[306.67623166 238.34699648],[326.53681285 234.00319012],[340.94552584 231.55569184],[259.02436071 248.29329446],[268.44714005 211.757203  ],[280.94605481 182.237754  ],[295.0695292 157.7094007],[238.53375506 244.68972287],[229.90293956 210.38455797],[229.50409959 181.14992842],[234.5323686  156.74478233],[222.03681298 251.77001954],[209.92676212 220.85905352],[205.56801542 196.35722069],[203.85742192 173.13993763]
[240.27429393 356.23939415],[269.88340724 349.85365182],[293.31911739 321.70610417],[305.89737389 295.57891292],[307.63988537 281.39318157],[270.91702421 281.0188601 ],[290.19271449 261.13766752],[299.39165582 264.99910112],[304.19033937 268.46299216],[249.54929253 272.57545541],[254.30502932 232.10693071],[260.21967283 202.60558505],[265.37358082 177.50464379],[229.48147178 274.30043551],[220.43504029 238.78562119],[218.40527511 207.8871637 ],[218.22501109 180.29864406],[212.74263762 286.44059775],[198.8642788  260.08326219],[189.76278291 242.76920385],[180.98042471 224.93641278]
[227.89410453 359.03663371],[261.83548095 350.60636813],[289.76291661 320.13507537],[302.01037259 292.46313625],[299.92000228 278.95708224],[262.14770934 270.83248464],[275.87569669 245.10597151],[283.94028533 235.06098524],[287.34599269 228.83655034],[237.91370202 264.2983687 ],[239.71064207 220.50360299],[245.08368052 189.95233324],[247.72554407 167.92223987],[215.43890064 269.49489802],[210.27039121 230.80117503],[206.60932056 198.68641636],[204.34928259 171.26887907],[196.25786607 286.67282943],[185.97312178 259.38853748],[175.68079308 245.52055949],[166.41962119 231.88878694]
[224.01302122 362.32778176],[260.41716616 350.84131745],[286.59452616 320.12213947],[297.04383236 294.25653229],[297.83184805 280.18553938],[256.50683835 267.33886422],[269.97886341 240.64929767],[279.77671244 230.54572985],[285.2378475  224.76629725],[233.21840465 262.15337348],[234.26666427 217.1535575 ],[239.0828904  187.31228205],[242.51914032 163.54899846],[210.82576275 268.76186847],[206.05336438 230.81685129],[202.3783691  199.72012656],[200.31140643 172.02317305],[191.39435144 286.45575035],[178.82488493 261.2049238 ],[169.14187267 244.9453905 ],[161.11301968 226.96086047]
[225.77504707 363.99410777],[259.31199251 351.50779632],[285.96756776 323.44584408],[302.02091425 298.27378795],[308.37735353 286.98677144],[259.77756762 273.84435231],[276.84731132 252.96177556],[291.19976761 252.09485473],[298.64698574 254.40520981],[235.43712305 265.67801317],[235.02402196 220.54375615],[243.77117019 189.92167145],[250.34984798 165.07781063],[211.17094162 270.14562374],[198.5915047  232.91205266],[198.1350472  199.69336536],[198.77307794 170.94656439],[191.33674784 285.882721  ],[174.18315666 260.78958766],[164.90770418 237.95728289],[156.66937611 213.6794955 ]
[217.1998153  373.71351206],[257.42659406 356.01834383],[287.08774744 326.31345519],[309.0245795  301.78870579],[310.84549908 290.62944116],[264.23481194 279.93001594],[283.32421239 254.18461699],[293.48264261 245.70649416],[293.6094908 241.1677605],[236.92844652 279.56078201],[234.92991627 223.80508617],[240.24350472 182.23501533],[241.0113689  143.23727047],[210.83138602 285.91518487],[202.0574942  236.43029736],[203.85796189 196.82917567],[205.67619492 162.13177477],[190.87092526 298.55404358],[172.85093064 264.81570098],[163.47110271 243.60579452],[154.79295171 219.76741757]
[219.53337615 379.38684561],[263.02201653 363.3306718 ],[297.58284344 329.98663944],[317.2076269  302.83899729],[320.54400551 283.74046556],[268.78827835 275.62830099],[290.30038856 249.98714976],[304.80943625 240.51645658],[311.97431834 234.62028713],[240.5967399  270.39982362],[244.28260233 218.86952292],[249.17174413 178.28007472],[253.7727123  142.27487705],[211.40603006 276.69099367],[202.85685567 234.79693567],[197.66970864 194.04437116],[194.04596534 158.41619697],[188.11842487 292.45018352],[173.69429417 266.69040148],[163.9110209  245.82135752],[156.15486385 224.09915261]
[226.60111768 361.31395873],[274.8932608  343.84629726],[304.29741071 325.09073369],[327.27207291 307.93872586],[335.78794997 300.33098449],[279.33640304 272.78087821],[302.21333302 255.06715566],[313.22549428 264.04626757],[313.01383133 267.69822649],[247.19768256 269.65419026],[249.33502358 214.78440559],[255.40796363 181.1545722 ],[253.56292856 148.06589619],[222.77460966 271.99616338],[210.25884471 223.9416745 ],[211.25640649 185.34562489],[210.36111512 152.02614397],[204.03688192 285.30977934],[187.90287253 251.4903132 ],[180.35802912 231.71247536],[171.88562858 208.86330851]
[246.47254155 361.42303124],[290.30222801 348.83831481],[317.02052084 321.54255621],[335.33939348 297.24140929],[340.63463906 285.83779417],[293.27396002 267.28704504],[318.04063859 248.7038842 ],[332.18005806 256.44327852],[338.26324937 263.69702821],[268.1669726  261.15115853],[267.75963455 214.42682645],[274.59522238 178.77545929],[279.08135663 144.88884195],[242.17257312 264.11103176],[228.26500147 222.06096306],[228.72018432 184.38101971],[231.83060514 149.26234897],[220.83499989 276.62648218],[198.82858884 247.16856657],[188.3615593  221.94243873],[179.54280411 190.05881991]
[265.42824828 329.24539558],[307.75099944 327.70262728],[335.80489655 307.39708671],[359.38184775 290.34799681],[368.64867983 287.67727268],[309.80167409 253.35954572],[331.60042272 232.80580968],[341.52969572 236.16800812],[346.20196313 235.07881772],[280.75539315 247.88233862],[278.95578782 202.85643303],[281.17537197 172.04514885],[281.42685949 142.33685359],[254.71376396 248.82751211],[237.44145385 207.46930796],[235.56762825 172.2284393 ],[235.45937698 143.43272077],[234.58497771 259.66514552],[211.44270965 228.03650575],[205.26354089 205.27851431],[201.79512554 182.94636077]
[283.91525749 337.88676828],[327.92449874 321.74814183],[355.49759825 295.83420567],[376.8225209  270.95814456],[381.98862456 256.90716083],[328.06974204 240.27570488],[355.90764594 217.08160961],[370.51165978 225.1860431 ],[376.83549692 231.82153079],[303.39640616 232.08148069],[306.76215967 184.47972966],[317.28696779 149.03621971],[324.70310502 118.20844222],[280.60117937 233.56225736],[263.96930861 192.88780719],[259.75782358 152.93154083],[258.45079312 118.47695874],[261.90047588 245.67633658],[245.17638066 216.53522748],[241.72698469 194.79804445],[239.67897197 170.36838406]
[293.47939422 298.7810244 ],[347.06162129 288.5508079 ],[373.27826916 263.16897485],[395.69050332 244.91907565],[400.54554074 242.54100088],[348.43748119 217.79261809],[375.91175368 202.71548416],[384.11331226 217.2771986 ],[378.22196115 223.83598174],[322.09979968 212.27701702],[322.09838131 161.32354305],[329.73052385 129.04456133],[333.1332383   97.26668786],[297.94414633 219.49127745],[282.30235967 173.54056201],[287.7992203  132.29409123],[295.11827552  95.70886721],[277.09800861 238.58504655],[254.28808541 204.18202925],[246.31872819 185.28498608],[240.67381427 164.12875916]
[308.62896518 279.08860387],[365.69612848 272.67782398],[397.68020756 251.48748882],[427.10103225 228.9691308 ],[442.72812935 216.36040338],[372.91880504 204.88944702],[403.20460975 189.52972483],[417.19030206 198.92151485],[418.19825825 201.00484208],[343.60410657 195.68228622],[353.2660064  136.45898373],[360.86908276  99.98161411],[359.97603979  67.79976637],[319.93069383 192.38972048],[311.74357201 136.66503223],[318.52981696  99.65797875],[323.59913216  70.04543301],[302.09793626 201.69713777],[286.28801158 165.45715158],[281.57862631 149.87552031],[277.59290877 132.26081944]
[322.83290173 274.52799821],[368.84287725 262.61640829],[400.45713794 234.77134777],[428.50968864 212.85955254],[445.70411954 202.77845716],[376.25942842 188.48452238],[408.15542411 177.49397318],[425.80933129 188.88673254],[434.89282373 193.32371757],[353.6234295 180.5970259],[360.87760335 133.32230597],[373.67731952  94.34698841],[383.93107481  58.5259681 ],[331.32415896 181.93159517],[321.3405211  138.46584813],[329.64484051  96.23587427],[338.4819231   57.23258728],[313.44548299 195.00386409],[297.1406976  168.41196825],[289.47034207 145.92521233],[283.88870733 118.75059014]
[337.73514905 252.91224032],[390.02487581 250.3768515 ],[416.52261468 227.50646286],[438.08843551 204.0846795 ],[450.50306228 192.76970552],[397.53877573 177.91766888],[424.84108102 171.62770828],[440.81946934 179.41552436],[447.12282401 179.10738852],[370.24645181 171.68782165],[379.86376453 123.76921467],[397.69115877  87.76848395],[409.33898122  52.10647166],[344.67436375 172.89249959],[334.79790964 127.35298354],[347.85557753  89.40300896],[357.79711263  52.85306755],[324.61529295 183.91773045],[307.12552929 153.96888734],[301.68923264 131.10841706],[298.02261321 104.04844909]
[348.87456706 240.41242649],[402.91958769 235.63528084],[432.81337298 214.49098659],[462.49603922 191.67094905],[474.38310508 179.60432   ],[403.18294396 170.43108781],[432.8022869  160.31111849],[443.83559095 166.61922004],[445.63770213 164.99062835],[372.55325821 166.63155725],[379.41232867 117.94517445],[394.57130677  83.92591868],[400.17595211  49.16145397],[349.32292228 168.76487012],[339.51376289 124.40017019],[356.31293649  84.93939591],[368.01473231  50.68623347],[334.1011925  182.13910402],[313.72696656 145.51514911],[305.77141973 124.88287781],[298.00158111 101.27510293]
[385.28625873 247.06472516],[422.58513826 240.94934191],[456.85089806 209.64827571],[483.56592707 185.87818794],[505.08783739 170.77004933],[436.24608631 160.65852042],[467.36110405 152.31284819],[482.40751002 170.64934663],[489.81013155 184.70475906],[413.12566892 146.66945662],[421.22207886 107.71394987],[436.62406593  69.96076189],[450.24771897  36.70546539],[390.41287986 144.05364632],[379.4981197 106.6899228],[382.64903931  66.03513113],[388.4910255   29.54168608],[371.5074561  154.34618049],[354.2927947  127.71587025],[345.12260327 104.97717278],[337.55031135  78.88072024]
[404.31054268 237.32667934],[448.53345539 227.5203028 ],[484.69838254 200.58656555],[509.03405112 177.40446584],[520.9594673  163.37695164],[456.24033748 146.88241609],[483.96665784 137.02629154],[500.19209119 152.95039119],[509.68377766 161.01670289],[430.71293514 134.69887886],[438.04035312  92.77779379],[454.64817711  55.92440533],[468.65737978  18.21425862],[408.10725421 135.63750723],[397.90210329  97.45865671],[401.86339839  52.25754626],[408.05153256   8.31020268],[389.84315441 150.99543935],[376.18971982 123.89461825],[370.90377482 100.8333711 ],[365.64177177  71.96924259]
[428.90772823 228.23763611],[469.3616375  227.26047237],[501.10273256 202.20047946],[524.0208894  174.74585267],[542.31954833 156.89497114],[478.58068219 142.1929088 ],[506.41973593 130.09122324],[521.98366884 140.28235128],[533.73048232 147.58618834],[454.85952917 125.50827555],[464.7563116  85.8149446],[477.80754892  53.82957255],[495.06764595  24.73404953],[431.97097726 122.52793786],[420.63727705  85.09385316],[416.67614491  44.93930533],[422.19942151   7.76044793],[412.857766   132.49103062],[400.08592219 103.47677879],[393.52226577  79.95255145],[392.7000581   56.51307601]
[459.06482087 224.75931237],[497.68736542 212.97400211],[529.82597475 183.43566161],[552.03196387 158.8850841 ],[569.64621711 145.44377425],[504.33753164 130.79892587],[534.59686687 118.50922759],[549.14153125 134.09708229],[558.77599071 146.66423666],[483.3896176  117.85657515],[489.42563447  80.72137559],[498.27175872  48.12217296],[512.23751854  18.79631922],[461.16566014 118.05327716],[446.96381665  81.81344006],[444.0689455   44.42776581],[449.54029915  10.15230371],[442.42975344 131.00405525],[425.91688272 100.22800895],[418.73084219  76.1464739 ],[416.73692993  51.26577872]
[482.51403549 225.62260537],[518.75857711 213.68865155],[552.10121174 189.72430376],[579.38638058 168.89513152],[596.40965086 152.24868474],[525.81164853 127.17773844],[557.80566663 113.06627129],[578.40302308 133.36240905],[591.83078466 149.36069884],[503.55761454 114.97438045],[518.94381633  77.0705361 ],[532.23352453  49.41001823],[548.14332421  26.41149627],[483.37139108 115.48985421],[472.76918459  76.98950917],[468.05883516  41.62304849],[472.09552991  10.32604039],[468.57654246 134.53310136],[447.99281152 102.73809569],[435.7614848  78.6866917],[430.58588398  53.16053774]
[510.118276   226.30848616],[543.95368335 215.83439689],[573.58377289 195.03062061],[598.69915503 177.46234887],[616.51156898 163.02210486],[549.94284275 128.36378393],[580.11385898 114.33868564],[598.43089807 128.70505865],[610.3669661  139.05442235],[531.1036826  118.73506358],[539.87393419  77.57043597],[553.33802167  50.54453026],[568.86903149  27.19713129],[511.67565867 120.58056034],[498.53063864  80.48280427],[494.07544448  45.09866635],[495.8433332   11.64740382],[496.0139311  138.45528655],[475.91497477 104.85171992],[464.0843831   79.66473097],[457.13885899  50.88203624]
[532.61246894 230.08551487],[557.51742847 211.05267999],[580.43094064 188.5158134 ],[591.76122535 169.62037014],[595.79910927 159.98153048],[545.10683088 135.27823611],[572.55642831 109.43071405],[593.1013288  94.6833207],[612.48365679  79.1514785 ],[527.15143764 138.08662984],[549.84993787 100.12427022],[558.12808808  70.95693627],[565.49244728  44.78770311],[514.87435769 147.85206402],[511.17891114 115.72390467],[505.50405323  73.20678167],[506.58155427  32.79582212],[512.98731189 170.11358711],[492.36433521 144.57689048],[474.71196747 123.80701967],[464.66307245 100.71254195]
[545.04319933 192.17224416],[560.00174757 171.55389607],[561.75155043 150.26849102],[560.53756721 131.52969648],[561.885959   117.15272262],[546.53875936 131.25140694],[544.87565692 100.15343856],[546.93887426  78.19131333],[550.04004228  54.16997468],[532.46066073 132.57925567],[529.72483885 104.54903703],[531.41564984  85.29088438],[530.60862106  65.86267092],[521.45415435 141.12973616],[517.01321639 121.95568457],[522.32323464 111.36850664],[524.34998899 101.57651219],[513.19641132 154.37600466],[501.05995033 135.45897724],[496.23175591 123.13883074],[493.17855811 112.22635851]
[544.12912709 222.08379423],[556.56749239 205.98042009],[559.11326634 187.28543745],[560.38710599 170.42408387],[562.29218303 163.72378556],[559.13541683 162.57150722],[572.37656822 129.11891409],[583.17914565 106.64054494],[590.45869514  82.36974083],[542.31068784 157.3226694 ],[545.50268951 119.10151974],[549.91579219  98.48358305],[552.64196629  77.32485481],[529.03660947 159.89448077],[526.68836953 127.31139442],[529.12460752 108.28952049],[532.08751108  89.74029113],[517.99665235 168.13765604],[505.69009603 139.56662368],[503.13263373 126.68338354],[503.57147155 110.40291922]
[538.47722185 228.07370525],[546.92787437 209.65020704],[545.00811675 189.84900886],[544.05079059 169.25674501],[542.81200644 155.6331339 ],[547.25747486 170.06346795],[554.22575402 137.95905683],[561.04690737 117.97839246],[565.57652977  97.21841144],[533.45225719 170.44251532],[534.61712808 137.08322912],[536.98552372 117.68724663],[536.77632039  97.5328375 ],[521.94396056 176.9876084 ],[517.21655645 150.98603669],[516.93043214 136.51565208],[516.07436572 122.87274957],[511.58674507 187.02584575],[500.61237383 163.29182169],[498.4799008  152.53967182],[497.47263966 140.43444987]
[526.28238123 288.45468457],[545.52226041 273.53323585],[561.13246115 248.8898441 ],[575.59342532 233.42247198],[589.44680016 226.03340663],[546.92183972 200.60268426],[561.11378476 175.84435503],[576.25353854 165.55358015],[590.38952438 159.50967243],[531.01929016 197.35877813],[541.89173989 160.55538442],[550.98608532 137.02250788],[562.5300824  120.47050542],[517.35828    205.89908996],[507.76580433 174.0659109 ],[501.29409489 145.45073068],[504.01742203 123.35046792],[509.34688178 225.03564246],[491.98605532 202.7177276 ],[482.3887536  184.12542559],[479.41062543 165.65410504]
[507.68409652 305.43115753],[527.1930918  296.02249265],[549.84038354 272.61768895],[567.28949518 255.45108817],[580.67347727 244.87396182],[535.89220773 219.74300312],[558.35060342 200.79317989],[573.7810343  198.16997196],[585.78494037 194.37464765],[519.69485927 211.8686484 ],[532.696802   178.43327375],[540.32422263 157.12965004],[549.26786446 139.24066522],[505.32080531 215.45390994],[497.15124006 183.60884722],[490.55156874 156.70450081],[491.47844746 133.08671079],[494.17373755 231.27508709],[480.55083736 206.37184894],[471.95227779 189.9365325 ],[467.87095019 172.54529286]
[506.68241491 317.56189506],[522.20115986 308.10189908],[540.77767376 286.44878921],[551.48725412 268.8610466 ],[559.8752677  258.06278232],[523.35347364 232.43691615],[546.67544903 213.78409654],[562.23875008 224.85537585],[575.45969609 234.37043555],[506.23327447 225.78216067],[527.59803792 194.66099249],[536.24609537 175.61513086],[543.08551921 155.77517141],[492.83113339 230.520382  ],[492.81087319 199.98691098],[489.24893505 171.58887961],[489.35601598 146.62737059],[486.6479074  248.84527518],[476.91987561 226.67370722],[469.62930188 209.01304114],[465.655896   192.67764949]
[498.17635006 302.41408434],[507.49960199 291.54397324],[517.1792936  276.49735068],[527.41558954 266.8698409 ],[544.57720212 261.91454631],[507.98064075 230.82805687],[521.28757215 207.18098461],[534.84258028 192.3385477 ],[544.81151929 177.51901233],[496.17936975 226.9899336 ],[503.60379336 195.14676599],[507.15638882 173.75230947],[510.24265384 156.32583182],[486.22868343 232.79779054],[478.91521954 207.79973989],[475.4092319  184.85902879],[473.22998102 165.78123015],[476.83798289 248.31711053],[461.93251886 230.99445871],[453.95996962 214.69188437],[447.34096968 197.47098337]
[480.61928612 317.13195271],[507.13652415 308.04779766],[525.84805926 291.2994662 ],[542.89248122 277.62364447],[552.43413938 268.96977418],[508.31449999 247.75539464],[521.71064216 227.75109336],[534.0585741 218.9907458],[542.72672395 213.44473572],[497.07487471 243.42022626],[504.48131606 211.32774411],[512.63256192 191.79854163],[520.06348554 179.06828466],[484.68850571 246.12617414],[476.7995936  214.54770872],[473.56815671 193.64080923],[473.76503195 178.63431642],[474.58307093 257.02447617],[462.08682129 232.30157377],[453.94633249 216.08776815],[448.95806402 201.06195342]
[481.58407881 315.96013331],[503.5242679 306.4893018],[518.12796745 290.75544101],[531.76317058 278.81649925],[541.89817334 272.37801417],[501.6711319  247.12992588],[512.81320164 223.28738653],[524.7932369  212.39306319],[534.02160574 205.59882477],[492.01840863 243.68679105],[499.756753   215.25377051],[510.15830215 197.28211363],[518.41464359 185.95717297],[481.48709555 247.89236941],[472.17140269 219.95468328],[468.63149597 201.14351398],[468.03557248 186.31991365],[473.40347364 260.45158964],[461.87413707 238.83575804],[453.00264701 223.93143458],[445.16999691 208.14795088]
[483.19752393 318.59803125],[499.11606358 311.63372535],[510.94959009 293.94777868],[523.00205731 279.96895837],[534.09246597 272.45611793],[502.60580155 254.57419893],[510.23604536 234.07125898],[517.87248783 222.77198206],[524.06442056 213.92353629],[491.98482724 249.9329458 ],[496.64275782 223.35003581],[503.34720466 204.2310497 ],[509.40963927 192.94637193],[481.03403669 252.88713657],[470.17824434 229.11423307],[465.89810799 210.26107595],[464.60926634 194.93819743],[471.27586307 263.84446489],[456.78257886 246.88147859],[449.31490019 233.54721256],[442.82542454 219.46875345]
[475.88285046 314.74428027],[493.43079383 305.43146044],[504.83956659 290.90563166],[513.12585124 282.14945687],[520.22760193 280.70166275],[495.79429034 252.21276869],[503.9787309  232.70525983],[509.96518047 219.88694726],[514.52211545 210.49243761],[484.18895359 248.58787765],[486.85942609 224.72213339],[491.82579815 208.48305221],[496.93904474 199.66785628],[472.04545695 251.59219427],[462.7893964  230.25319368],[460.30465486 214.84388583],[461.60001132 204.88542943],[461.33980834 261.6461678 ],[449.11062031 245.79913744],[444.74524591 232.18594056],[441.96329689 219.80128733]
[470.56984438 322.7936341 ],[492.53190623 314.74600972],[506.23278725 296.30000888],[517.52786084 283.63917882],[527.20355516 276.11608682],[491.055616   259.85775763],[501.39294041 246.664528  ],[510.7223467  242.47350469],[516.97916529 240.0783059 ],[479.61715768 256.30083051],[487.06750483 233.64804959],[495.8185918  217.18193823],[502.41000897 207.88068634],[468.26158698 258.60119644],[459.35000268 235.97455767],[455.81143729 218.57483772],[455.42988408 205.62027682],[459.95821838 268.64237442],[446.38366847 250.99468292],[438.37080117 237.43482434],[431.5037978  223.16549462]
[464.63873119 325.27164933],[486.17078379 319.49574559],[501.46438728 303.4297752 ],[516.9565817  292.56866615],[529.22028512 285.33789835],[484.22111294 266.95539956],[497.22792528 255.22332184],[505.78745498 260.11509613],[510.84158209 265.51730333],[471.687707   260.44957139],[480.70830131 238.18900036],[489.85496224 222.59703021],[497.57156662 213.63324371],[459.81660649 260.50271657],[452.80989212 238.06991828],[448.55669585 220.60638787],[448.84065276 206.4082729 ],[451.24922875 269.69462294],[440.42013912 251.99032458],[434.3831032  239.60326184],[430.62271749 226.11530413]
[459.46271883 318.30308936],[478.78132223 314.9407138 ],[491.24351143 299.35272214],[507.52751994 290.93228993],[520.04307945 285.69239361],[473.68294822 267.53084509],[485.02951602 256.04607411],[494.22757965 257.28355376],[500.50721973 257.85129518],[462.86146085 260.90046491],[468.24001535 239.45397435],[474.25362973 223.52213527],[480.90034971 212.82327722],[452.63036978 260.62047797],[444.54482407 240.60055196],[440.60677908 224.47216452],[440.79921277 211.44464328],[444.92873787 267.8367081 ],[432.37531215 253.44887387],[425.79039818 242.08895342],[421.06744508 229.94945557]
[449.82373719 322.10755469],[470.54558916 316.33706305],[483.81675593 299.33614537],[495.79726568 288.31193433],[504.83635188 282.79736843],[469.28039874 264.5549779 ],[480.61226869 255.10461666],[486.75400612 256.8227312 ],[490.63891911 258.97115457],[458.79838953 257.6570375 ],[468.60693938 240.05505272],[476.44652037 224.79242139],[483.16788912 214.44196366],[448.35444388 257.57524791],[442.26161536 238.79948188],[437.48043595 224.17019166],[436.84111897 211.72956583],[440.21039294 265.70921363],[429.46674645 251.78016157],[421.86565544 240.79333308],[416.7240624  228.10507423]
[444.62086623 316.64857852],[462.54064903 313.24488949],[475.21891091 296.31634085],[488.92667182 285.91089557],[497.09069578 280.6103487 ],[462.57088537 265.16842641],[476.21937666 257.64180754],[484.72014652 261.99454276],[490.08562997 264.6752372 ],[451.50919455 258.19729862],[458.77929642 240.44369042],[466.28440639 226.04837365],[472.63269245 215.89094294],[439.76343523 258.55612358],[433.49271457 239.46754787],[431.81156141 223.40378036],[432.87845158 209.77306841],[430.81076824 268.28320268],[420.44123459 253.4687926 ],[415.15949107 242.55422609],[410.51392112 230.61247242]
[421.65406357 317.46126116],[439.8189087  314.48021347],[453.42966777 298.78866959],[467.35668077 287.36020847],[477.37522029 281.30076993],[441.17303776 269.19735295],[453.84454131 254.24404118],[462.67153073 246.76894492],[469.83660345 241.78617461],[430.72679506 264.25997347],[434.67757831 243.32162553],[438.38306361 227.48286886],[443.45185864 216.21682356],[419.91747752 265.36072104],[411.70574009 245.77151533],[406.99416745 229.85895505],[406.84646869 217.09291373],[411.47437539 272.68487617],[402.52996805 257.06927241],[397.51442857 246.54671783],[393.92031697 237.27287443]
[404.42628513 317.16813371],[423.49225243 314.42502983],[436.94840608 299.99776545],[448.95079794 288.02047538],[458.8215265  281.23141083],[424.83416092 270.31766085],[436.93178379 255.58244513],[446.050649   250.38392909],[452.75782485 247.42733038],[414.15065723 266.60634242],[418.5103356  244.12295734],[421.68225915 228.90449434],[424.97983868 218.54442096],[403.67699432 268.68493492],[396.22406416 248.51648134],[391.63590521 233.84242448],[390.10048703 223.34541385],[395.10550377 276.83290036],[385.32336171 261.50569509],[379.1972875  251.34125257],[374.010904   242.46192423]
[387.40025832 316.44304475],[407.36586877 314.20763353],[420.42374967 299.15109447],[431.56700727 287.55367177],[438.21099197 279.88678539],[407.45852582 272.19442374],[418.80762566 260.7551217 ],[426.9637973  258.10521769],[433.5533916  256.55225307],[396.35226938 268.22151266],[399.47506761 246.82969385],[403.16183814 233.23202421],[407.31126536 225.4094969 ],[385.6106908  269.25089922],[379.64868718 250.66499289],[376.71449153 236.07298137],[376.43023337 225.54264791],[377.4440323  276.28946313],[369.86129122 258.87293986],[366.26147577 248.81656314],[362.38640364 241.1185659 ]
[368.66716593 316.42673754],[389.27895797 310.0392405 ],[400.57061378 294.71652104],[410.30037963 285.14087604],[418.82837697 279.3293775 ],[390.71884855 267.5156231 ],[402.80728861 258.38699361],[410.85494762 252.79026605],[415.9983596  247.62829594],[381.75582473 263.35934817],[386.40290428 246.12454641],[389.8641653  232.39904486],[392.20175787 222.33072199],[372.62883852 264.94139182],[366.36807911 247.85544907],[362.22889011 232.8378778 ],[360.13887999 222.58990172],[365.16070748 272.64721108],[356.47920769 258.77207088],[351.01176556 248.23677745],[345.42043825 239.78903367]
[347.75970696 309.103022  ],[366.46776889 306.52737176],[378.55467178 293.29159859],[390.15784024 282.08740135],[397.06808212 274.83445904],[367.95720295 268.73226195],[379.35695847 258.79650399],[387.15834488 255.92324273],[392.10566037 254.34521779],[357.28076695 264.26213736],[362.82929896 247.15436786],[367.52424339 233.51421303],[370.66494372 225.09120745],[347.23145113 264.58535451],[344.18119584 247.56661595],[342.56942899 233.54204249],[342.25402949 223.37479684],[339.38088065 270.95018119],[332.29002798 256.21919912],[328.09558922 245.6097669 ],[324.27832911 235.78855328]
[332.55054666 307.94255697],[351.99413233 305.53019273],[364.76566448 291.49811034],[374.49619282 280.19910881],[380.93988717 272.44170309],[352.83305002 268.57111466],[362.44592467 256.18228535],[367.65251673 253.06106833],[371.32086765 251.91334476],[341.57536454 264.10878823],[349.01005975 246.42770941],[353.28979034 231.50164613],[355.73559544 220.95102177],[330.60035124 264.82473946],[327.12124039 248.33809683],[324.69002   234.6293968],[323.24796171 223.46941904],[321.74274084 271.62450416],[315.25371347 258.54114741],[310.87948043 247.55487633],[306.71416054 236.64499027]
[315.45998687 312.44054127],[333.93661577 309.86870108],[346.09788311 296.35824765],[355.99056406 284.63614665],[361.90965231 276.71476225],[334.70529695 271.20224913],[346.17069882 259.47843248],[351.04352036 260.83423459],[354.96818545 263.60790348],[323.95241573 266.72406789],[331.49622363 247.33472516],[337.02325504 233.33243873],[341.35791648 222.13312783],[313.24132981 267.38358714],[310.0411393  250.23037669],[308.76842343 236.41590098],[308.03761725 224.65798946],[304.05024302 274.76438351],[297.38710793 262.00184113],[293.6000539 250.9894867],[290.80132956 239.82914965]
[301.81992241 313.22650304],[320.28109758 310.28327943],[332.52013248 294.92593027],[343.32783447 283.37525304],[348.62960271 275.54824233],[320.86843598 269.54613144],[330.51073909 258.89230361],[337.29196661 258.7573092 ],[341.45692658 260.57139881],[309.88276262 265.27684913],[315.01859203 247.79310782],[319.17508925 233.45185949],[322.14139764 224.03814671],[299.13292874 267.09840634],[294.90812153 250.04044099],[291.88977875 236.61287082],[290.8771073  226.05226464],[290.90413593 275.37216724],[282.78655181 262.16460245],[276.88982531 252.08330459],[272.02198002 241.88170723]
[290.36234892 316.47890476],[308.6550978  313.45974355],[322.46179023 298.93553343],[333.90738517 287.34831091],[338.577768   278.38834058],[312.00706715 273.82433984],[323.98152262 263.116348  ],[330.53688208 267.0145498 ],[334.44714327 273.18930429],[300.59846057 267.93953376],[307.76089734 249.94469209],[313.12564786 236.38462083],[317.62694565 226.4051977 ],[289.42671857 267.88906199],[286.42502757 250.65820699],[285.2057914  237.41561442],[285.11265024 225.97343671],[280.30765127 275.30082282],[272.5071999  263.07964045],[267.19338171 251.95986623],[262.47491979 240.04935862]
[279.48355891 320.49861336],[299.2942187  316.99357642],[313.04075683 301.42135308],[322.94246613 288.88915847],[326.20723134 279.1804391 ],[298.72241135 274.2308124 ],[311.79890612 264.35203068],[319.0816329 269.1561558],[324.23858152 275.27662743],[287.63466412 269.26255508],[293.65815488 251.10282828],[299.12433057 236.02047258],[303.89894789 223.92925494],[275.90133978 270.34178233],[272.29060446 252.68226875],[270.03647728 237.88566854],[268.78049001 225.36561406],[266.05637277 278.17745856],[259.5017547  265.48172516],[254.59779145 253.59336685],[249.99244214 241.63734598]
[267.15766001 320.31208346],[287.21451534 316.07283286],[300.7281386  300.84873289],[311.85376559 289.79581903],[317.03707633 281.84341248],[287.94882091 273.6111238 ],[299.72577244 262.26235312],[307.46498039 263.79833541],[313.0227744  268.13448422],[276.50505258 269.12744085],[282.22021622 250.34400825],[286.45780889 235.05486304],[289.99190822 223.6798315 ],[264.66073355 270.62364326],[259.96520928 252.91365772],[256.65308959 238.2492468 ],[255.1170121  226.16778485],[255.24720976 279.56007721],[247.01043648 267.59950131],[240.63625381 256.05782341],[235.34605008 243.85655668]
