[254.18976659 318.31015989],[288.41137275 311.66634403],[311.25388472 287.14028272],[328.01199899 268.44476252],[345.61948986 254.36805374],[284.48386507 245.92417528],[295.82839089 213.12409155],[303.10940406 192.12138515],[307.69622013 174.14356628],[262.89396296 242.29141814],[264.44291995 205.48586469],[267.36807694 179.96230533],[267.71957721 158.69650916],[241.95457728 245.67057373],[236.7496589 213.3663674],[235.18417017 190.33035477],[232.45121501 170.88920642],[223.97484883 254.65919978],[212.53070691 232.63878747],[206.54240685 217.81178994],[200.48358285 203.44381702]
[124.44908519 366.27776223],[144.13258776 354.99941618],[157.2886065  336.11177818],[165.47608271 320.73121073],[176.07615114 305.18340064],[141.17967607 308.33453564],[141.70034753 283.42742278],[142.59090938 268.47903753],[143.96039541 256.17601184],[124.85061675 308.79847339],[120.06564621 280.87016977],[117.64677398 263.45129123],[115.59432108 246.6377457 ],[109.43534522 314.25540884],[103.01186084 291.39627118],[ 98.43112567 276.42431572],[ 95.31067359 262.05695771],[ 95.96495221 323.1561493 ],[ 85.15431981 309.62982502],[ 78.63266625 300.7855117 ],[ 73.31170536 290.85007906]
[144.48243129 345.2265444 ],[167.20442167 336.15474684],[182.72146222 314.80103784],[191.88938128 298.45101836],[202.71091346 287.53121874],[164.05960128 289.44966391],[170.20949593 266.98290287],[173.25152377 252.67683738],[175.21916057 239.48536244],[148.19055419 287.09483195],[148.96494535 263.04585521],[149.12007659 245.84829402],[148.73799284 230.65641727],[132.94897598 291.00306581],[128.53758606 271.21399969],[125.88692047 256.50230653],[124.81272109 243.20552455],[120.91585225 300.01591389],[110.5667012  287.67242859],[105.61468838 279.12468894],[102.51398528 269.57731478]
[161.02514237 331.38219213],[184.2188457 323.8557209],[201.98491234 306.99538855],[212.93471462 291.10787987],[223.24425222 279.07348532],[186.6827676  282.01435006],[191.58890324 258.43456663],[193.66380991 241.71671556],[195.15039245 227.75984432],[171.44401671 281.34050654],[171.7175382  254.96916368],[170.28713291 237.45729801],[170.13565628 221.48335747],[155.38463436 285.04490208],[150.83774501 263.60774568],[145.56157763 247.28705139],[142.74254331 232.36929725],[142.1480031  292.09833939],[132.94934109 278.61996496],[127.40329583 269.94101108],[124.64952803 258.47094347]
[199.42669753 327.98628787],[221.56996503 317.3114767 ],[235.77139036 295.60005723],[244.46760535 279.83196009],[254.36482202 269.60535237],[216.44407626 270.03857617],[221.42317878 249.18566411],[223.50171702 235.10429717],[226.03547235 222.51718088],[202.15184168 269.81098566],[199.95914138 245.44305151],[198.38101584 228.29667231],[198.19426828 212.74177371],[187.63927189 274.90117075],[182.1137489 253.6487711],[177.63628207 239.09630151],[175.65625875 225.26796115],[176.0016656  284.18594463],[164.89365128 271.27469278],[157.9637258  262.47451725],[153.14366958 251.58267806]
[230.96237376 317.78126231],[253.23485825 308.39564886],[266.09627878 290.55723989],[274.21289277 276.3305507 ],[285.45836515 265.41432249],[247.77034945 263.75644892],[251.20578197 241.37176538],[253.60880283 227.14504759],[256.22444891 214.66045723],[233.18936702 264.27801953],[229.9364405  238.51387644],[227.81273915 223.10185595],[227.64944304 208.48471687],[218.36247067 269.0140476 ],[212.75457151 246.74550853],[208.38116371 232.64599851],[206.15664566 219.16677122],[206.20181594 277.35096191],[194.72364108 263.12454827],[188.09275343 254.72467423],[183.42203599 244.41693439]
[255.44362056 316.45476344],[278.39448272 306.0467466 ],[292.12337212 287.51287971],[301.89120547 273.52342477],[311.47116029 260.0486534 ],[274.15833539 260.1420497 ],[278.83216261 237.58938326],[281.23424896 222.19496904],[283.61845576 209.20504583],[258.43832914 260.05723129],[256.71658003 233.94516694],[256.14343206 216.09750612],[256.24105197 200.26828755],[243.97353212 264.52421463],[241.00150833 242.00217819],[237.78652574 225.9865823 ],[236.0564654  211.44544779],[231.93267433 272.55677658],[221.29809656 259.18465032],[213.83191061 249.54712656],[208.10783027 238.54206894]
[279.76559119 311.38760002],[303.35899933 300.73121039],[318.11641895 284.14434998],[328.03455719 271.37185233],[339.90188671 259.59713991],[299.7166043  256.26095565],[304.38996055 232.88506181],[308.21071888 217.79441057],[311.96328967 204.49074609],[285.01487529 256.31167468],[282.88314286 230.39287499],[282.51857883 213.81719252],[282.58165943 198.42390507],[269.74591182 260.96293418],[265.87674024 238.71106452],[263.58919878 224.38228534],[261.73992413 210.99520474],[256.85559614 269.05632135],[247.70095076 253.84634906],[241.99460535 244.58391088],[237.61191562 234.02088598]
[300.1592012  315.59081936],[322.21908579 304.32805299],[336.60737206 284.89781781],[348.52734546 268.92773321],[361.46610739 256.44184713],[317.64761399 257.7915172 ],[325.02370306 233.86976621],[328.26018197 218.48759238],[331.69260475 204.86668446],[302.19412097 256.79737347],[301.28855546 230.31044756],[301.34659943 211.45150024],[302.66056107 194.60040445],[287.44934798 260.59714861],[283.99355691 238.46185666],[281.0771537 221.3841112],[279.6358102  205.60985395],[275.18435266 268.49777972],[264.90317504 254.92660576],[257.57234655 244.26279063],[252.891236   231.88406044]
[328.4030243  314.70954642],[352.66656108 305.51112147],[368.27477031 284.05679714],[378.60704097 268.96391346],[389.94370689 256.75071728],[346.96785633 256.03529654],[352.33552339 232.26798699],[354.14836674 217.98670397],[355.66632785 205.9782231 ],[329.7718594  255.05720846],[328.79116804 229.17025688],[327.27777285 212.06139248],[326.05069689 197.27808104],[313.7611041  259.29113053],[310.06574004 235.77586286],[306.86512346 220.24638264],[305.40712559 206.25984191],[300.92196639 268.48918981],[291.3140824  253.61055126],[284.74535852 244.29976847],[279.96947963 234.32199345]
[359.97270532 315.0257594 ],[385.35124467 307.35101949],[401.81203156 286.39721806],[413.15000045 272.06074811],[424.31008452 263.20718986],[379.13661762 255.42095964],[385.55652082 232.82265029],[388.73669055 219.38422956],[390.86134241 209.26041624],[362.47167455 253.20340106],[362.46387435 227.93375817],[362.98888726 211.08850817],[364.06290703 197.17067361],[346.81874088 256.95779067],[342.79405508 234.57167099],[339.24911486 218.47939362],[337.26853188 204.21023192],[334.50933469 266.42312596],[325.05250892 251.51676666],[318.45990937 241.4283569 ],[313.16589995 231.55863108]
[383.37518602 311.97376184],[411.17094066 305.27237985],[428.89968312 284.60044183],[441.6547416  269.13285727],[455.43166935 256.97075602],[407.45108072 255.03995753],[414.12101955 231.54763131],[419.6628495  217.98695608],[425.08114662 207.10903526],[390.44454233 254.62079007],[389.46444614 226.58608458],[391.1954859 208.4904264],[394.45804569 193.85446026],[374.58554297 258.9576181 ],[371.6751196  235.15446501],[369.55937616 217.56725583],[369.23926232 201.87196844],[361.44552157 267.266853  ],[353.060369   251.15024411],[347.46393608 239.54633187],[343.29165939 227.70916962]
[410.61682854 306.16386291],[437.92613945 299.42807296],[456.81899969 279.97327288],[469.29611539 264.25519563],[483.78495148 253.90504814],[435.68443606 249.42996645],[444.92400826 225.94981311],[449.72537616 210.75872865],[452.99004987 198.52055683],[418.80012404 247.16016205],[419.28044698 219.05602912],[419.36375199 201.14485165],[419.85788598 187.90492777],[402.90267958 250.03356669],[398.15561689 226.66071395],[394.75550198 210.37214026],[392.77681168 197.82912807],[389.73933679 257.51249172],[377.79819069 241.04358727],[371.78941687 231.87636723],[367.01867443 223.71462604]
[439.48717417 297.48246242],[465.02677487 294.22480144],[483.86494295 275.22471249],[497.45612323 259.90036856],[512.28776964 250.35210119],[464.12867463 242.25205839],[474.5253572  217.05982616],[479.03002657 204.03942607],[482.3872767  195.64490228],[446.83975652 236.06545787],[451.11030486 209.74377971],[452.56815387 190.29360006],[455.81663658 176.18587166],[430.64729323 236.94637595],[427.46289344 217.01317166],[423.21121195 199.14572008],[421.82064878 184.75806926],[416.01487165 244.89523174],[406.42960828 230.92819726],[401.04163781 219.83627944],[398.50926311 210.08656182]
[469.89240511 287.46162883],[495.67153458 284.15455287],[513.84596492 266.1211868 ],[528.51933104 252.4672675 ],[544.23452218 243.82330099],[491.82477075 232.84195197],[501.65496752 209.97773125],[506.73322307 196.38364236],[510.63831816 184.78158179],[475.09925337 229.37129345],[477.0537022 203.8898385],[477.87874407 186.3404341 ],[478.56416659 172.24117171],[458.80282566 231.38280671],[454.80820939 210.61820474],[451.61749071 193.66590952],[449.84074006 178.66878447],[445.02584482 238.86876484],[436.70058361 224.97868624],[431.89717862 212.85463894],[428.5335343  201.15046894]
[491.39436582 290.25629817],[517.43660101 284.45899186],[538.4937184  261.86064641],[552.13950798 244.44553341],[564.63370805 233.81581995],[517.32218462 224.11089507],[526.51326167 200.75716182],[532.2008928  187.78039794],[536.31218489 178.33814852],[500.31571369 218.91856578],[502.24010617 192.73096849],[503.47499021 174.39408174],[504.09803623 161.16808191],[483.45632804 221.33773316],[478.2082016  200.44443636],[474.2550094  183.31519559],[472.48824502 168.30453252],[468.57484682 230.56039542],[458.56942569 217.18476516],[452.61109015 206.57647313],[449.13402425 196.24748377]
[513.50748924 289.05361918],[539.66622314 281.74299446],[560.29936212 257.70443015],[578.68170643 242.16493519],[595.24263261 234.05731038],[539.14290105 223.26095414],[549.47434468 197.79153127],[555.93804384 183.6106458 ],[561.33279679 173.45478056],[522.39349289 217.91489297],[524.79762367 188.78959388],[526.66779311 169.56880814],[528.77772602 155.28131682],[505.84514573 219.83484509],[500.58215041 194.51312149],[496.1489368  175.50653961],[494.56675583 158.88787042],[491.39912358 229.46699416],[478.93013916 212.94599991],[471.87234015 202.6566323 ],[468.3472259  192.08666802]
[526.63928311 287.71332605],[552.21511021 284.46207855],[576.34635201 262.94385782],[593.51973402 246.4486734 ],[609.50594016 238.38176536],[553.15290484 228.11069811],[565.80013522 201.58462325],[572.09433852 183.89836415],[575.5658842  168.90720777],[534.82916755 220.8848288 ],[539.24463629 190.49766648],[544.38658909 169.22702262],[547.69262014 153.82596059],[517.35140614 221.49592952],[511.62641494 196.27034215],[510.21535465 176.61016111],[509.99914337 160.75868519],[501.47951425 229.7811836 ],[491.20303231 213.60515026],[485.92872745 201.14687493],[483.41009063 188.92281903]
[528.44498158 288.75367844],[558.41689736 283.81535465],[584.12505683 259.32204434],[603.24946185 243.49177763],[621.33146994 235.66020026],[559.760325   223.52646377],[570.31855955 194.36420552],[576.43893501 177.50858979],[580.342181   163.69695141],[541.30629906 217.71461026],[544.06911887 184.35508149],[548.11393043 163.71868262],[551.0868325  147.92165828],[522.4578945  221.21941268],[516.51639692 190.33777549],[515.41474371 170.81415312],[515.43774867 155.71859166],[505.4084829  231.67706295],[493.33632218 210.24234546],[487.56507199 198.11762663],[484.43892495 186.84525771]
[520.48023645 291.68590111],[549.37449974 288.02043743],[576.50465317 261.29154164],[597.55849751 242.16933542],[614.76016261 232.17862631],[551.21966331 220.66518167],[565.06414521 189.88873106],[572.82854127 170.30600317],[577.8904812  154.49105623],[530.9573077  214.13684166],[535.50876533 178.54059242],[539.15384296 155.27440195],[541.74608954 138.93507222],[511.187766   215.93653759],[506.19699395 185.25683878],[504.01918207 163.18954731],[503.18499627 146.29577988],[493.53065472 225.90121416],[480.69564998 205.51922005],[473.16153574 192.12130842],[469.067517   179.33544879]
[497.08994978 292.02121008],[529.71774962 288.40330565],[553.76748391 260.66658733],[572.85491076 240.56973564],[593.30377273 232.26703891],[529.51370146 218.64771048],[543.27889457 188.31900489],[550.48784764 169.44940707],[555.36405513 154.17808655],[508.8985561  212.20174897],[514.19706046 178.38171994],[517.92568974 154.99234197],[520.3179131  137.43988922],[489.26944241 214.39575145],[484.27898384 184.41897562],[481.0165536  161.81045738],[479.29945539 143.3635562 ],[471.41030915 224.6216653 ],[458.81085816 205.51066205],[451.98443073 191.5416989 ],[447.86899228 177.76718757]
[470.68828311 289.61317311],[502.86288341 286.21309177],[530.79252435 259.63104444],[550.32573302 240.06116531],[568.55971725 228.41586709],[506.44284636 216.01487469],[518.24196795 183.01719822],[525.04686035 163.12036605],[530.11759663 147.0945472 ],[483.18610115 210.36951563],[485.74025161 175.49064146],[488.75826537 152.42621678],[491.95116092 134.31457476],[460.28325046 213.91969429],[454.94111992 182.11873526],[452.28699306 159.37838517],[451.48077385 141.1362439 ],[440.74663725 225.60109959],[428.52498499 203.8971745 ],[421.07041449 191.0102313 ],[415.11237481 179.42904489]
[453.07044402 295.31183582],[486.65617287 290.12430359],[513.9289638  260.95410685],[535.29992326 239.20790385],[554.30664236 227.43495302],[485.99686127 215.59262914],[500.97076091 181.33718665],[509.9148889  161.28380276],[514.91513599 145.93891006],[463.29107728 209.77988504],[467.87903183 171.6207934 ],[470.90440018 144.68855085],[473.58631298 126.78834042],[442.26312865 212.9217829 ],[435.94869421 180.97304091],[432.0226302  155.53476673],[430.41834206 136.57773355],[424.30840442 224.15758852],[410.3251224  202.77241665],[401.75822555 187.69504616],[396.86784272 174.00755082]
[433.53509698 296.18383089],[467.78971397 291.88415945],[496.01884721 263.84056277],[517.56209533 242.08732326],[540.05832785 232.02649933],[471.46911113 219.81507788],[486.85390306 184.66082879],[496.24162826 163.31112591],[501.94640451 145.43358696],[447.07569907 213.10917969],[450.8634616  171.70941664],[455.0343236  144.95504422],[456.80691959 124.27042801],[424.58115688 216.22369006],[417.88464143 179.47811279],[415.04188121 154.37843499],[412.43591816 134.1314877 ],[405.37909529 227.06705765],[391.35639279 201.79612062],[383.62172811 187.49793345],[376.63396123 173.44312668]
[408.58270611 298.15257628],[446.64120438 297.24177328],[475.79181061 268.42409728],[496.96701047 245.19395984],[517.12266727 233.38885073],[449.1468406  220.87995666],[465.1080502  185.40897052],[474.69671059 163.13186991],[479.6500053  145.07054713],[423.56458865 214.1583596 ],[426.93115904 172.3650687 ],[430.85221798 144.81926035],[432.12418286 123.13602795],[400.19307831 217.68796019],[392.95855185 181.53379858],[388.76251381 154.46788829],[384.45375504 132.20254798],[380.74782688 229.11663092],[368.30130004 203.96427795],[360.61606331 187.78228222],[352.84645789 172.36117786]
[390.30601876 297.36282266],[427.76483442 297.306602  ],[456.88390639 268.98993649],[478.5692773  244.80625382],[501.39052256 233.75888803],[429.95038359 222.26829094],[444.92968556 185.52698403],[454.71771184 161.90528893],[459.90161225 141.93545755],[404.23654133 214.65381835],[408.80877632 171.14623711],[413.94273887 142.41460542],[414.44998694 119.56633275],[380.89266111 217.859728  ],[375.11445707 180.88152427],[373.07481066 154.2870731 ],[369.15607042 131.77571867],[360.31037845 230.35810943],[347.84345468 204.01090043],[340.66183584 187.83783077],[332.5942654  171.78451874]
[377.90357968 293.19930699],[415.24089414 291.82663997],[445.48924466 264.57164969],[469.317334   242.00982578],[495.54383938 233.08666634],[416.72841955 216.46305439],[433.02157427 178.10617397],[442.71222585 154.32898965],[448.31833688 134.92745011],[390.86115613 208.28245399],[396.95888535 163.1083713 ],[401.62344748 134.04309562],[402.9813824  111.88013075],[367.26706695 210.81921689],[361.93486718 171.05758108],[357.388847   141.39422457],[352.79751797 117.29731904],[346.6828696  223.86929413],[333.48617056 195.25502261],[325.8558925  177.77885109],[317.93796904 160.6530056 ]
[364.10355951 281.04674666],[401.56545955 276.70037155],[432.43991487 249.22162361],[456.3804131  226.36196789],[482.58905561 215.35861946],[405.64064497 203.06643547],[420.38557949 161.55008749],[428.85467948 136.08888698],[434.1320902  115.38307486],[379.09474096 194.40297937],[385.72831731 146.32901623],[391.62329561 116.49584742],[393.92621928  93.81089575],[354.02542913 196.27791305],[350.63750866 154.41917372],[348.34655819 124.52802541],[345.3217262  100.86275588],[331.31091388 208.38917088],[317.11973496 178.94599169],[308.61898217 162.03491664],[299.54782555 145.05377229]
[343.7900111  274.24034777],[383.99304231 269.49656905],[415.99647743 242.80272644],[439.70646973 218.78509637],[465.97965088 206.99715181],[387.57473526 191.5832584 ],[407.66407922 147.54136732],[416.66019801 120.83205601],[423.53739042  98.40866783],[360.19298617 182.06554807],[369.34241859 132.85022957],[375.24241773 101.43872564],[378.24614393  77.18214908],[333.39562045 184.00479902],[331.6235068  140.80651108],[328.97063195 109.90190558],[326.81163868  84.86637122],[309.24869096 197.2308396 ],[297.81993234 163.60338733],[291.60876319 143.66317589],[286.67333555 126.1899701 ]
[327.48766579 270.79026264],[370.92931188 263.8303041 ],[402.56995174 237.69567527],[425.1224102  211.77500081],[452.69009301 195.84684503],[371.4172055  185.80959859],[387.9188427  141.50165113],[397.30924571 111.47324702],[405.12495774  87.0875156 ],[342.74424852 178.33159888],[345.29007152 125.02499854],[348.60875382  89.62657718],[350.29814415  62.81001772],[314.00170614 181.02545744],[304.33383246 134.09123111],[299.65966272 101.65175131],[296.45850166  75.688369  ],[289.29885001 192.53146365],[273.88612809 154.80373619],[268.35185236 133.06551377],[264.17313847 113.93683428]
[316.98782674 270.32254832],[358.33359485 268.72189989],[390.71656213 239.29915329],[415.94209761 211.26624966],[446.83937937 198.67256735],[361.46050566 181.478849  ],[376.99596101 136.72666692],[385.50306608 106.57088413],[391.99734591  81.67048929],[331.06787882 172.0112274 ],[333.39921515 118.4500708 ],[336.7196626   80.86218968],[337.10898926  54.20373875],[301.89811567 173.03244633],[290.50075155 126.48097948],[284.38587019  91.5118721 ],[279.2784335   63.87292789],[276.82783284 183.27945967],[260.13527028 145.23385723],[253.18388944 119.75684759],[248.48200428  96.53089851]
[301.75129584 267.31386479],[346.84326316 262.92124271],[378.41116149 233.17243043],[403.2366203  205.61826832],[434.25710683 188.9776679 ],[347.30092604 174.90278368],[364.60035972 128.42659552],[373.4943354   97.48271956],[381.20007552  72.56100481],[315.53077905 167.0351695 ],[319.98890543 112.7732147 ],[323.94309362  75.19050233],[328.04967729  45.83937203],[285.4963746  169.58952257],[276.40292912 121.17550846],[270.33125423  85.33134447],[268.7457723   56.46056266],[258.97033232 180.58841943],[242.96581033 143.12773771],[236.06084506 118.12461427],[234.24242497  95.44820089]
[282.17610325 260.76945288],[329.41839427 258.60155439],[359.88280176 227.74540767],[387.25923588 202.87503728],[420.4221244 185.5750738],[327.81812579 165.15561074],[344.59929842 117.09767772],[355.65925093  85.29871562],[364.2023443   58.68444445],[297.49933743 160.63709772],[299.77209938  99.81386628],[305.30307643  62.00777772],[308.53319181  29.63645395],[266.67685497 168.03034935],[258.08651449 114.41640496],[256.16814374  78.6885078 ],[254.71366938  47.51248876],[237.92834576 183.833351  ],[217.88463599 144.18491492],[209.21121659 118.73269809],[200.42915188  93.62658664]
[266.39305962 271.07455786],[315.12372229 263.9861444 ],[350.54373479 227.04522486],[379.90813762 198.76114905],[415.51264731 180.25482956],[316.797485   159.50309999],[332.28188621 109.79629416],[341.29763265  76.66797047],[348.28166071  46.26370437],[281.780829   154.84324589],[283.68063164  94.70812855],[288.04855644  53.45927969],[290.60077274  18.48723371],[247.99459396 161.49543682],[240.24602896 108.65188618],[238.47508499  70.17064128],[237.7230991   35.48893349],[217.7137008  178.12181591],[199.45551218 139.90526336],[192.37303809 113.33242006],[186.20118747  85.62297791]
[250.80545424 286.59892069],[304.34409265 272.67626771],[344.34383182 230.13304301],[372.84208736 196.64711344],[400.60450389 175.74244384],[306.55015303 156.43137435],[323.23997987 106.13413649],[334.63701449  73.13506979],[343.32717662  43.59047112],[272.19687042 149.36032604],[275.93841558  87.32166377],[281.04636419  42.77113786],[284.89587997   6.9473963 ],[236.87434404 154.85998454],[228.35082439 100.04096862],[222.72688732  59.50767828],[219.3765106   24.02609507],[207.26838483 174.07787625],[182.97948322 134.62950006],[168.90721053 111.61109737],[158.07531651  86.07133077]
[231.8779885  279.95429858],[286.24804136 270.36513571],[325.83344657 229.19568052],[357.64769476 200.18589961],[395.59763641 185.48061544],[285.10211056 154.7620295 ],[306.96834353  99.59276605],[316.30861912  65.93326311],[322.43126582  35.03064616],[247.70135081 147.97665971],[247.98727239  81.48430795],[250.54794486  38.0746719 ],[251.88246829   0.51891012],[212.20604339 152.69507005],[203.21125279  92.81135249],[197.9809229   50.69474289],[194.62646819  14.15584169],[180.01713311 171.18523649],[158.95947905 129.64708274],[146.50435878 103.94608634],[134.87358397  78.12507314]
[195.71323117 288.28912361],[253.25931688 279.54184207],[294.65345566 235.81219571],[329.46023101 207.01524373],[363.85270274 185.80881659],[253.89134806 151.54027263],[279.58913083  93.35569512],[290.81155485  58.51607591],[298.0869178   31.77075739],[214.62854819 147.47057136],[216.01085042  75.86058879],[215.29863865  31.06787849],[214.96192585  -4.93627217],[176.7101501 154.2539032],[165.30184594  91.96558584],[156.5819949   48.35366114],[151.4047312   11.69276752],[143.84551553 173.0156102 ],[120.29012398 132.29815933],[103.87645025 106.18672132],[90.1474378  81.86475367]
[160.54340857 313.99904434],[232.98640394 294.17317888],[273.8493847  250.24888488],[304.02033755 216.86677447],[337.1838034  189.24267629],[232.45461614 166.63698563],[256.18737824 106.60855757],[265.67175173  67.15732039],[272.86432116  36.96714723],[193.98582164 166.75249655],[194.09723779  92.37190911],[192.63359703  45.57491742],[195.8919856    5.98200516],[151.90885402 175.08648202],[142.74165398 108.95568846],[136.68715005  63.76424376],[135.6670284   25.98294951],[118.7717291  189.63146364],[ 89.74724592 143.24221734],[ 73.00106447 113.66470763],[64.34860152 83.94728583]
[121.61436172 307.28242181],[186.18061291 294.66018267],[230.13658587 253.44152239],[258.14832984 216.00975359],[288.51278101 189.68022246],[190.31278922 173.79161586],[211.53491728 113.48702765],[224.42725884  76.37803266],[232.74057619  49.7015953 ],[146.39785313 165.93573029],[148.78343815  92.45622352],[153.7741993   46.18604391],[157.10709319  14.38702737],[105.06814476 171.95293058],[ 91.13447563 109.60232257],[84.29789873 64.1045623 ],[80.01995639 29.27293984],[ 71.01577982 191.29526222],[ 42.38753908 149.00651702],[ 28.31296573 122.49051236],[19.75952738 98.1828972 ]
[ 97.48963831 317.90040779],[157.38534921 297.05857652],[201.93071545 256.63034014],[232.57078941 219.28381498],[265.00601308 189.44083266],[163.23251166 178.43021887],[178.56666867 118.36360056],[187.79862196  79.67546747],[196.04155808  51.38037216],[119.98133581 168.98614017],[119.95298195  96.25373584],[121.85506639  51.10169653],[126.13406995  21.21322392],[ 79.2044349  174.43771603],[ 62.1920365  110.25898622],[55.69009011 69.55523992],[54.55186554 41.02067408],[ 44.20482239 192.04653815],[ 20.00065745 148.08006111],[ 12.92455048 130.53815759],[ 11.86380084 114.88561721]
[ 63.37396209 329.38502209],[122.5027738  302.97703198],[155.28335845 261.91433721],[182.74092347 230.57795897],[213.46080762 199.65447557],[125.48855141 190.91285057],[142.42445678 131.8196159 ],[150.70681365  93.9494382 ],[159.92379467  62.65728008],[ 88.10013531 186.40448983],[ 83.86110713 119.42316027],[78.37260702 71.27994786],[75.66169832 33.25729942],[ 49.65899309 191.24900118],[ 27.55543115 129.6504389 ],[16.44989764 79.04540527],[12.87983459 43.20241827],[ 19.69098747 211.81682874],[  9.05129009 169.09752486],[  9.98577479 155.76036218],[ 12.41971539 147.17097102]
[ 43.53156987 344.62846545],[ 99.67357188 314.75491809],[136.50839246 277.23008685],[174.07721052 241.2904792 ],[216.75151529 203.93765527],[115.66897733 209.00949882],[133.05507448 146.07667008],[150.64070362 113.0270157 ],[163.991442    85.50696606],[ 82.08013049 197.24503851],[ 87.35865198 126.4815671 ],[92.80759514 77.48254224],[98.25462633 38.89749087],[ 47.42014954 196.27692618],[ 36.07527607 128.66468844],[32.03663159 80.5897038 ],[30.40501531 43.34093779],[ 18.7976754  206.06554074],[  9.95526691 149.15902355],[  4.98115056 116.52649646],[ 4.55582422 86.71072846]
[ 76.97723102 329.87178095],[130.08532914 309.74751445],[165.47726662 270.85830804],[190.96147966 243.49281386],[218.89930193 218.82501399],[122.46162058 198.34763134],[140.43927428 141.84622932],[152.7624784  105.21842244],[161.99746402  75.8080867 ],[ 84.81600554 192.03751328],[ 85.39279379 124.26738665],[84.68341046 82.84940714],[84.73569207 50.32704993],[ 51.39921419 198.71359082],[ 39.78099651 144.77344498],[ 28.87581184 103.17503648],[21.59174353 69.98975646],[ 23.43219304 216.65128137],[ 17.16116233 180.34616593],[ 15.92618006 166.10618818],[ 15.28049132 155.28298028]
[101.90927614 329.02191517],[149.61763777 317.23025703],[183.38224418 276.32700872],[213.44207971 246.4637033 ],[240.28790926 227.02889328],[142.36661922 206.29256119],[163.08899014 151.28791717],[173.51365876 121.14270096],[177.7268264  100.48454247],[104.47347636 198.06185807],[108.09752989 131.77613912],[107.42286182  90.47053424],[107.36331473  58.58733665],[ 72.04568536 202.64033836],[ 63.47219807 146.57408487],[ 54.16668151 108.14417279],[46.28912608 77.64979232],[ 43.69405119 219.86281528],[ 23.15915638 185.79222565],[ 11.11200747 164.1908833 ],[  2.28333231 143.13197937]
[120.03405947 336.966031  ],[170.2215344  320.89425269],[205.51311107 282.6754767 ],[231.28830704 252.29614831],[257.02703826 231.56121436],[165.34977267 208.54598502],[178.65420015 151.14418911],[188.70865234 119.08186979],[195.56633244  94.05986346],[128.54563264 202.69075877],[125.4423708  135.63659536],[124.55712208  94.66936536],[124.53493671  61.63537242],[ 93.93733078 210.78099371],[ 76.30487025 151.16603063],[ 67.91814374 113.08202244],[65.06292525 81.20006286],[ 65.75059466 230.00078829],[ 38.88176717 190.49008851],[ 24.13414637 166.6721464 ],[ 15.24143438 141.47459155]
[147.77670554 335.15742767],[196.53060628 320.0493777 ],[228.63891186 280.86366343],[251.90583135 252.96357032],[276.6213281  234.21518622],[194.0038039  204.21797316],[212.48684344 149.13145823],[226.55711765 112.72280861],[235.53665642  81.47146594],[157.22873751 203.62576609],[155.01536153 140.29279989],[157.15168638  98.89672698],[158.45901027  64.82841431],[122.35276212 214.65706725],[106.65550037 159.87715233],[ 98.90819994 119.8529776 ],[91.65728028 88.64594735],[ 93.96771135 235.83008458],[ 68.70016538 196.35365213],[ 53.78371238 170.48944687],[ 41.54238112 146.4294864 ]
[180.43245014 330.27030656],[231.14899534 324.45741892],[265.95199292 287.08169829],[290.44049203 257.65734379],[317.20170453 237.66380789],[228.75238952 211.41965487],[239.94921312 154.6856293 ],[248.6649939  116.03122998],[254.82277176  82.08887676],[193.82474976 207.67226854],[193.70657973 146.10990393],[199.04606148 105.01841102],[202.89781862  71.95738587],[157.80903038 214.83653338],[142.17532471 164.67374228],[135.35039239 128.4888265 ],[128.8543649   98.63686481],[127.49590784 235.45660483],[102.36490571 199.59099034],[ 86.61030766 176.01170154],[ 72.56640965 152.20248152]
[212.81538938 332.05682279],[259.85814247 326.45351405],[293.60216892 285.43290724],[319.45427379 253.41286286],[342.0788253 238.0406592],[255.01621654 216.28577118],[272.47240276 163.90254062],[278.29166887 128.1561499 ],[281.54567757  97.94992903],[222.76770771 211.63578978],[227.77262465 149.85858157],[232.73161462 106.32704812],[238.03440875  71.44216176],[189.91344752 218.62584522],[180.68811846 165.80203831],[175.94141381 126.71184484],[172.75692282  93.72558967],[160.99521419 237.89078542],[139.5177707  203.06548005],[125.60387334 179.14964275],[115.39518334 153.99672713]
[233.55200136 323.21205019],[277.96994523 320.44419034],[310.71896417 281.7343942 ],[336.1704397  253.09170006],[366.69346689 240.34020436],[276.13884089 220.61277843],[291.84729437 167.33619486],[300.14915086 135.52488431],[305.03890117 108.81331818],[243.87997512 214.34956732],[247.79472772 149.91665283],[252.6911323 106.7315576],[254.74882498  73.7857615 ],[212.00934179 219.82799296],[204.14103672 164.10657167],[200.58280336 127.43786158],[197.18463706  96.14562283],[182.9905797 236.419264 ],[160.11448858 201.16621113],[147.78039645 179.47989627],[137.38235709 155.92927613]
[258.34047279 329.02660156],[302.16880239 323.31544177],[337.80767884 285.73337626],[364.85311343 256.70980042],[391.03631501 240.92085598],[301.55107597 221.36429737],[315.10195837 170.48706431],[325.09362596 139.54498961],[332.22254727 113.89489885],[268.14085886 211.71220331],[269.64908339 150.82039995],[271.74381017 108.68992308],[272.0764024   76.68508126],[235.64935993 218.06540335],[228.54277419 163.86583309],[223.73709669 125.82180214],[221.13054384  94.60345594],[206.98012099 237.23816918],[185.02656505 198.33900649],[172.53567057 175.18567358],[163.54494389 150.31812987]
