[257.50275972 381.12071998],[292.46227235 376.13647893],[300.76675849 359.56449712],[279.26364208 344.91790678],[248.57660938 333.19427639],[307.08284393 309.59282475],[322.87650181 280.63404542],[337.39724156 259.03974494],[349.17088355 235.75951303],[279.65423911 305.29901961],[284.06288971 265.57895797],[286.15760819 236.27693526],[287.63316843 213.11030198],[250.70201127 308.02095482],[251.9280741 282.4235745],[251.20242974 265.27118101],[251.62787207 248.09900361],[227.1386472  324.09821753],[234.26507411 307.24176891],[240.17485556 319.16114402],[240.95709557 331.66704619]
[ 81.86047447 334.91141654],[129.11643609 317.73590697],[138.66359968 288.93028434],[110.40528901 256.60980086],[ 82.01705143 223.11146422],[155.73925033 221.04233369],[173.0710079 184.9210856],[188.05166353 160.21262575],[201.55530857 136.6071202 ],[123.76277356 213.34961083],[127.90290416 171.39541853],[140.64446656 138.88230916],[147.35703385 110.8385952 ],[ 89.18616379 215.89697554],[ 76.32118551 173.16661746],[ 77.51946471 138.8890869 ],[ 74.50007168 108.52576323],[ 61.40805346 235.44477114],[ 59.81864872 216.3958548 ],[ 59.32512687 239.44801043],[ 52.04438183 260.91383392]
[ 35.9374057  337.23144606],[ 87.3902283  326.73502717],[108.25563176 291.55634661],[ 92.85141338 256.84024033],[ 78.051373   223.49510054],[127.60437205 235.5546911 ],[153.65670287 189.32103002],[170.36059156 157.21285245],[184.46174619 123.8174542 ],[ 95.83814696 229.38827206],[101.65215354 166.93323621],[116.45565821 128.45472409],[125.20274246  95.74348184],[ 62.11729965 226.42836735],[ 53.45058901 167.87453213],[ 58.48759179 140.47871785],[ 54.17877998 120.69823878],[ 33.09115419 236.51599828],[ 25.88164935 198.01649715],[ 24.01474792 200.59129448],[ 13.1375279  204.67534373]
[ 36.52508821 337.1424342 ],[ 89.22897487 324.21676232],[102.61642323 279.26765628],[ 90.55687019 244.06234004],[ 75.37993963 215.42358718],[117.59354685 229.96180617],[145.21010966 179.2439263 ],[159.81207941 151.4014561 ],[171.89057573 125.95012188],[ 87.65382914 230.25105611],[ 82.8337925  165.39977656],[ 82.86417725 126.96140685],[85.99692932 94.18100789],[ 52.59776082 232.82092739],[ 34.6046095  185.22233091],[ 28.99277153 189.35339974],[ 23.76711996 190.76992767],[ 25.31068771 245.47701481],[ 20.21035419 220.93397484],[ 22.20326689 239.29104754],[ 16.27316513 255.20586929]
[ 37.70763352 331.68786048],[ 84.21523121 320.31400771],[ 96.63652508 282.93752623],[ 87.34417295 247.87840724],[ 81.37681542 216.311448  ],[120.48737592 235.86343665],[143.16505119 189.40145493],[157.85098628 160.43239137],[168.25126723 129.81118902],[ 92.29021934 232.76253333],[ 89.70580728 170.98696896],[ 91.91347074 131.46877603],[95.23042859 96.64204297],[ 60.50674983 231.97314357],[ 45.56542853 181.76799411],[ 43.50632905 168.22624699],[ 39.18518387 156.39205797],[ 34.4657089  242.95121707],[ 24.57789425 215.22364566],[ 18.28045878 234.07606043],[  6.57471357 251.55424844]
[ 46.97709677 324.17708266],[100.11240925 318.35424166],[114.71383817 288.80466793],[ 96.28005464 255.22823754],[ 75.9965429  226.33339073],[123.82721639 223.06269354],[144.29999172 182.06381722],[160.29069337 156.1461822 ],[171.40981171 127.83949762],[ 92.16979164 215.73860815],[ 90.36526206 162.32081135],[ 97.44915932 127.24832667],[99.47466828 98.18927953],[ 57.52552811 217.09523333],[ 41.47974728 174.27851636],[ 40.37716504 170.93727614],[ 36.17387353 168.24055417],[ 28.94311306 232.20150628],[ 26.52271526 211.82274267],[ 31.56348462 233.67812929],[ 28.73221959 253.89857734]
[ 75.12778806 330.00117726],[127.26917018 306.02745814],[134.18514047 274.47446228],[115.66587694 245.81757695],[ 93.63263271 217.23745384],[149.7148932  226.43336083],[174.34490604 186.63780205],[191.30339843 160.48199022],[202.73278986 138.3575234 ],[120.02532206 218.67014355],[120.15694361 168.75236037],[129.63893475 131.43618901],[134.71758842 102.70198329],[ 85.89543268 219.48779826],[ 71.14943255 173.46532885],[ 72.65374886 136.57236541],[ 68.79780056 109.37306406],[ 59.88047182 236.07812475],[ 54.14608992 214.49960778],[ 53.42824614 231.69420004],[ 44.62958386 249.15080468]
[101.65376968 329.87270511],[150.50720358 302.6892482 ],[154.45818958 271.64793851],[130.37513432 239.23235908],[109.57134959 208.11204132],[170.34249372 222.05980279],[192.46998429 187.49670361],[205.52751335 160.53879027],[216.70587739 135.41514839],[140.83214174 213.18280792],[146.88806271 174.10846744],[156.05826407 139.75759359],[161.02850374 112.05121544],[108.15773327 214.04102285],[103.45892389 172.01193381],[106.41654927 136.743628  ],[106.30536173 108.66197374],[ 80.67899599 229.3443424 ],[ 80.94162206 210.1428541 ],[ 83.58184554 227.83638873],[ 80.39275733 247.7804801 ]
[131.32382901 324.21122936],[182.07406884 300.8045833 ],[193.25888375 265.3398558 ],[172.79266584 228.85747868],[144.95411116 203.21676363],[200.13276752 215.28108227],[224.81344377 178.86472707],[240.36453654 153.38916731],[253.39148543 128.99489791],[170.0895875  206.55786011],[181.37861958 165.69264901],[193.35280852 132.17985182],[197.93211656 100.45837245],[135.51378346 208.32071857],[129.87598495 166.51222636],[129.65438099 130.57423627],[126.18530696  98.04605169],[107.75015711 224.66656023],[111.14188003 200.97969087],[116.04200989 226.37715652],[114.700906   249.89632283]
[161.54931784 309.50028809],[205.79454442 293.89246632],[219.60853948 260.2363009 ],[201.67943104 228.31917331],[170.05477728 208.33379085],[223.99370727 208.12097327],[246.89398719 177.11312998],[264.95922078 149.81774376],[279.73030897 120.57163407],[192.92296314 199.47071751],[199.64253285 156.84821231],[207.54856339 120.9743996 ],[211.77038986  88.79321404],[157.79874294 202.84281976],[150.93503662 162.29838191],[151.54181537 135.825724  ],[149.79068946 110.80681004],[129.41601778 216.64829676],[134.24322356 192.62422289],[142.19374046 212.92915333],[144.43230321 228.44803152]
[175.52448331 314.94686575],[222.15342607 295.94720128],[238.99170996 265.17962724],[221.8454678  233.76078042],[196.75957911 210.57558673],[245.41498256 207.45798689],[268.38552988 172.28983409],[284.86260823 144.36928444],[298.56355984 116.37831609],[214.21080077 198.16523064],[221.99491005 156.80161902],[230.59881046 122.9999656 ],[233.05722554  89.59498253],[181.12095544 200.73265051],[177.51983665 159.14511189],[176.44607823 126.04817114],[171.37852521  95.48805622],[155.11464131 216.0079512 ],[162.53146577 190.10119963],[166.40297482 212.31317307],[164.24196366 233.81039247]
[211.14962034 315.02542608],[258.11968792 293.82822076],[270.23574558 260.18531948],[254.36801836 227.25337641],[228.37115122 204.79134648],[272.74054082 206.56503933],[296.17276857 170.76583944],[311.69103317 142.33203704],[325.17227392 114.93849029],[241.76710876 198.96363753],[250.63489209 153.54714392],[256.83541689 117.66561818],[256.49892336  86.78797378],[207.16791368 201.72616894],[205.54445967 161.11027763],[202.74415811 125.01046181],[196.919571    94.81568145],[181.3898902  216.75141613],[194.51279418 193.33443354],[203.45245717 215.84211963],[203.9724791  237.60577212]
[230.97220045 307.0059935 ],[277.11248297 293.17062682],[296.84210945 266.26340978],[284.04386085 240.83269119],[261.73041783 223.27779667],[293.78101603 205.04469841],[318.53368957 166.97758998],[333.98752684 136.7744084 ],[347.55739459 110.42627804],[263.07671156 198.78240293],[272.29073213 149.22532611],[276.45730888 115.64149603],[278.34140395  84.99989175],[230.41410802 202.77160365],[225.25378797 157.30274679],[223.11057962 125.66540939],[220.34145925 100.6802047 ],[204.92171863 216.51060572],[209.80570278 186.51098387],[215.80231044 196.34126336],[216.58725486 207.9942193 ]
[244.67576187 304.84066551],[289.78958587 292.6135489 ],[314.55332325 266.31527203],[305.15904386 238.01633961],[284.90826371 215.06342945],[312.49050418 205.49176243],[337.36486901 170.23245053],[352.23011028 141.68032351],[364.51023538 112.49713513],[283.13535366 194.40881139],[292.85579113 149.24160905],[302.00143392 116.2084626 ],[307.46887674  82.94268867],[252.66292293 195.37695341],[245.70105506 152.45176289],[242.80115303 118.09861155],[239.26362859  89.63075426],[228.77069472 208.9445432 ],[229.21881046 176.05293274],[227.77952513 180.35255173],[222.11394342 186.71644624]
[264.58079193 303.48385267],[310.51844751 296.42486077],[337.14899668 267.51291541],[322.34852533 234.89873589],[292.4415637  215.61907104],[335.53149716 207.16437212],[356.43435347 169.24475033],[369.44802353 139.15843818],[382.6491928  110.22252259],[302.88332497 198.37055948],[304.40989511 149.92199082],[310.73051351 115.90080773],[315.52071514  85.78970264],[269.80008835 199.08782165],[259.9558834 153.5563332],[257.4143294  121.76368239],[255.38097307  97.62436874],[242.97542121 213.6717587 ],[240.37775207 182.17749924],[239.14883284 194.11501248],[233.65022398 207.97073179]
[280.81256131 303.44819454],[325.55952416 298.78695365],[349.01039599 272.72325581],[340.78669922 245.15676119],[320.30466921 223.14345363],[350.02299371 209.81617809],[371.98439752 173.69238821],[388.67932268 144.05963581],[402.9656533  115.44554774],[321.04104352 198.93542689],[324.28805    147.70615116],[333.62434341 114.45088954],[338.82592619  88.1551303 ],[287.4778354  199.48197921],[280.98315899 150.53962471],[281.57187648 120.57381112],[279.10544124  97.91627148],[259.60946668 212.10571355],[258.18373171 184.08680871],[255.38034173 194.99598096],[248.13409776 205.78906236]
[286.858633   305.70435582],[335.89763137 296.74314818],[349.53451131 271.58882932],[341.13488668 242.45423868],[324.41603294 222.99089281],[358.70688831 210.86606072],[392.81504226 169.96120235],[417.2880446  144.17045782],[438.88425462 116.24020285],[330.35242724 196.64399167],[345.40644137 140.16403221],[358.80539799 101.32393956],[364.6018948   68.70753014],[300.17609845 196.17822849],[301.1740395  146.91849726],[305.84168342 107.13495104],[306.26314703  71.92993178],[275.0391434  210.11377378],[278.76529196 181.29067186],[279.24830975 190.51645759],[273.39399619 196.13945272]
[298.55487238 304.71374714],[344.48966844 294.22954281],[355.55858805 268.57915872],[342.78545556 242.22293619],[321.67361047 224.3446545 ],[369.39922699 210.36625462],[395.21974321 168.21758085],[418.04772678 138.91331491],[439.10297029 111.67808031],[339.16069387 198.27497997],[346.89118673 140.29362292],[356.29884236  99.24530644],[360.94732972  66.95016025],[305.63490038 199.46485243],[303.2747172  148.03279273],[305.9925912  109.82982088],[306.45802244  78.2510939 ],[277.38909572 213.69778422],[284.36533727 189.79550645],[286.03563644 211.49227572],[279.23887394 229.62028624]
[300.69022175 299.94436831],[343.76171833 292.31686505],[355.24329556 272.8545493 ],[345.64458298 247.54908414],[327.60060326 229.89547794],[368.20779416 214.11105221],[396.31640217 173.70128244],[419.66156026 145.62270692],[439.42162231 119.99526015],[340.48908372 202.37918919],[349.82593217 143.74121927],[360.06419726 103.54299852],[366.39550744  71.99427553],[309.41776178 201.97354044],[306.90867334 145.63397291],[309.07890826 105.08124373],[310.97308219  73.80531826],[282.78781792 214.22179449],[292.48373021 186.4977667 ],[295.92261353 205.79513193],[291.42711794 223.48037484]
[310.75316205 294.51521405],[350.18164996 289.53892161],[360.88640624 268.01454664],[348.01797313 240.933735  ],[326.27498388 221.34439462],[377.39420039 208.10452569],[402.68736217 171.75700098],[426.91486244 143.74420745],[446.92590194 115.55858124],[350.56904468 195.7752201 ],[355.33845485 142.65718152],[362.9191853  104.92171328],[365.30885534  71.12736511],[317.63255397 196.75778892],[313.43758527 147.89312533],[313.87402832 114.41397067],[312.59808229  84.12802278],[290.4107686  212.37146885],[296.98692041 192.61318828],[298.04574044 217.25380201],[290.6185057  235.97403057]
[307.49043689 296.99291759],[352.21646398 288.91690525],[369.0941495  267.61326283],[357.44925338 238.1261185 ],[333.46797191 216.56186595],[380.84200888 205.76643888],[408.06860752 170.15975614],[431.65687041 142.84141838],[453.11781819 113.91570643],[352.63184438 194.45553787],[363.6971609  140.32986149],[374.85142936 100.58466445],[381.84052489  66.80058015],[320.47021812 194.02723909],[321.37580237 143.22263032],[325.2370117 101.2493136],[328.2061732   65.02244124],[293.10604855 207.27262584],[304.35879044 180.78950348],[309.56737098 194.27996856],[306.85809161 206.25448506]
[317.80929789 296.05816251],[361.04134296 287.7111278 ],[378.18850182 265.51416068],[366.96775511 233.02770567],[345.20742472 203.91283553],[394.69233272 210.49890972],[419.12940351 173.84140059],[439.44366587 144.6561723 ],[461.5134294  113.66511814],[367.10965614 198.21314029],[379.08325164 143.09806655],[389.7119726 100.4996574],[399.94170135  63.28933203],[333.8581492  194.76617148],[335.31278025 140.3461651 ],[336.62231211  97.40907363],[340.14569397  63.03868811],[304.00123674 204.10201154],[313.01303368 172.00033441],[316.61371951 189.17721254],[315.59943055 207.05239105]
[324.07686981 293.15939256],[370.61403632 283.24461002],[382.86296454 261.66096802],[369.10403022 236.25064289],[345.46466375 219.94639692],[397.39146137 199.303243  ],[419.4218332  162.73119309],[443.13061411 133.87737517],[466.39000371 105.65807369],[369.90930474 189.18626977],[379.46434675 134.41409618],[390.35944743  93.91147434],[397.32533477  57.04693467],[338.44867532 191.12785457],[338.20738037 140.7431789 ],[339.22038426  99.98086381],[339.94310264  63.93180775],[311.96322012 206.23027876],[319.80698902 179.27588626],[322.01340742 197.76997249],[317.28432382 214.12478287]
[334.0022727  276.80979077],[381.76037183 278.73650298],[400.87809805 256.32490726],[386.1167608  234.65895575],[365.15782877 219.75929901],[400.28330316 194.31831669],[423.3413962  158.73672954],[441.13961612 132.58972642],[456.74281618 106.35940941],[371.9275899  182.72263761],[378.56076064 135.95446347],[385.73811075 103.6557649 ],[389.94189059  74.23619023],[341.01957103 184.11774513],[340.64647849 144.06863368],[345.51515216 116.90901218],[347.83958449  91.7483322 ],[313.9191616  197.50213782],[324.19254918 180.73677406],[329.82097715 207.56246789],[328.7777154  231.02707569]
[333.4237054  290.02604673],[382.49193503 286.32292916],[407.79177    255.58057686],[400.23475946 223.87807758],[373.15597703 198.6368148 ],[414.87450494 197.06271523],[438.11054338 163.09484654],[457.88716057 133.29801313],[479.57191472 103.16740105],[387.03915976 182.69337936],[400.62714848 134.71557061],[411.86729206  96.59682698],[419.78711842  60.39214443],[352.42097525 179.34799383],[355.44490931 134.08112   ],[360.65471808  96.26478277],[364.60673439  62.82412788],[321.27230569 188.81856206],[336.79264534 162.85494059],[343.62430824 178.31840441],[342.97385038 192.77490746]
[346.30848684 281.32971583],[397.00779506 282.72158764],[425.30679129 257.90503818],[415.59403282 221.76914834],[385.33263858 191.57600414],[425.10751353 188.32578083],[444.85719396 150.42721037],[460.12510312 124.5865058 ],[474.95460375 101.44609055],[396.80364418 177.056851  ],[404.4325057  130.35743324],[413.47671512 101.41242807],[422.75612799  73.5023058 ],[363.61496795 176.64751818],[361.01184447 130.17454683],[366.25245397  99.51448705],[372.11239408  71.73751937],[335.21344311 190.74961779],[345.84065416 167.69307579],[351.95890402 193.84757241],[353.62196959 217.07812307]
[355.87865517 280.43762433],[405.94510036 279.74563872],[433.34199793 251.16131608],[428.04654361 217.21230418],[399.85585705 189.47562094],[435.55341343 183.16423806],[456.68805854 150.76373272],[471.38689342 124.32924448],[486.10703658 100.21230264],[408.09268933 169.11020385],[420.16365083 127.01132815],[427.86641303  95.80451313],[435.31833401  65.27823121],[374.80227055 169.71929021],[373.53065511 125.81164178],[376.24107161  92.22194307],[380.24952317  61.43314678],[345.34610313 185.03235632],[357.36769711 166.42045658],[363.62088526 195.28877913],[365.58658498 220.29924997]
[367.55042894 279.13840727],[418.80289056 276.07434382],[449.22227641 245.40389444],[440.67903929 208.92656143],[407.65803777 181.71812021],[447.22130669 182.60527897],[468.18789078 147.01853674],[483.93408635 121.00092708],[498.43952198 100.76713518],[417.57837059 172.46131142],[426.68369489 130.15984724],[436.74557762  97.27194242],[444.81154546  68.59576994],[383.22891702 172.29017691],[382.49175134 127.78146206],[387.79159147  94.32038175],[391.95104207  65.66558586],[353.85176728 185.66811436],[370.69471778 164.12264486],[379.39445076 189.44656711],[381.48733951 214.28174342]
[390.49364661 264.32955626],[432.98033896 265.39480037],[455.25632442 239.22004633],[449.55678094 209.00314836],[428.62893536 183.65957931],[457.69615772 183.09059976],[483.20448942 147.05361965],[500.24837779 120.63717484],[513.28994954  97.78510373],[430.47291183 170.89969164],[441.76240077 123.33741597],[449.20955881  91.13310288],[451.97467029  63.41207257],[399.45783343 171.44113428],[403.52450399 132.42770028],[405.50018484  99.52267038],[404.87137574  69.7980789 ],[373.11209771 182.24810204],[387.4026039  164.44354973],[394.76637825 191.09914429],[395.8571643  213.87825259]
[393.72700928 282.20083318],[438.33732347 273.20155021],[472.1932031  238.92451608],[470.53492933 202.40755254],[446.64352399 183.05671024],[474.70197434 182.26822307],[497.22663162 148.78030161],[513.36181589 121.96764587],[529.12521235  99.576737  ],[445.42852646 169.47006921],[456.22584055 128.15420229],[464.47801496  94.21130671],[471.8404311   62.53518474],[412.4719085 168.3277734],[414.39832965 126.10640614],[417.15380068  88.92486959],[418.88949111  56.55096003],[383.07420603 181.84089665],[400.31632441 159.68922332],[408.24013017 180.7110666 ],[409.57401319 201.02653846]
[406.0866914  282.94424511],[453.41903566 280.88153487],[483.26208429 244.63600849],[482.43767439 211.07960568],[461.90398639 189.95397234],[478.69576702 186.50559104],[499.42224829 145.61344326],[516.2322293 115.7630835],[534.46108823  89.15341512],[448.16725624 174.37920557],[465.44349484 125.44210417],[475.5699053   90.54920301],[483.72773421  61.30696765],[417.43355365 176.87362597],[424.91345074 132.78754609],[431.01192172  94.72136342],[435.91947933  63.60339578],[391.99962109 191.99740783],[411.62110359 169.468886  ],[422.64168066 192.18307826],[427.59824201 213.75310618]
[420.88287139 271.17648367],[468.90517234 269.27416333],[499.27827643 240.66056553],[497.7202126  210.55200369],[476.83041974 185.65907517],[495.18133221 178.53563564],[518.16793222 145.29715464],[534.43268828 120.14602991],[549.09756559  99.40145048],[465.99637848 167.13559969],[473.26788666 122.75069958],[481.50427924  91.37658459],[486.58694505  64.96280074],[435.22981205 167.9371844 ],[438.35490633 128.49240931],[444.26998892  92.04202956],[448.91537128  60.1553263 ],[410.28932434 182.50637553],[428.8197364  165.66704703],[438.12605417 190.10691403],[440.14609458 211.46739135]
[436.75185143 276.47438309],[483.82915515 275.98264439],[520.53532958 243.80170448],[525.26352787 211.57018863],[506.68230729 189.68276117],[510.14853108 176.91362283],[534.59559409 141.9026616 ],[552.39337296 114.14572486],[569.48578819  90.84232028],[479.06942507 167.85286936],[490.3582963 122.6920883],[500.16578331  88.72018751],[508.40721515  62.79425637],[446.82135944 172.11090213],[453.45477741 133.38933369],[460.87699977  99.6679801 ],[465.28801317  69.85725503],[422.09299891 190.31939031],[442.53668095 179.38989904],[454.80452028 205.6851819 ],[459.03739977 227.50541032]
[440.53775259 280.45904116],[494.15565299 277.0466184 ],[529.42465268 239.13641264],[534.27728649 204.30471184],[514.60171326 186.98951969],[518.86961847 185.39904985],[543.14079309 138.80291804],[560.90056225 108.5369623 ],[578.74975809  81.45702393],[490.0023039  175.79971035],[514.34654777 127.06381987],[528.18566451  94.56299186],[538.22361583  63.09340924],[458.50590771 175.84776553],[468.66352009 130.40387863],[482.56912174  97.5095815 ],[492.36615589  67.75974936],[432.10752934 188.75176922],[452.21125329 172.07924295],[464.58830214 194.10898519],[471.28378756 212.58156513]
[463.4002622  280.05281098],[510.90060214 277.0543805 ],[546.38086871 244.73638979],[547.58619932 215.31574467],[528.69862869 194.51435833],[534.68420399 180.70202831],[555.14078295 147.29978699],[569.84537312 120.91961526],[584.41377504  97.07309514],[506.43345397 169.88441073],[517.69321426 128.59192446],[525.00967317  97.14952788],[530.53987075  69.42149678],[474.76334699 171.53102604],[483.81184364 133.35708719],[491.4247055   99.01175465],[497.11325494  68.40156597],[448.74497445 187.25226734],[473.53728885 173.74077989],[486.4108381  200.35614193],[490.21815405 222.2058425 ]
[466.07092628 285.40330267],[514.30057496 278.93840034],[549.35134805 240.92717607],[557.69740696 210.98032234],[545.90095326 190.36909292],[536.16099206 194.90694835],[558.40503198 148.92815406],[574.33948338 123.18875669],[589.92977748 102.06975986],[508.81628934 181.91787938],[531.55010007 135.552418  ],[543.13987931 103.83122432],[551.42679175  74.79631587],[479.33087835 181.07274798],[492.95599728 136.72325613],[504.81505749 103.32354823],[513.91850836  74.11604832],[455.32198786 194.15573287],[478.78736654 177.64118753],[491.21630407 201.15313344],[498.06829716 219.99070716]
[460.98498915 288.34208759],[512.495702   289.33188911],[550.60989858 257.94983271],[554.22776076 225.52390321],[530.77074138 201.94209783],[536.10222776 191.03126291],[555.49112279 152.74000847],[570.31564521 125.2565961 ],[587.78286601 100.58800902],[508.14999689 183.5179475 ],[525.67036659 141.37990729],[534.65589581 110.14916756],[543.38111114  83.96470042],[475.84802814 184.88306958],[489.43737393 149.18962455],[501.0181167 117.1169273],[510.04940052  89.31305472],[451.00292707 199.87785194],[474.77598974 188.91823168],[489.12565982 213.10745932],[497.63260615 232.80993401]
[459.02944207 299.24813814],[505.44033652 303.71924907],[538.2238927  273.35612946],[542.26303242 241.92408971],[530.40432652 215.8470247 ],[527.76379796 211.63260453],[547.92932752 175.03811821],[562.38787905 149.75603251],[580.2167031  125.73106708],[502.74237057 201.02623322],[519.71055914 158.42233336],[530.01497653 127.79350757],[538.7095643   96.86619218],[472.86291299 198.08976898],[484.13500683 159.54118278],[494.04587801 127.08386618],[501.52647041  94.8984869 ],[449.27619675 208.84062203],[466.63902112 188.10097484],[476.0118785  203.29150678],[482.53889207 212.80672459]
[457.55222987 317.81911152],[501.22315453 313.58558964],[539.02583715 282.76259655],[540.67856783 253.76341014],[518.98072042 235.9203829 ],[529.04056021 221.84960328],[554.12820114 185.8907567 ],[569.39582544 163.28769194],[585.5795537  139.59488745],[503.28013128 210.09151306],[519.29471444 166.91396262],[529.965718   135.97312829],[538.06497005 109.29366004],[472.87285185 209.10598981],[481.74275105 171.95903873],[490.89081867 138.33825706],[498.42538272 109.04942032],[445.96701604 224.51885186],[466.38448708 212.47243562],[476.09961513 240.96377985],[481.842603   263.63585253]
[447.68455921 335.28162609],[491.41086103 333.21380178],[529.26399258 295.39344765],[533.00439767 262.67134   ],[519.13245924 243.32431518],[528.60659488 235.31698122],[554.01621459 195.86004714],[566.88360538 168.41890761],[579.95893369 143.00996523],[504.03177235 217.90632926],[521.555712   176.41503064],[532.15460285 145.0543908 ],[541.49436242 113.02803692],[475.13563818 218.56936034],[488.18610078 176.55113486],[497.68095708 140.10334095],[506.67887682 105.33246941],[445.1161177  237.92192049],[468.19101745 211.54043966],[481.86732637 229.56265349],[490.24086623 245.63497268]
[460.13341599 312.32459259],[499.91362125 315.873539  ],[536.34549733 294.55399559],[536.59535089 275.36069748],[514.74200835 259.3944706 ],[526.24935148 225.58425596],[550.33490242 194.63920248],[567.28148157 172.08505409],[583.9499069  147.90628683],[500.69988907 216.80350282],[515.43843348 177.16289695],[525.11867205 147.7916106 ],[530.524183   119.44557753],[472.27561878 217.49077667],[481.88448725 182.92467569],[490.15370065 153.14643734],[496.20155628 124.44099853],[446.57392125 234.14573292],[467.42499398 223.76040589],[475.65174473 254.79540538],[477.80450114 278.10395923]
[450.70192137 350.45761167],[492.03902814 341.48787051],[531.01606637 307.09833712],[539.39041766 279.95273878],[526.92767908 263.10795804],[525.12164526 248.52612887],[550.95230036 207.86433161],[564.1510747  180.33298244],[578.14660653 157.04297496],[499.92669066 233.13027388],[517.20564709 188.28416109],[525.99054912 153.85715018],[532.61070447 123.52704901],[471.5405332  233.19352276],[482.69824955 188.76879557],[487.14140095 154.71866377],[490.78208463 126.29952697],[445.3607643  248.25189676],[467.11302551 223.01981255],[478.08115622 246.63254638],[482.30445483 269.60660774]
[469.31466416 352.73081802],[502.53501472 352.74023917],[527.26946633 320.49689386],[521.86736117 297.13923587],[507.51668437 282.7777935 ],[523.79453532 263.82622102],[545.81419381 226.0099168 ],[561.38231604 201.01945056],[575.53533587 177.39864599],[495.20524538 251.84514826],[511.3280245  202.78649238],[520.20705047 170.3150727 ],[524.02754448 144.52244575],[468.08376347 255.78868524],[478.62037355 215.02505753],[481.33769376 183.80966659],[481.03893865 158.0007474 ],[445.6193772  273.83005119],[456.86053732 252.1285957 ],[464.59850078 271.53692968],[466.8611402 290.1323202]
[449.52506578 389.16615965],[487.45774743 383.01615055],[526.85679637 349.31807849],[527.22313008 317.99640987],[504.55442024 301.63175364],[520.8496408  292.15388154],[548.36052773 246.13783171],[562.26554331 219.81756017],[574.25733626 199.23722108],[494.97222208 275.75253285],[512.27907435 224.69970382],[520.6549448  191.58605167],[524.22299027 164.04400999],[464.95735668 274.29535104],[475.02153662 226.12849059],[480.84329561 194.78427598],[482.77850686 167.22209633],[438.37201308 287.51198765],[457.56072294 266.33155609],[466.13532025 296.79583255],[467.31340877 321.78638371]
[456.13551044 378.88322422],[498.48324155 382.62901647],[525.23393735 356.74299413],[521.91480588 331.35127797],[498.24321852 314.44972655],[515.60369779 291.51276804],[544.70841212 254.81428093],[560.45821057 230.42245291],[572.13469124 212.07650453],[488.41418854 280.33155714],[502.26764011 234.50975199],[511.4149284  205.23313034],[514.79290461 183.98106845],[460.64700973 280.41676489],[469.08243324 242.84155039],[476.29138033 214.30296349],[479.65193095 192.69012228],[438.23875866 293.46754804],[455.14272706 280.21427746],[464.4811982  305.13762076],[466.78040343 327.48903233]
[452.4510746  385.81095361],[492.75941943 389.65053763],[523.41015069 361.957564  ],[523.94920213 337.87591629],[505.63295003 324.68123963],[511.70036381 300.90271676],[538.5907057  267.27731676],[558.0343474  245.14507678],[573.97250711 226.98449701],[486.43272921 291.19945154],[494.98877448 247.78149586],[505.99682916 217.9377485 ],[512.06304558 193.62297658],[457.87511231 291.65272511],[461.95383206 253.49911444],[469.83702418 226.16248535],[473.39726159 202.6199277 ],[433.4826125  306.36095075],[451.07506868 292.60528616],[460.53958714 319.65174836],[460.71480175 341.86362928]
[439.67229595 412.45610598],[477.68794414 417.60165409],[513.17863047 392.81093026],[513.26177664 361.72421845],[486.0611495  339.41958899],[509.79395817 329.70567911],[539.78591956 289.92904082],[559.73135324 265.43503402],[580.26559845 238.7979798 ],[485.01239117 312.97404006],[502.33978004 263.74817765],[518.52288699 230.447651  ],[533.35563542 196.60574798],[458.80248738 307.88002885],[465.93761812 265.58598833],[473.76556273 231.63854239],[481.68508602 199.27890624],[432.42786628 313.76819486],[438.01219723 284.04599197],[442.7092225 286.1804323],[444.9913697 285.5336294]
[439.09831442 432.11033902],[480.25381584 427.19609847],[508.40757248 391.74999851],[504.1221669  357.74179782],[480.54185919 338.71689551],[501.61212538 335.60090187],[524.51042051 283.19115977],[544.16253915 256.41837147],[564.15767913 229.79767551],[471.94189525 322.28143062],[491.90113159 272.26866718],[507.76412116 234.35205605],[515.99718696 197.62942425],[442.12454776 324.34605341],[457.34161623 282.12617067],[464.90171018 242.56034333],[467.93066385 203.9836752 ],[416.76079306 335.49010452],[432.67192688 308.21447564],[440.84895343 313.44021709],[442.37902383 314.83781023]
[433.16867583 437.3643456 ],[478.79495946 435.37426815],[511.96356042 405.70090806],[513.35774251 375.70300392],[497.22619861 356.29436651],[496.77927321 337.03094937],[524.22815934 292.29557655],[543.64644944 264.64049538],[560.44137862 241.5676725 ],[465.9604677  325.07644549],[480.94748221 276.07348547],[494.00430944 241.70295959],[503.5885837  212.72145925],[436.80905873 327.95876907],[445.60260845 287.07261521],[452.46538214 254.0286677 ],[453.4702965  227.36342511],[414.10261729 340.907981  ],[429.69666184 323.26944767],[441.45532777 336.98259664],[444.02345435 349.05363101]
