[271.47813946 365.71398752],[308.88148984 348.61427143],[312.80307777 325.39998193],[304.46010668 305.18657914],[291.10669805 283.56650023],[326.1189805  293.60286246],[348.75213198 254.91769903],[364.99189828 231.46462072],[377.71386174 218.62595253],[300.4104968  288.95345262],[305.80770097 258.15655918],[302.81545161 269.42413797],[300.31648471 286.88188923],[273.06157017 289.0714625 ],[277.73984271 259.34619726],[278.14008021 272.21249222],[279.76947614 290.10276349],[249.7979893 291.1428502],[241.86501907 261.20176497],[233.91238987 241.827192  ],[227.7855201  226.94884222]
[129.59297768 260.75769185],[163.94272452 237.48967026],[176.64425009 202.62381264],[185.93054695 177.27955364],[188.50152924 163.53438039],[166.6337295  165.29267607],[180.40601707 121.35669802],[184.4162223   94.74389986],[182.91424245  70.29527566],[142.20272401 165.57001485],[142.18356596 154.63893071],[144.17587951 190.60040041],[141.75008582 214.25146337],[120.03988225 170.8780296 ],[120.69850116 159.60216467],[124.68454575 185.62811317],[124.09786594 205.32355412],[ 97.74456802 179.49468892],[ 85.20613222 143.63267368],[ 75.67847038 115.2694398 ],[65.53221159 91.91881508]
[144.70992845 239.85925134],[185.52375579 227.50974886],[193.61112172 201.53812795],[198.1720994  178.90637565],[186.48692123 161.91030387],[195.66241615 175.90327534],[214.30407594 123.14497617],[222.31187613  94.78169163],[226.07935662  66.75434884],[170.10349724 168.79052089],[176.27239469 152.39666294],[175.12297347 177.96719094],[171.98172638 193.19249108],[146.52865823 167.43594735],[151.09243354 156.51509745],[151.41903594 178.31672858],[151.81841585 192.68288581],[127.15848685 171.32394681],[122.10890268 132.06830764],[114.17648516 104.93793139],[106.21372187  79.30205559]
[173.91434028 239.8898239 ],[211.99876734 235.30707713],[223.44816123 211.04137286],[222.55879211 187.23995888],[210.72324783 164.88304468],[228.49190486 163.35199643],[241.70672683 125.853499  ],[248.68343676  99.35351765],[252.04760627  73.29807531],[198.2541093  158.83615068],[201.83958896 151.13613691],[196.61286048 184.27473392],[192.88705205 203.42265765],[172.38489639 159.02076131],[175.98927392 158.41405563],[175.24715221 192.89131584],[174.63180203 215.47191517],[150.58198539 161.50619114],[145.03040813 127.96426316],[141.74641262 105.43060242],[137.98208377  85.54459907]
[209.95554305 234.53458254],[244.63567258 231.4651187 ],[253.25637173 210.02869475],[249.87460722 189.69281108],[233.07067326 170.60938319],[273.77652942 162.33496516],[289.00823072 121.82936327],[299.61228953  98.22878465],[307.36957057  77.21564364],[243.87259851 157.25028703],[243.60204887 146.2679722 ],[237.95301236 172.42688139],[235.6000791  190.14835919],[216.42260453 157.77388943],[218.25554128 151.94022581],[215.1468547  177.50372665],[215.28970549 196.98903687],[193.43330844 159.45817411],[188.41923927 126.92043456],[183.90255283 105.26038673],[181.97892647  84.73469979]
[235.59288755 233.11110249],[269.21828326 231.7323613 ],[286.41494406 208.33817541],[286.36191152 188.94687035],[273.42352542 167.55083626],[296.11108009 155.17637997],[314.16114512 116.60549402],[324.12020664  90.93999952],[330.23937587  69.4406518 ],[266.40966321 153.87579764],[264.25193845 145.53658283],[260.54781341 176.90245236],[259.5063679  197.14360757],[239.81904914 156.89460252],[239.54170399 154.61142908],[241.02607007 183.76191625],[243.69917347 204.10392253],[218.09493127 159.82923777],[210.07590099 129.42487708],[203.42816371 109.50203457],[199.18928037  89.84519651]
[247.38575007 229.75453067],[286.47185953 229.75766189],[303.47497297 200.53887601],[295.22288567 175.09662617],[271.59002734 156.19647695],[313.40223623 152.46107914],[328.58742336 115.02400477],[340.18921353  90.98024176],[349.75471014  68.49821079],[283.87777893 149.98338329],[281.90407636 145.59279529],[282.195431   176.22074401],[285.95620028 190.87248451],[254.53370268 150.60072432],[258.42111662 146.84987073],[260.69299317 177.41464042],[263.52460444 197.04432348],[230.3476769  152.70291798],[228.52274417 125.1789606 ],[227.14739331 107.31006842],[228.50860133  86.87399706]
[260.03995187 222.46686693],[302.08415568 231.46577121],[317.96326839 208.22081101],[310.97521648 184.55222115],[290.57630732 164.05038542],[331.04407726 154.18257112],[343.19941979 113.24531563],[352.45802389  86.52614361],[361.2702314   64.41653622],[299.42172175 146.48410093],[291.69662804 150.43878282],[287.78749824 181.64427684],[293.2506017  194.63521855],[268.07435805 147.04430917],[268.75058264 152.2293844 ],[269.15249682 180.80826029],[273.29275658 196.1998815 ],[240.71859084 149.03101251],[239.87934975 131.08332494],[237.46207273 116.75893594],[239.07577976  99.25799247]
[275.38048307 217.05793237],[312.40057739 225.67236624],[327.86330836 195.8102949 ],[317.36389685 167.32090499],[293.33220187 144.3533205 ],[342.92167741 147.88539086],[355.31060726 115.71216899],[367.84540605  93.75675771],[378.6334361   73.04560209],[313.54691435 139.44959957],[316.68925418 147.48791349],[313.74807733 176.68144521],[316.26550927 187.48099761],[284.07599886 139.18679124],[286.21359438 146.60950056],[287.70049566 175.92580419],[291.57780997 190.09255304],[259.68958264 141.57985533],[259.30406803 119.35556272],[260.66744892 103.34823512],[266.99678029  82.74475588]
[285.80724464 218.82669781],[328.62741871 226.84646371],[344.75149194 207.0036631 ],[334.97318945 186.50107454],[306.3334854  164.04330004],[361.97080122 145.41681237],[374.56057613 111.47380929],[385.03619225  90.92896116],[394.92188531  72.00490768],[329.31955929 136.66688265],[322.06493915 146.56085692],[317.56300713 178.50310324],[321.28273878 191.11838078],[295.48178297 137.82629355],[293.88102717 150.70469514],[293.99617899 180.63008476],[296.91648233 194.65099855],[265.65745996 142.74718165],[266.81989853 122.36405217],[266.97860455 104.85442459],[269.83021686  83.0181056 ]
[306.03364051 229.11052288],[346.33439915 229.1877327 ],[360.41902578 203.90533493],[351.33519894 181.01846434],[323.04595639 161.76171097],[377.7165341  150.47613405],[392.12593892 114.65476871],[405.5207538  90.2244704],[417.6353567   67.48234054],[347.37634937 145.13651799],[349.59628494 149.62620513],[345.97520787 175.98557431],[346.41282438 184.32766677],[314.94472309 145.40923266],[316.6401471  151.81078947],[318.9204609  179.61599176],[322.77102211 192.47507909],[287.08771365 149.78036341],[284.8703353  122.90316101],[285.93751193 100.24518052],[289.69590911  72.73261373]
[319.89894734 242.71556984],[357.94394193 238.42838908],[378.58879706 214.69195749],[370.80976871 194.16075393],[345.40293478 177.9094381 ],[391.58620546 160.25161976],[411.02967811 125.11388943],[423.4889455  100.20416084],[433.9668861   80.27292721],[364.06317013 154.3667631 ],[367.1442704  153.56676076],[361.90305454 185.38526189],[358.92946055 202.06477281],[335.32808556 154.9836179 ],[338.94935458 153.56673952],[336.37865501 186.24115498],[335.21158576 206.27154277],[309.72932853 157.55961199],[306.45433118 125.56857394],[306.89706661 107.47882794],[311.29011438  86.00309533]
[337.79052512 245.58221954],[379.16158269 243.8723455 ],[395.56621924 219.63840313],[385.36311749 199.20622999],[361.15169502 184.09129308],[405.37784398 166.99358724],[423.20114405 133.21015881],[435.25286472 110.67332422],[447.0941059   90.27402622],[378.50059514 163.25597344],[380.91243144 167.96510325],[377.01710759 198.53930949],[377.40056969 210.3562728 ],[348.37557    165.10305704],[352.2302608  168.55956671],[352.76661552 197.52899981],[354.47993133 211.78588922],[321.80697019 169.41070088],[318.23316042 142.06373532],[320.32575989 121.96875467],[326.96504165  97.96388788]
[352.34054393 257.68070188],[390.30350253 258.19331364],[409.88369583 233.12618724],[398.85042648 209.27188165],[369.50556197 198.66619061],[420.15808497 175.20857665],[437.03601764 140.98340345],[450.12956875 118.8922193 ],[461.37593377  97.98108334],[395.27597184 171.39256285],[394.95240431 179.38545961],[390.32500345 210.4755948 ],[388.54293978 221.04246917],[364.35957176 172.52517289],[362.92709568 178.9030921 ],[365.28544438 209.91177768],[366.45383581 225.50116282],[335.58792855 177.34712641],[329.48084471 151.38190618],[333.43976875 132.45156035],[339.41986208 108.60717708]
[363.25192963 267.88659859],[400.90494491 268.70005623],[423.35722824 245.8406482 ],[414.34181222 224.56994072],[382.48369342 215.26709622],[430.19382298 186.88664247],[448.26607895 152.94826761],[460.76977777 132.34533401],[472.32344913 112.52058344],[405.13781017 183.43812308],[404.37616155 189.60061814],[398.81838513 221.36871123],[397.08460228 233.67513321],[374.43126533 185.34297574],[374.49517727 188.12984142],[376.55126992 218.7428698 ],[378.38220767 235.56278827],[345.52571553 191.34478885],[342.36071941 162.38245279],[345.01327951 142.25437924],[349.48177262 118.25321539]
[376.19651353 264.39179248],[413.17457303 269.84805453],[434.09327677 252.70770302],[427.91870103 236.84126629],[400.91076394 226.04279984],[441.04617716 193.12125204],[459.47864233 159.68191519],[471.15734438 138.64452178],[481.4956322  119.90105183],[416.72650861 187.94552395],[413.75701947 197.81531231],[407.49183704 230.69415834],[406.56326866 242.11897828],[388.21096234 188.09314152],[386.13089335 196.15842252],[385.18953229 226.7853    ],[386.80274777 243.28826966],[361.90253626 191.55664688],[359.94090109 166.01200087],[363.56546581 145.66483924],[368.64955741 122.98431442]
[396.95024843 273.92847231],[432.40849887 277.72390942],[455.81074468 255.93714862],[450.90536427 238.82639134],[425.79430552 229.76998592],[466.9631656  194.19822079],[483.29077841 161.08888595],[495.369073   139.82203839],[506.01142799 121.81152362],[442.58349032 189.37114359],[437.63362885 199.11464036],[431.69689865 234.07948325],[430.67802168 247.57597879],[413.98724528 191.31620462],[411.84656104 197.2422556 ],[409.32711916 229.0151459 ],[409.02496488 246.72763507],[387.66030432 195.00815665],[385.06699874 167.4217842 ],[388.24495375 148.55340211],[393.11106105 126.8535828 ]
[410.57967344 274.78809345],[450.52387738 278.8741084 ],[474.64305097 258.72113099],[476.05297999 238.57379013],[454.66688077 228.3925856 ],[483.58502449 196.2180773 ],[501.08422272 163.23293171],[516.50690547 141.68536488],[528.96280633 124.26303763],[459.16897661 190.59564206],[462.80317887 201.91470692],[455.2365472  233.92683561],[448.0127201  244.60870273],[430.80256178 192.1895396 ],[432.82614349 201.88595229],[431.8159936  233.96939901],[429.44479489 251.02246781],[403.74413701 196.74637514],[402.84608923 171.66860555],[408.92583693 151.88565186],[415.87387383 129.20235399]
[429.9214735  267.47411368],[471.4414841  277.20771116],[499.95587051 257.80681958],[500.3770872  241.15296602],[476.34515571 229.69257971],[505.33321547 193.55270537],[521.65888106 161.60629968],[537.32359821 139.91371345],[549.00985493 122.65751976],[478.22715974 185.50181796],[481.51952115 202.96849851],[473.59749015 234.62711317],[465.32130298 245.73580205],[448.87267271 185.89026767],[452.25986859 201.91171513],[449.78626426 236.53710839],[446.28305957 253.70053664],[419.80026203 191.04064322],[420.67111534 170.24642458],[426.42214479 153.7824109 ],[433.48891308 134.04990905]
[446.73594094 265.95752614],[485.40183981 272.34894863],[506.74108888 260.94209919],[505.24848933 252.89705148],[484.56834597 240.37187638],[513.56140626 198.44300105],[530.936717   177.24919676],[544.89148479 159.01432954],[555.88553574 143.7256264 ],[490.6320469  191.79646319],[494.9149226 210.1934437],[488.83552283 239.66152003],[484.86308538 246.93285211],[464.1216279  190.95049095],[462.66802208 213.77817501],[464.25314088 245.5850917 ],[465.1965427  256.03118739],[436.3805393 196.8537676],[435.2660131  182.25601911],[442.90747643 165.0183778 ],[451.80966937 141.8709483 ]
[450.86929941 289.47814806],[488.46265158 296.21571039],[513.22096886 283.64509426],[512.8713816  276.16110773],[486.51055072 263.01161473],[517.24878742 216.63346913],[537.05557245 199.78234616],[548.15886317 185.55707895],[557.14884023 172.56979145],[494.64309885 208.11839847],[502.27671393 226.00112121],[493.74120169 250.09817794],[488.84623306 254.70614202],[467.20923195 207.74910968],[471.06043868 226.12212842],[469.2796963  255.04905878],[468.98776276 266.15770134],[439.65233892 215.37247618],[440.74935273 196.67646343],[445.17172107 182.00071149],[451.03012205 163.51244136]
[462.98007062 303.48333299],[502.00553263 306.45445568],[526.41856068 290.71748358],[530.29205007 282.52005425],[506.68054601 276.89438015],[527.69788724 226.6265983 ],[547.61079936 197.2460833 ],[556.42932934 176.1316788 ],[562.37392856 156.77790673],[500.8513022  222.36922833],[513.43371195 233.20999009],[503.21478644 261.56185928],[493.8976212  276.01084386],[474.31957215 226.83478822],[485.95410414 240.65672997],[483.42797573 274.57522842],[481.01650884 295.60141702],[447.98212192 237.17222287],[450.634637   205.85467476],[450.75435458 187.6714888 ],[452.27504945 172.6643999 ]
[456.16564249 322.81272173],[496.77049843 325.63748315],[524.09014281 311.07826873],[528.62511545 300.83956049],[506.20648838 288.66755534],[524.16807854 246.62337846],[539.2576939  236.96947433],[544.81707449 227.76433777],[549.99349164 215.89916982],[501.92565981 237.46801568],[509.7202123  258.28797612],[502.76689436 281.697883  ],[494.59145165 288.64792196],[474.77052228 238.19314508],[481.0837931  253.29655821],[480.38350233 279.58639332],[476.44120123 292.89645998],[445.54236347 247.65065457],[447.44235544 226.41398213],[452.14808209 207.4743108 ],[454.75931934 186.93295905]
[464.71896142 320.99896097],[500.56037186 330.74681741],[526.61789159 319.7466178 ],[525.18608872 312.87128663],[503.30865594 307.28785542],[531.56853805 253.82217857],[549.85525343 230.41755963],[562.74326978 213.79881716],[572.98842371 198.67801242],[508.07676027 248.679402  ],[508.90545042 267.97955626],[500.38294771 299.22488568],[497.25273719 306.465669  ],[481.6071031  249.26069061],[478.50536523 271.25292458],[480.15821094 303.738985  ],[482.7669208  315.16835317],[454.35695948 254.13062109],[450.41564899 240.47749221],[453.77926344 227.47589246],[458.77698621 208.53446101]
[468.90491708 343.45263688],[503.62998381 349.9366535 ],[535.08535618 334.34882902],[536.99942399 327.65875525],[509.56256697 322.24645618],[535.74019763 268.39826531],[553.75836613 242.08706097],[563.53220224 225.30356461],[572.02609831 209.2534384 ],[510.74044838 262.5057103 ],[519.77316567 282.06173185],[511.34526446 312.58823934],[506.29029054 319.71538889],[482.44861332 263.78151639],[488.54980405 284.27604487],[487.31106146 315.73018581],[486.87312122 327.94480959],[453.39087976 271.86099913],[454.85376545 256.43481891],[457.41651777 242.60650702],[462.88967563 223.25182285]
[469.87968593 359.38042248],[503.8687802  371.51426542],[532.21889814 358.7563229 ],[540.26486996 352.86848364],[524.93230927 346.07347986],[534.83300717 287.15299729],[556.4932413  258.21767098],[568.19931049 239.8935983 ],[576.54351284 224.76018069],[510.73733556 283.28937794],[520.48257438 299.93487087],[514.25187936 331.63813919],[508.34049113 343.22635838],[483.76343177 285.48067896],[490.55825447 304.53895988],[493.04396803 338.66452381],[493.69203185 355.53089655],[456.11642671 292.12803556],[454.62094177 276.84977029],[458.35465645 262.10093092],[464.20668035 244.43297206]
[470.5537906  378.43274822],[502.07835205 384.42487999],[534.68004341 368.04625618],[540.23265713 357.2630354 ],[521.28764761 350.91969057],[535.55917502 297.65092863],[554.15085786 266.30161403],[563.67526227 246.9782125 ],[571.60773401 229.73890283],[511.48670578 293.5452567 ],[521.02559094 305.19057666],[514.34256202 338.2989141 ],[507.17828775 351.61311075],[484.01950675 295.59378617],[491.85796248 308.71712374],[492.50801384 344.76969191],[490.93919831 364.43810902],[456.24495764 302.94078166],[454.3106333  286.78078771],[456.02872737 274.3634639 ],[460.60813319 259.43602897]
[469.44875171 383.14662905],[500.62485557 387.94618322],[531.40869549 371.615537  ],[534.36317929 363.10889517],[512.99025489 356.82812345],[532.780487   303.50662306],[550.98785269 271.92491404],[560.41626655 253.21593778],[568.5512702 238.245241 ],[509.01630769 300.81521196],[519.77257976 312.18682955],[511.81401704 345.3228309 ],[504.17230339 360.36506695],[481.58647694 302.74318418],[490.92376466 314.30073097],[491.58219568 348.03286172],[490.66280083 368.99498863],[454.15559926 309.94513503],[451.4210108  291.78933768],[453.03104447 278.42430512],[457.18975559 265.88540256]
[466.49725925 399.87580661],[498.89087666 405.44559271],[530.77483523 393.82216068],[534.09003125 384.99598192],[512.01204026 380.17299843],[533.77586382 322.92941472],[550.17648697 290.61772591],[557.59407529 272.51084898],[564.19181765 254.69091719],[508.79539879 318.80075213],[514.86501503 335.76555854],[501.75384961 369.45167432],[493.62622956 378.35645591],[481.86332029 320.31442931],[486.16586219 336.48096138],[483.13958774 370.92846258],[483.38323816 387.53610303],[455.08956893 327.20255071],[453.25715189 309.11452746],[451.94557006 296.70258714],[454.68854929 281.81012343]
[461.01687546 412.63143534],[494.61168243 414.09956577],[526.77575227 402.72456556],[535.80627691 397.46110686],[516.84371918 396.41948789],[529.96894964 334.4845609 ],[550.38038541 301.53206625],[559.89405022 281.31938997],[565.37992791 263.55751313],[505.95846506 333.92688951],[519.22733886 345.00643247],[510.3511876  376.98921133],[500.3871385  391.32493863],[480.97332602 338.11376031],[490.0512951  347.66295123],[490.28485486 380.62532606],[489.25339111 402.0619952 ],[456.16375599 345.14695862],[454.05157161 322.66187486],[453.19811531 307.64983948],[453.71459105 295.20123706]
[458.59533683 409.58726204],[490.64827571 412.77938837],[522.81166725 401.92574909],[531.3810629  396.39306309],[511.29510932 394.82579356],[525.98028161 335.70820585],[546.4326073  304.43737809],[555.89761927 287.71320964],[562.29613248 270.67498432],[502.10150546 333.1785687 ],[511.86847883 349.10526871],[503.29556075 383.34559753],[496.0750562  393.82173711],[476.404512   335.41866705],[483.20435729 350.02578825],[483.15388399 383.58199377],[483.40923132 400.09126931],[451.37704786 341.88380645],[447.57700111 325.40096508],[447.50909841 314.74511327],[449.41142027 301.987426  ]
[447.59209085 414.18722351],[482.75203654 414.68459757],[515.28165878 400.12619281],[520.30852897 391.88818335],[499.51457438 388.94851848],[513.96626252 336.01589718],[533.53099883 303.17043535],[544.49984701 284.09670845],[551.31845855 266.24680124],[489.08367327 335.39037763],[496.47054976 349.46785702],[491.01418033 382.55864475],[486.28150856 393.69527046],[463.41547165 338.87189228],[469.42580605 348.1665515 ],[470.76315676 380.67554454],[472.08246527 399.4482207 ],[439.38185754 344.60983538],[437.89341823 324.49012508],[437.37233376 313.64772537],[438.76503009 302.16311447]
[434.39483892 407.7919145 ],[462.64067129 407.81648417],[486.94909146 401.47534653],[483.5837571  404.48667867],[459.85598672 405.17103863],[488.74110241 332.2452044 ],[503.12187651 309.13788273],[510.72669524 291.01946171],[518.25252201 270.2456334 ],[462.71907734 326.24234346],[466.13115301 350.09133842],[463.21145048 380.57444704],[464.43909643 387.40481595],[436.49415504 330.13723855],[440.58915778 358.24941165],[444.04990859 392.53145121],[448.80321465 407.04689497],[410.86033885 340.44335248],[410.36165675 325.84685093],[407.05966926 316.5306114 ],[406.48779012 302.99868708]
[406.5815168 416.5816581],[441.32344033 419.95983883],[465.04910397 404.67374235],[462.63170493 397.37265825],[434.63283744 393.68850909],[466.4504998  334.43931809],[478.69620235 305.2744781 ],[485.7925838  288.27719374],[494.43502766 271.33067231],[441.05948325 331.2070863 ],[443.69292528 353.51770812],[438.70505119 386.76888148],[437.75926927 395.04689598],[413.37404481 336.01447418],[417.09024573 354.26995315],[417.394501  387.0858412],[420.45300764 401.93468141],[388.17652283 344.91774949],[388.40765585 330.41132889],[384.00007795 324.14535817],[379.45933771 313.35404878]
[379.14688317 414.29702615],[408.1906883  409.50168026],[433.13782009 400.03114709],[437.43233373 395.27928372],[423.45359127 391.72379965],[436.11950396 338.02999296],[448.10327161 304.88538664],[453.89413764 285.31297187],[457.28295833 267.52290795],[411.87585538 337.2284493 ],[417.10947163 348.85806547],[414.6200417  379.00192246],[412.75295485 389.27443982],[387.33187842 341.45895998],[390.68906655 354.34529275],[394.21448594 383.62747695],[396.30133501 398.83405839],[365.82104339 348.52243778],[363.95765745 336.77034797],[363.82653258 328.70640121],[361.88395254 317.13572612]
[354.06423703 417.66844617],[382.33326824 415.35980937],[404.11002883 401.7676103 ],[405.49933691 395.92544589],[390.07797549 391.39777548],[411.1272508  342.65293336],[420.49456554 313.5625748 ],[425.5711238  294.62943876],[430.11677124 276.47157856],[388.59856669 340.80372627],[387.9033146  354.68549702],[382.94027126 381.14381848],[380.65148634 384.18545499],[361.96138086 346.66382666],[361.97144717 362.31026406],[365.48668501 388.38264164],[368.50911932 396.65976649],[338.50448043 357.64546606],[335.47110516 348.77472085],[336.83899896 337.24073627],[335.77357885 318.57428578]
[328.91241113 431.08350251],[366.28965976 426.11152715],[388.90671959 408.43428194],[384.74515925 392.90335587],[362.93739014 386.50722602],[383.97902857 344.91425982],[394.91406871 311.85771738],[400.03498025 292.58014129],[404.5114687  274.31609003],[356.89851715 343.89713869],[361.48692575 344.8860221 ],[362.25538843 370.87141625],[364.18620302 380.00097866],[330.72842851 350.1715944 ],[332.86148983 355.8405411 ],[339.38968961 384.73532202],[344.77935719 400.06491293],[307.94159983 358.44927227],[303.28887163 341.44698657],[300.56880336 333.12442419],[298.78338554 319.92734882]
[313.94948129 425.97351273],[351.82483278 425.2675302 ],[369.03810223 411.84252306],[364.34769601 400.48490323],[346.58339983 392.22336477],[366.62388406 352.00154159],[376.33782504 316.11146369],[381.69611834 293.94086   ],[384.8744115  276.44906255],[340.24196134 351.5978413 ],[339.9965515  346.33026826],[340.72281898 371.4780722 ],[341.95036083 383.19202208],[315.32133246 358.17592421],[316.62830689 352.908117  ],[321.58175687 377.89536297],[326.86620139 393.8389515 ],[294.94069035 364.62095602],[290.15192503 340.2320373 ],[284.97970276 324.82134047],[280.31307416 308.14695186]
[292.4325505  430.00722669],[328.98954886 424.06495898],[344.04391858 406.47425409],[339.38581128 393.97041663],[315.87178681 388.4648259 ],[343.77908243 350.55830776],[353.67140681 316.88660706],[358.29690787 296.1648727 ],[362.73903939 277.84259481],[318.52014384 351.16884516],[317.9815638  346.57550529],[317.48323046 368.86256213],[320.07896476 377.71612512],[293.05353263 356.80658566],[294.87686552 352.09159483],[297.56272385 375.13526632],[303.07556421 388.73347572],[272.22542742 364.67615953],[267.10541363 340.66732616],[263.34241118 325.77735161],[260.80687795 309.29287329]
[261.483256   425.50127621],[299.1539914  426.26458851],[311.40125211 413.31405427],[296.70043372 401.46764495],[272.21820404 391.89955733],[320.78334963 351.35369158],[333.49347609 319.48178547],[341.10964225 296.27461954],[348.02081708 276.35126457],[291.36512284 345.03988668],[290.48524824 341.43581315],[289.68974208 363.9264293 ],[294.45264864 373.74869672],[264.0952071  349.61458927],[265.30338686 348.4110006 ],[263.30373266 371.40814966],[267.03266674 385.64439639],[240.80285413 356.13186514],[238.95879688 334.45622743],[233.26685354 321.87942993],[227.90571705 308.61062244]
[243.02105639 425.91366604],[280.39771067 423.85539175],[295.43680466 408.05522737],[281.67614202 392.88549232],[254.90612252 381.0126724 ],[302.86700832 350.96353655],[313.98341048 318.0909492 ],[321.45516349 298.37982768],[329.10539804 277.85932702],[273.53365451 346.78755732],[272.86508114 341.92393278],[270.45204185 364.05818835],[275.61516564 372.39790339],[245.63038828 350.95793995],[248.17619295 349.06717125],[245.73866116 370.47719272],[249.99495312 382.88579434],[222.85626681 358.73852006],[221.3527159  335.90695074],[216.19116714 323.52504953],[215.98690885 310.34618822]
[219.19281407 426.42657385],[257.2419024  420.34321711],[268.42862002 401.66699058],[256.26422014 383.67123834],[229.41151924 373.02338738],[275.18645436 351.76041209],[289.36530451 318.07331357],[298.34466101 298.53809787],[306.88563937 281.60489976],[249.935071   348.88253275],[252.13226163 342.13285486],[250.69045607 363.29925864],[255.17229035 373.91694233],[223.14019224 351.72356783],[227.92642673 347.05278668],[227.81082873 369.25611216],[231.99798469 383.22980461],[201.95814677 356.73025259],[198.76521311 335.8562284 ],[198.11040726 321.69145475],[201.78402212 306.50593879]
[202.74575418 424.92559766],[240.84168388 420.9175227 ],[246.79670276 404.2782714 ],[233.5953943  385.57903715],[208.89116193 369.32304432],[258.24673361 354.1935905 ],[271.66289691 317.19294441],[280.01112611 298.75411866],[289.25597762 281.02252337],[232.03871749 350.6981111 ],[236.30587714 343.17078698],[234.53718806 366.05857459],[237.93408054 376.35127284],[205.0491399  353.14570997],[211.13017238 348.2541727 ],[208.3218561  370.92622987],[209.13524878 384.84517958],[182.53287192 358.55373836],[182.33093697 330.59469076],[179.30826567 314.61365707],[179.14165312 298.4741002 ]
[177.5808403  432.35072993],[217.07990202 424.44994132],[221.05790585 401.93872565],[207.30440688 383.23583239],[181.59843475 370.27357076],[230.02806892 360.48392531],[245.8129017  319.78968171],[253.93956421 300.90179646],[261.32615401 282.05810874],[202.88783939 356.34806992],[209.11704123 346.88131686],[208.73021759 368.51540317],[210.47299554 380.25244457],[176.26247893 359.16609077],[183.49400374 351.32377843],[183.13980786 373.20923983],[182.77084837 388.49271274],[155.05229405 366.57423469],[155.59552004 335.18095475],[153.03977423 318.17987809],[150.3021836  302.51695198]
[156.53081953 439.5268276 ],[198.15111222 433.36494665],[201.03171226 407.75632034],[183.28948434 386.55722321],[155.66927913 369.640831  ],[210.78745794 367.33708378],[226.74316443 327.82221057],[236.13758216 306.25038905],[243.73899824 284.90670239],[182.60714038 362.93350292],[185.97078484 355.86067428],[183.46829858 380.1525484 ],[184.86892525 393.72216517],[154.79300816 364.21912985],[161.79911826 357.11786051],[159.87573959 380.88037302],[159.82049684 397.27837769],[133.55495401 369.62990299],[136.67298665 337.24016752],[134.97876311 317.55085896],[133.08772448 299.11893117]
[138.38909356 443.78348053],[175.3227127  439.89401057],[182.63676392 411.91214134],[172.202124   386.87596495],[147.67648279 366.9258236 ],[197.72078753 368.23995376],[214.28909715 326.76744082],[220.47571441 300.84299373],[224.34911863 277.96683486],[169.97419548 365.15977196],[170.03204167 351.96259293],[166.30684018 375.20708102],[168.53952744 390.24110781],[142.60442356 366.87123227],[143.90126584 354.83530735],[141.23841414 379.1768784 ],[143.62077434 398.19711285],[120.30733915 370.35602705],[117.1150294  338.23945642],[115.286504   318.83195498],[115.70555069 300.07633923]
[130.44618082 439.43288506],[171.6341303  429.72597515],[177.6285651  402.87345429],[168.0321987  380.41006183],[145.6279951  363.47956727],[188.16764964 363.96365449],[203.54722218 320.26186836],[211.2931865 294.5864101],[216.78647956 273.61163421],[159.19321964 360.76393507],[159.99595108 346.40418405],[158.63322743 370.09973814],[161.05576639 385.53575945],[130.88175135 362.77212395],[134.37141462 349.6929349 ],[133.12716585 373.72680967],[135.14285079 392.27035624],[107.35085409 366.49734572],[103.30684724 331.79951659],[102.16633823 310.75030374],[102.97541908 292.01689681]
[124.00731653 442.10852383],[162.69971326 434.40661586],[175.43242979 405.52788423],[166.21519859 378.3936539 ],[140.84587768 356.83558885],[182.61846817 358.98900844],[195.19117925 315.40432681],[199.89462268 289.43255912],[202.01505053 267.37505487],[154.15489476 357.8611059 ],[149.75974717 340.68278677],[148.48173473 367.61178595],[149.43091814 385.63748151],[124.93100374 359.33784958],[122.54068599 342.32287161],[123.79594228 370.0169218 ],[126.86910848 390.26892853],[ 99.60166493 362.48192943],[ 93.47574306 325.1557784 ],[ 92.97446749 303.82177254],[ 94.46944518 283.73886182]
[117.57833888 437.49775126],[158.90613419 428.00615788],[172.40655824 400.5389475 ],[160.53597332 374.17372456],[135.35014945 352.54328118],[180.01300529 354.12669106],[192.97494247 314.31393802],[200.46553566 287.00481409],[205.67588497 262.65880256],[150.75862596 352.69407504],[145.89339987 337.96589398],[144.25565901 364.57054437],[144.78926777 378.66373581],[121.07573506 355.06248058],[119.02161736 343.7515936 ],[120.61827484 372.67613416],[123.48556881 390.22551143],[ 96.20196501 357.75466371],[ 89.01555555 324.97084902],[ 88.2242962  306.85950459],[ 90.58578031 287.14334864]
[118.48845036 427.55118715],[158.80580006 423.20427501],[175.16566447 394.96740481],[165.49069035 365.56812627],[137.06103154 344.91443922],[180.30257381 345.92308743],[193.37333049 303.69321368],[201.98631729 276.62293495],[208.41364794 254.11722149],[150.76964776 343.53336373],[142.54640551 328.74439954],[141.48288387 356.07357302],[144.33542005 372.99774611],[120.34782532 344.71492011],[117.12762335 330.78021671],[117.35786516 359.62886697],[121.68354569 380.01282087],[ 95.83415661 347.18906922],[ 90.58709719 311.58922753],[ 88.22369428 292.46070874],[ 88.52109153 272.21385096]
