[281.51518656 401.06510911],[314.67126675 397.42489819],[336.72523699 371.80915931],[331.15435075 344.61764408],[312.02731023 335.0144927 ],[338.98298481 322.01210737],[363.60101112 299.7546236 ],[381.67490789 280.10792586],[398.81577773 261.11556553],[313.36748014 309.95369087],[324.33763636 270.91992188],[334.59848353 242.83860454],[341.20054654 217.13356165],[286.83102354 310.63611251],[290.20239415 276.21738277],[295.46301595 247.66357051],[299.16391976 221.82132922],[259.25670966 321.33103014],[252.17266245 288.51848551],[246.43082881 270.62695633],[239.44960783 254.09025224]
[276.08027879 233.97516994],[314.18164962 231.82082659],[347.63885099 198.37066271],[345.66346519 170.08549887],[326.28488678 156.10661074],[347.87740604 148.54252284],[369.45464567 108.47726292],[379.63500339  79.44267876],[389.71839086  52.17119995],[321.67051582 136.01085974],[334.60206703  88.32919257],[343.62544888  57.35447896],[351.42700735  30.50120825],[294.1793242  132.86744414],[305.20803132  85.61065482],[311.31446112  59.07527056],[317.25655803  39.64875919],[267.62624059 136.77714776],[268.04985278 101.37726497],[269.48033361  84.72057331],[272.89171936  68.71824399]
[293.84134339 221.92078858],[330.84625818 222.24242279],[358.41414993 195.0469477 ],[361.00534748 166.46106225],[349.88353559 146.61492413],[359.35421519 144.66174127],[375.26895049 106.30536543],[384.99136259  80.14179142],[393.48473957  57.88740293],[332.50812025 134.41219822],[346.13218951  88.91911972],[353.09611078  59.06147291],[359.77136121  33.64943115],[305.38655497 132.54408784],[316.15650936  89.11139603],[323.02204978  61.84483336],[330.15093903  39.77193083],[280.30703145 136.86967998],[281.78869357 101.71868197],[284.0974534   82.37609406],[289.38917669  64.36487924]
[304.01547312 226.8838915 ],[341.09533056 223.50332998],[366.85382086 194.41901215],[365.1046405  162.82718178],[351.38568688 142.06386957],[368.87039559 144.4727734 ],[381.85399522 105.38640591],[389.43120697  78.01748251],[395.54412536  54.37908088],[342.48773454 133.21636174],[357.72891859  91.72103786],[364.03212951  64.555334  ],[371.29838748  38.18612455],[316.27775367 129.38721969],[328.00099126  90.75992831],[334.65333273  64.74132794],[341.98328665  42.00723889],[290.39005633 132.00772744],[295.91717926 100.45050739],[300.21876548  84.8012611 ],[306.67186407  69.72303419]
[311.17371245 226.52159183],[353.2912954  224.97115825],[378.74442578 197.78587845],[377.4871787 166.1859114],[363.24748892 143.01903424],[380.36998167 149.29638241],[397.32130927 109.78660961],[406.53184404  83.10626595],[413.83767267  61.10910025],[353.80593732 136.07830018],[371.67107157  90.27584382],[378.72021831  63.12484679],[387.0580828  38.7384061],[327.03224009 132.06278961],[341.02205659  88.88393944],[348.20479518  62.88438749],[355.97060869  40.37390356],[301.1924735  134.84903287],[308.06655517  99.50716298],[312.35545981  82.84374839],[319.13549132  66.47981143]
[324.6842275  221.87844858],[362.7245309  222.16123883],[388.02818743 197.13304566],[384.36025589 169.49972789],[371.04316474 152.84066058],[389.86267941 147.29149214],[403.10082595 107.75875694],[409.7261221   81.59633071],[415.06497691  59.55935856],[364.5174337  135.75876419],[381.0524651   92.76248965],[387.68191396  66.16675747],[393.78413265  41.42056782],[339.06210035 131.45696742],[350.16027691  91.65299288],[356.8259869   64.98405716],[364.42544889  43.25219064],[313.29374486 133.07362824],[318.52979368 101.00760191],[321.61622381  84.50312699],[326.58372249  68.17431705]
[333.26303254 222.86410319],[368.02817468 224.64778253],[394.8166683  203.09326513],[398.41370825 176.18748024],[389.16049971 157.91226961],[399.13269926 151.4489633 ],[413.23019827 111.48382576],[422.04924828  86.172984  ],[429.73710569  65.72436391],[373.28953592 138.58684633],[389.36322876  94.53596818],[396.66610294  69.00904146],[403.40511409  45.35582611],[347.63671295 134.49259106],[358.46960016  94.53499826],[364.77512855  68.57582024],[370.69139454  48.34258627],[321.29669948 136.09812167],[326.39385554 102.40979431],[329.54200441  85.70983333],[334.95238913  70.97414643]
[345.77299835 234.68828776],[382.38847776 229.28766225],[408.6496359  203.81532174],[406.6159088 175.1097507],[395.68562952 159.34253792],[410.05110209 154.11208797],[430.84056317 118.68198785],[440.94502226  96.82170934],[448.90719732  77.0830429 ],[386.75343354 143.78869023],[404.19625265 104.05606671],[414.95731976  80.20349778],[424.15122766  54.79965987],[361.62415469 140.49206349],[368.73071546 102.23158325],[375.4992622   77.18063401],[383.38812379  55.40232265],[335.34823903 143.69854715],[335.61423086 111.61355801],[338.64473614  94.97182438],[344.54327346  80.04886408]
[356.67714018 231.88683122],[398.38197112 228.25388743],[423.33476823 206.39469608],[425.30802275 179.28619832],[416.18232231 161.84233154],[424.50360363 162.73518794],[449.26186875 128.00936867],[465.58577679 106.59036626],[478.3034755   88.26062096],[397.34588541 149.24450149],[416.07056238 106.10571391],[429.56039306  79.70526406],[438.73558723  56.51353689],[369.8188786  145.01545043],[380.34340761 103.44631442],[389.36292139  75.43842676],[395.64658229  54.40442954],[343.89703818 148.82532157],[342.36368251 113.8477204 ],[342.59187547  94.07177998],[343.38615529  77.42021084]
[350.60537771 251.90517782],[391.15009524 243.74657474],[424.45862726 214.14357964],[431.90236732 188.12059873],[427.40024361 171.59700456],[430.27330689 171.28877694],[460.10310938 138.0628872 ],[480.10694696 114.00078462],[501.13003624  92.82943377],[405.96953173 158.56034437],[427.2064131  108.17789761],[443.4734208   73.86985599],[457.99734246  46.88419959],[378.96721658 154.32259046],[395.12758498 105.5062185 ],[403.97791774  74.94023404],[412.24664488  51.09962697],[351.55565375 157.57736301],[352.38628939 115.87235249],[352.62758492  93.30728573],[354.21719725  73.9778069 ]
[375.77397525 233.51287683],[411.71279531 233.68890861],[438.86259503 214.23839877],[440.48051124 186.47395899],[427.20657106 172.09690485],[438.66351776 162.90469097],[464.90138683 134.21659449],[479.41573874 114.03212764],[490.85461322  95.17439443],[414.19591973 148.00787238],[430.30863674 108.22170357],[443.47111116  81.94116713],[451.56647922  58.63734088],[387.8824626  144.64629612],[393.47498722 106.70393407],[401.23980039  79.27727544],[406.64401042  56.40326201],[360.30667037 151.89953778],[354.85030485 118.72832742],[353.37384122  99.73162495],[351.29157048  82.01396235]
[363.79781001 259.42634488],[413.27312595 252.34583717],[443.59803908 218.65276104],[444.69011554 186.02909243],[432.45134124 169.52623302],[448.20672966 175.54856715],[473.06548105 144.23830544],[487.96005894 123.08049038],[501.34294826 105.15975213],[422.88513701 159.32846678],[444.57615722 112.99708905],[456.28210945  82.32224667],[467.83539599  55.42578194],[395.95678858 152.38489   ],[407.27519287 104.52676475],[413.25320529  76.77250687],[421.39152311  55.41212892],[368.16676791 152.84276153],[362.59438996 114.65118107],[360.88467541  97.59946551],[364.34500947  82.44404889]
[377.73089468 248.87573116],[418.01997892 248.6179421 ],[454.00459935 219.4765994 ],[457.45322543 189.70226011],[440.73944842 176.6528063 ],[458.93307207 175.21799787],[479.79306385 146.26709988],[496.38718073 124.56155963],[513.7758375  104.21457227],[430.70733482 157.95761541],[447.58056116 115.28732408],[460.79382835  84.73620121],[471.42153217  57.94125421],[402.33480419 150.91237448],[413.86242931 110.70482183],[420.99358238  81.47095663],[427.77942971  59.45129819],[374.29964925 153.44383725],[371.66398562 118.04466588],[366.87180507 100.3040225 ],[363.80730054  85.66564031]
[386.40833215 255.25720036],[425.71827798 250.72899671],[460.61364793 217.04045626],[467.14311992 184.74563047],[456.37542607 169.36045694],[465.7740749  176.42973623],[488.87019855 149.35787507],[507.3261966  128.39405398],[524.41807108 109.21384634],[439.26623051 158.34914646],[456.31496229 118.16055695],[471.20169899  87.78371321],[481.50618642  63.01063555],[409.9141339  152.15451359],[419.14276375 110.82354809],[425.6927891   81.49511937],[432.14612547  61.05866405],[380.37757216 155.9089293 ],[377.45759638 120.90800875],[374.36924034 103.72032419],[373.70313218  89.35325795]
[393.37597631 262.62951519],[430.37583868 260.33090313],[467.52411755 223.77257672],[474.05749426 193.69272634],[462.33782827 180.34347336],[469.3233035  185.37731197],[495.05316479 154.96964964],[515.17039469 130.62721429],[534.66383013 107.99019103],[443.25229596 169.76468923],[463.86827344 121.80563187],[479.49306539  88.0927627 ],[491.71250318  60.83010699],[414.77346797 162.95520089],[428.45865561 113.8878998 ],[434.91795351  82.05933837],[442.1133074   61.13339848],[387.48986718 165.59576458],[385.75192483 124.94941642],[381.81371122 107.31680479],[379.91019067  93.87933069]
[408.27932636 259.98088011],[439.18481979 257.52263097],[474.14361383 215.79299626],[480.72189974 179.43620763],[469.87445225 164.39757468],[474.41504067 178.47368031],[500.19789257 148.82474983],[517.0355807  127.99724221],[531.00450233 107.60355548],[451.6488651  161.85753343],[468.63965506 120.78845969],[482.41458422  89.8393484 ],[492.45443657  63.07696788],[426.43476607 157.17309035],[434.4226093  117.27738989],[440.30757738  88.27930153],[446.33021046  64.17760439],[399.81007883 162.49572767],[395.38677902 127.61377412],[392.03406237 109.42198247],[390.64167245  92.56054374]
[411.1718892  259.10915189],[444.66813633 259.16681002],[479.39043945 222.84791631],[486.63195702 191.61871181],[478.9618347  176.74403595],[481.32189562 180.94283644],[509.50760155 152.44809708],[527.73552406 129.46359773],[540.90844144 109.61549723],[457.46779294 162.05632825],[475.38607595 121.85147084],[489.44156338  92.74027504],[498.60278652  68.55676479],[431.6285745  154.23592172],[440.85437398 115.74790876],[445.99967624  88.70762674],[450.52697359  67.22473121],[405.09127843 157.56606313],[400.27437758 126.06365462],[396.88668441 109.28071867],[395.06767092  92.74395281]
[414.82728352 264.00882978],[452.29368492 257.14706111],[484.24641514 216.23524885],[488.5770375  182.01604863],[480.53215175 167.18825826],[483.65293573 179.24297344],[509.68058453 149.0414017 ],[527.69729085 127.37504114],[541.5793303  106.04273974],[459.71247534 161.14471736],[478.3032009  121.55924526],[492.39380901  92.5063136 ],[499.43775223  67.43517911],[435.0081753  155.15729583],[443.30373589 116.43216648],[449.55432872  89.29837515],[453.40940266  67.23381785],[409.06249281 160.94492973],[402.88742835 127.38396359],[399.70602851 111.87776454],[396.82793455  96.89960505]
[415.46035442 265.05710753],[449.68230956 262.50406484],[487.86570484 223.98193454],[491.9560099  190.51949407],[477.26189645 180.77734086],[491.27495666 176.58604687],[518.94669847 149.53618117],[537.68752718 129.12332363],[552.22438768 110.52708109],[467.1386571  157.67215259],[487.17897697 119.83856067],[502.82594047  92.14514531],[512.26035709  68.73355237],[441.24576518 150.62429462],[451.01952521 116.34804194],[457.126458    88.40401983],[463.3181998   66.13448603],[413.65935586 154.81781834],[406.68963785 125.86515541],[400.48357793 111.48212986],[397.21788993  96.40740744]
[422.70877077 261.98575737],[459.28572282 259.83913466],[497.89217752 219.93926038],[507.40556858 186.86497698],[499.970998   174.49671809],[496.83262133 179.38263403],[520.91657164 149.85391637],[540.59811936 126.28968302],[557.89703513 105.03513013],[470.14719031 163.25471928],[487.7120157  122.13708949],[501.9174845   91.44012301],[512.34237437  66.06457126],[442.49589684 157.70538013],[451.99758578 117.45276672],[458.46407889  87.4595729 ],[464.97880931  64.56599379],[415.50072282 162.24251409],[409.58791531 129.12044036],[403.92665686 113.32484907],[399.85672623  99.22451523]
[432.50397806 262.87957358],[465.66456795 259.44063438],[506.71898944 218.62073416],[516.79841708 186.58328979],[506.74269414 176.57961837],[498.25007079 177.75651086],[523.75213998 147.37739775],[540.27368126 122.82759305],[551.72744694 102.95700529],[471.21990293 161.21638346],[487.61569819 120.27971748],[500.72281383  90.13599586],[507.01872294  68.18273685],[444.80729983 156.22522749],[453.40488385 115.15084012],[459.63195957  86.88480021],[463.12410272  67.49802406],[418.6062047 162.1932194],[410.73392829 127.85927403],[404.75383185 113.9596143 ],[399.51415206 102.48024297]
[430.00974854 268.2806304 ],[462.61383305 258.99666945],[493.90547096 218.39500546],[496.33797145 186.77656251],[482.47515426 176.74364606],[489.87292198 173.29178289],[515.41806427 144.52345407],[532.25793069 122.35608476],[543.47104358 104.31364702],[466.17064286 156.68170056],[478.19080684 122.39780672],[490.21327799  94.64359317],[497.53487961  70.24007765],[441.4844822  153.31182534],[445.10350719 120.81893386],[448.69940632  93.48527484],[452.09679678  70.87987368],[416.18104788 161.74700711],[405.31391374 134.94840251],[398.28322613 119.95311818],[391.81512288 103.98615823]
[438.82381818 279.65864486],[470.21374996 259.85608623],[485.81953622 212.29231233],[481.79031733 175.00263146],[473.89650919 157.54279585],[485.30299273 180.13426238],[506.27263527 147.19057387],[520.51387879 122.47014812],[533.2119334   97.78437427],[458.30177816 167.08799992],[465.91522867 124.87249429],[473.40258024  91.75991824],[479.10421676  63.48517151],[432.06839181 168.23010826],[430.32358584 125.36093018],[430.7107161   97.12782875],[432.44482141  74.65223531],[407.08461182 179.73419593],[391.80579255 146.76941174],[384.05186551 128.62990282],[379.02909397 112.66485073]
[439.21969005 277.50794516],[474.05822404 258.12201423],[493.60867414 206.51806919],[488.35556159 169.44662868],[476.30703981 154.76678702],[484.79398577 175.49731912],[502.05195844 140.43509321],[516.4070789  117.15559168],[530.15061519  97.08709177],[458.31583906 165.41706463],[461.97639475 124.87167505],[468.28637106  93.90938666],[471.43301364  68.13052404],[434.09502723 166.12469593],[428.83965379 128.1904299 ],[426.55160466  98.53376716],[426.21216047  77.14814223],[409.19522569 176.90495789],[393.62962404 145.95906923],[387.21878999 127.33009088],[381.27648865 111.43389086]
[449.57964582 255.98108908],[482.37357016 249.96918615],[503.62471905 222.92857443],[497.56025202 195.49594106],[480.46863226 185.37046176],[488.37407304 175.76073013],[508.55792139 148.57423486],[517.36381932 128.21618613],[524.8301107  107.83891254],[463.03316468 165.59244982],[467.68001946 130.49087384],[472.94224213 104.72583592],[476.60419112  79.77820409],[439.79295317 168.69104646],[434.01281282 136.51178734],[433.44058258 111.54429033],[433.46174172  89.44649247],[417.61447165 182.28420045],[404.43711646 153.64066357],[396.58835207 135.52307233],[390.60778562 118.81871999]
[454.24560077 254.47316863],[483.92199633 244.1994922 ],[501.97356044 218.0646329 ],[496.79318823 194.62897875],[479.8975122  181.19823695],[482.83166307 176.04519735],[501.50483834 145.2025323 ],[509.13156388 124.71777513],[517.91975723 103.74720778],[459.29686347 169.45309625],[464.56508191 132.84028549],[467.29931267 106.5107084 ],[468.37515645  79.75101509],[438.9057293  174.07226271],[433.22843218 143.14331698],[430.7416323 117.3622383],[428.46241084  93.44062784],[419.20485161 187.79711014],[403.8391818  161.92738884],[394.89369853 143.98612412],[388.59075356 127.01347243]
[448.70022705 257.01674707],[480.54023486 242.70042961],[497.7530161  218.25372082],[491.29560819 198.57043815],[477.32363019 192.10978357],[479.9176191 173.2601591],[496.70140818 146.62297681],[506.26182113 127.15589004],[514.72538302 108.99277345],[454.35490655 168.15942504],[458.91290304 132.99106567],[464.10621546 105.84498467],[466.09130498  80.6972565 ],[431.69329567 174.13613095],[423.0159534  143.65699738],[421.50023373 117.1463567 ],[420.36014708  95.19547009],[411.61401909 189.6852326 ],[396.12283226 163.62703899],[389.68164227 146.46669315],[384.60876629 131.82618713]
[447.15531145 256.7235505 ],[475.71201199 245.28109615],[496.54811175 218.35632646],[492.80108282 196.73867166],[475.76383786 191.08928336],[478.32315193 173.77193352],[490.2938886  142.72960788],[496.05833213 121.84617898],[500.06550875 102.22153482],[452.66201827 169.48387339],[451.52748632 133.35044127],[455.49417835 107.12355584],[455.83061173  83.84370926],[428.75372953 175.43022834],[423.14819244 142.75345157],[421.80607345 117.9989754 ],[419.9931741   97.99903125],[407.63905962 190.24624655],[395.04317812 162.33054407],[389.39397385 146.33783908],[384.26050055 131.75810207]
[447.65460784 262.98580369],[476.86842066 246.80926279],[495.20968132 215.58639442],[488.16872219 196.82121318],[469.90982271 195.91501676],[480.45937068 175.88658146],[485.16195303 146.5521552 ],[487.00856054 126.42931193],[489.10964598 105.33469071],[457.16344019 172.92872306],[456.99350298 137.3420362 ],[459.21437643 111.71782231],[458.71665115  84.07402119],[434.80586508 179.0625189 ],[433.11498877 145.3017396 ],[432.02605219 121.822092  ],[430.16107007  99.36275182],[413.41566659 193.70239713],[407.10677096 166.889579  ],[403.1845395  151.84114243],[399.34200379 135.84721343]
[448.41176672 266.87990984],[475.9661515 250.1121039],[496.82475417 221.0570661 ],[490.35299748 199.43026471],[468.04740743 197.4278701 ],[481.44099484 180.3176821 ],[483.11588931 148.95936434],[482.79191143 128.07330183],[483.030375   106.26114987],[459.59273455 176.50855585],[459.82437021 139.94170063],[460.15547548 114.84537019],[459.65154069  87.9685999 ],[438.17054559 181.83629801],[436.28246791 148.56107971],[433.92847043 125.35484322],[432.64661441 101.99250079],[416.59882409 196.27003887],[413.07760691 168.85996966],[410.89241337 153.62244906],[410.43701071 136.09309665]
[439.18462024 268.71219806],[470.99928551 257.20045053],[490.99782562 226.90332745],[486.850587   202.52356889],[469.44718722 193.67883985],[477.86098518 188.6978615 ],[481.52060225 156.99990124],[480.95192335 132.44351821],[480.93862098 110.40125128],[455.1965099  184.96662995],[457.75712592 147.77169411],[457.66157579 120.6912728 ],[457.5737713   94.22752065],[433.03784265 189.77813654],[434.46898815 155.85601057],[432.78900974 131.3481815 ],[433.65856384 108.7005421 ],[411.04378671 201.07833759],[409.94170747 174.57022162],[410.59713888 156.89529533],[414.2563058 136.8747194]
[429.49779526 278.25393769],[462.35330399 265.78169521],[481.14675136 234.96995632],[472.8452036 213.4091154],[453.95891199 207.15545541],[467.0855474  191.37298453],[468.53640597 161.52597289],[467.68106417 138.19424902],[467.897756   117.36624989],[443.65860349 188.83263673],[444.82142003 154.42146597],[443.7633064  129.67046224],[442.57683702 103.61932539],[421.06096436 194.719149  ],[421.263328   162.31876341],[420.0817867  138.66338283],[421.45804523 116.38365132],[397.95902706 207.96466014],[396.50159295 181.42859475],[397.40364709 164.10608326],[400.42693504 144.36506455]
[417.17986327 276.86939616],[451.64464232 268.35615689],[469.88693351 243.45678488],[462.57039472 226.12720257],[442.99488759 220.3040423 ],[454.94938908 201.15716551],[458.81228178 168.76423504],[460.29702335 145.82144532],[463.19773383 124.81800479],[429.66648308 197.14715648],[427.99854365 158.52661278],[427.67920429 132.38019051],[427.96352088 107.38202266],[405.49223746 201.38274178],[400.52747374 162.81892963],[398.76196381 139.61840306],[398.37395552 120.58037078],[383.11661652 212.6588042 ],[379.57962866 180.72357793],[379.17109328 166.32663912],[380.39562439 152.1392388 ]
[418.09447065 285.00389045],[447.67058773 274.88966826],[464.82573972 248.50014429],[458.26645373 228.71517746],[440.00117958 224.4113866 ],[447.45642258 204.16797927],[454.46278258 170.52956368],[457.6539127  149.56758628],[460.11940837 129.65977458],[422.52456627 200.29738704],[420.29216403 164.3421235 ],[421.46769979 140.216767  ],[421.09507017 117.90194006],[398.66111896 205.88088156],[392.38136695 169.07453297],[390.6035581  145.53144872],[389.72067898 126.80153479],[376.92840016 219.42553144],[367.95203987 188.4362896 ],[365.20836173 172.76825032],[363.54003234 157.30313358]
[415.31783617 291.6851559 ],[445.53814035 280.34651572],[460.60625336 249.13896404],[452.96116593 224.57661333],[434.74137179 221.27235495],[441.59484441 206.73494801],[450.71553562 173.92549133],[453.86312044 153.60362056],[456.02116318 134.00413547],[417.23449276 203.10726742],[415.34752034 166.67857392],[417.51259581 141.75627032],[417.4616941  120.29695908],[394.80096156 208.35112489],[387.58904015 174.44409071],[386.62342073 150.50213559],[386.06717235 130.65899011],[374.2845963  221.31533268],[362.450557   193.63377018],[359.01139494 178.15130239],[356.20735464 162.37786007]
[413.37824153 293.26842487],[443.23460208 282.0508397 ],[459.01293093 250.45039226],[451.33827939 225.63096072],[432.68554835 222.96127415],[440.97794882 210.20616646],[451.41374192 177.6840919 ],[454.90393889 156.73809117],[457.44560828 136.93028951],[416.36319707 206.76153338],[414.07207124 169.36505621],[415.17032418 144.45129606],[414.42826396 123.56645826],[393.62516316 211.93826767],[385.16618146 177.78152181],[382.8808887  154.07693685],[381.78050751 133.92993103],[372.58267984 225.6321623 ],[359.7483407  198.54539153],[354.51885331 183.00577397],[350.47226555 166.59679638]
[409.30768363 296.6935459 ],[439.50353861 285.19098998],[455.15396332 257.11048139],[448.04925432 233.3294304 ],[429.76735656 230.51142426],[436.89404225 214.75225969],[448.1056947  180.51316432],[452.59749103 159.99817953],[455.77779547 142.00855319],[411.63240027 210.28943362],[409.52836595 173.15784851],[410.03333411 149.3962267 ],[409.05892908 130.36717637],[388.39335467 215.4418937 ],[380.67978305 181.59175637],[376.96676404 158.71046104],[375.22040738 141.63092874],[367.63638582 229.33854218],[354.27137368 202.87268377],[347.75722212 187.39101223],[343.56096955 173.34221488]
[406.606041   302.25654162],[436.25369612 291.25299715],[451.34548315 261.92618561],[444.45019341 238.90531177],[427.09907372 236.85378733],[434.6300541  218.31093704],[445.42991383 184.85870805],[449.87439734 164.39068083],[453.22829886 146.6841969 ],[408.92631194 214.69223937],[408.25261096 177.80234864],[408.84323164 152.79469637],[407.10732247 132.48939206],[385.40154892 219.99001598],[378.57607521 186.93655261],[376.12143996 163.6515813 ],[374.57703588 146.10977831],[364.40662558 233.18929367],[350.89466455 207.51146334],[344.99063975 191.95026727],[341.15637389 178.15295207]
[406.4174134  313.03036376],[434.51257618 302.88446203],[453.213864   269.94677463],[443.60569624 242.18239574],[422.65907303 239.5117267 ],[434.80681643 221.59090849],[445.11975724 191.13467491],[449.75808568 170.45111203],[452.88255378 151.20796035],[409.6905606 217.3489218],[409.15844093 182.80292156],[410.45343963 157.55749777],[409.13987283 134.72712113],[386.81849338 223.30980405],[380.44586718 192.70921507],[377.93234332 169.55570693],[375.85795697 148.98904455],[365.21262418 238.29195979],[350.61382001 214.30841361],[344.58844648 198.95611282],[339.63484182 182.7645783 ]
[403.10514075 310.66462795],[432.46007965 301.7384905 ],[451.20300621 271.95419108],[443.86304779 247.25106529],[426.59410097 245.38274295],[431.0689424  221.96849235],[443.71349529 190.71957382],[449.85284459 170.26303596],[454.23133883 152.44388851],[406.63570636 217.28280325],[406.95861744 182.3016162 ],[409.8349352  157.74046902],[409.79642142 136.07924502],[384.02318535 223.30759991],[377.99586694 191.95246655],[376.83207633 169.66554035],[375.92437682 149.91506094],[362.70433243 238.25687705],[348.43061322 214.36293145],[343.07402179 198.85250388],[338.87958177 182.54824812]
[395.80027784 309.8925685 ],[424.58140225 302.49046755],[443.58894798 272.27677478],[435.90418928 248.77631096],[414.9730503  247.31868753],[426.07999086 224.23281116],[437.6637081  193.91370076],[442.88849616 174.23786336],[446.91027797 156.19548073],[401.2235824  219.42511086],[401.75011371 185.0674941 ],[404.04276362 160.5964073 ],[403.08417891 138.28070418],[378.05777303 225.14392593],[372.57058703 193.56569475],[371.90360168 171.20135748],[370.76023203 151.22485941],[356.21315886 239.84937343],[342.19515737 214.8778992 ],[336.81726105 200.91124658],[331.98441339 186.55930526]
[389.02054471 305.98553604],[417.80937017 298.30203056],[438.32661128 269.37602482],[431.58605706 245.6936832 ],[412.06559893 243.73585156],[420.94137758 223.16332745],[432.67074167 192.99930082],[439.48800831 173.91917694],[444.69519526 156.06648534],[397.00691186 217.27841218],[398.65391355 181.28355589],[401.46646988 156.85454339],[401.33866895 136.08429686],[374.38503961 221.62120374],[370.39204808 188.58676687],[370.75680888 166.00114167],[370.7659919  147.12650399],[352.13637439 234.66431263],[339.16481033 209.17606275],[334.45347105 195.03433255],[330.32804052 180.61578814]
[383.48498206 306.28267837],[412.62163844 294.5742875 ],[429.54601575 264.78712535],[419.89699644 237.71655241],[402.45027712 232.08850588],[416.64170453 220.20316947],[428.13860916 188.66599024],[434.93332831 170.15051102],[440.48949365 154.74636847],[392.56659566 214.63627706],[395.00576401 178.09993042],[399.04028484 154.53549188],[401.18064984 134.67326377],[369.7085222  218.10155757],[366.24414281 185.47335278],[365.77311806 162.46388092],[366.88615949 142.43166817],[347.20860238 230.05671956],[335.6609082  204.92564961],[330.79850333 190.99051923],[327.71148993 177.30772158]
[379.43382299 302.58586509],[410.86771726 290.84389497],[425.34695954 263.48711156],[416.87573354 238.669769  ],[401.64615075 231.17334869],[415.26234355 221.15239282],[427.17285872 188.40633941],[434.43409697 169.83492112],[441.0087136  153.32766582],[390.7642005  216.37311109],[394.8949803  178.98995856],[399.32489625 155.30043201],[400.94201018 135.41898835],[367.93554484 219.29830894],[365.85862702 185.39742443],[366.23520569 162.78132072],[367.22021401 143.65779283],[346.45302483 230.53746731],[338.05976896 203.60411151],[334.61823622 190.32376481],[331.98400256 178.17522499]
[379.54823801 299.68421477],[407.76632329 290.70615926],[423.04690094 266.10839833],[414.54307509 246.03503072],[397.25266396 242.209744  ],[413.05878985 223.46705481],[423.12975138 191.76864609],[427.98590229 173.59417469],[431.01584075 157.62954473],[390.62648274 218.79738011],[396.2062115  183.43692769],[400.48155316 160.11125293],[401.53096076 141.40301247],[369.4580381  220.43605701],[371.29214937 189.13011701],[373.11748731 166.46333418],[375.00080693 147.85001196],[348.45841206 229.99724384],[343.86995509 204.03380013],[343.08666688 189.27729969],[343.3733714  176.01639061]
[380.97890473 301.74943972],[409.26327922 294.94837118],[424.1767063  272.30092234],[416.71489427 253.30286295],[400.90384569 249.6447947 ],[412.93597974 228.9067186 ],[417.46945932 197.64086629],[418.52578791 179.22918688],[418.76288343 163.39841571],[391.04260538 225.77691542],[395.19351169 190.87980329],[398.53121281 168.30781224],[399.4795794  147.99968958],[370.3929767  227.69585526],[371.96497648 196.36996881],[373.76179748 173.12549579],[375.93511224 153.19527973],[349.63501648 236.25294854],[347.21127547 211.28367843],[347.6905426  196.48957559],[349.89081273 181.66799509]
[379.11466561 309.67235081],[409.14028991 303.80152845],[424.00314591 283.6947455 ],[415.61381074 266.55217638],[400.949931   261.07189509],[411.34682155 239.40189869],[413.88718178 209.36897761],[413.44768686 188.94307458],[412.41516058 169.89975724],[389.87853497 236.75948137],[393.796164   203.03400516],[394.34852374 180.931522  ],[394.79001711 158.77607759],[369.86739308 238.76218232],[372.1462183  207.58109961],[373.4773738  184.79183636],[375.89364974 164.24351034],[348.99705083 246.4775262 ],[349.27027077 222.00574683],[350.36821182 206.66460717],[353.27929959 190.05606926]
[378.83021517 318.26940448],[406.58208265 313.07139601],[421.98653628 293.28430473],[414.77530958 276.25768963],[399.96332452 270.10416781],[410.43237893 251.6113031 ],[413.0324704  221.78786223],[413.21292036 201.04386193],[413.13279872 182.34773846],[389.10550393 248.15587166],[392.23179508 214.73453469],[392.84279923 192.22784892],[393.25909716 171.12421637],[368.6116857  250.29707587],[371.09113183 219.67411396],[372.13149022 197.05450264],[374.11994805 177.91244656],[347.7120877  257.40141975],[348.23163634 232.83436881],[349.39919197 217.41439688],[351.75917697 202.17078521]
[372.40781477 343.73404526],[398.42048864 332.02921425],[414.97820884 308.8106385 ],[409.42858538 289.79151336],[396.30868099 288.65873398],[404.05654426 266.89014659],[413.61518029 234.30631199],[418.76961174 216.06611239],[422.81873473 200.08652465],[382.43138104 263.01620098],[385.56096243 226.87423117],[389.29450958 203.95365631],[390.49520189 183.90805253],[361.58871953 265.90881874],[359.23239911 233.51945417],[359.72470476 211.4738988 ],[361.32109916 193.2411484 ],[341.40093841 275.56028991],[334.34607557 249.06997074],[332.43478891 236.27364539],[332.42000638 225.09870701]
[369.94173091 362.16522805],[396.66492691 351.1667529 ],[411.13143344 324.66671625],[400.85661236 300.75628636],[382.05302818 295.62824523],[400.30995642 285.72509228],[409.3393788  254.36270169],[415.01923879 235.76602203],[419.45121865 219.29777433],[377.41752155 281.79127773],[380.02149303 247.48195332],[383.72144558 224.23721031],[384.08482415 203.93311108],[356.51589887 285.02921715],[353.63811751 254.42541596],[353.38000418 232.43934724],[353.12340673 214.74829342],[336.3584385  295.25943043],[327.10512559 269.78623067],[323.01010719 257.19057293],[319.90377009 245.95364475]
