[271.1127778  317.65986382],[290.12181144 288.21283203],[282.74542179 256.43498788],[272.04723903 209.77078221],[262.85169067 158.39992662],[245.3732731  248.49248929],[288.85870586 260.45691219],[298.23313353 262.19719959],[292.10559788 256.13540626],[231.87383245 278.62192375],[311.4986075  292.21310818],[321.02712946 294.64571269],[317.45535589 300.75170474],[228.22617082 313.47584788],[300.59707205 329.46640667],[306.21979829 321.24884229],[300.41907343 320.70263843],[232.05515711 351.55596859],[282.87152838 357.42465003],[289.58445795 351.42858192],[283.93419078 355.09371952]
[234.96625691 280.64275609],[273.12825887 227.94673343],[303.06355879 185.81727126],[318.24677307 148.59071565],[316.91390106 105.85756096],[314.29775177 190.13978868],[376.77079274 197.1189189 ],[342.00286285 202.29879267],[311.73048894 194.12799361],[304.40534328 222.84799629],[369.99216213 231.37532428],[333.24658593 235.81424444],[313.63411766 226.97046169],[297.51194341 257.3897293 ],[358.64081351 261.65390489],[327.46624828 262.40091464],[309.35679336 256.10082931],[291.41987535 292.54296312],[343.06464805 288.21023439],[325.22367134 288.8872397 ],[314.14430643 287.14197924]
[257.29759755 270.11505423],[281.24714252 221.04564808],[315.85857489 177.23254927],[336.97687717 139.84821361],[339.95851466 109.26401257],[332.80688414 184.94769084],[396.69612221 193.10907741],[365.60323552 195.11133105],[337.85016601 187.54155292],[327.8355443  219.91039192],[399.73562961 233.38157796],[360.98328808 233.68119169],[337.52616136 222.29858647],[322.05809697 255.295582  ],[391.20661506 264.37229   ],[356.87341525 261.2036269 ],[334.18795956 254.09878292],[318.13030328 290.24378652],[371.3935075  289.47955085],[347.18033863 281.974294  ],[328.53691032 276.23856352]
[277.43220648 266.49276978],[304.51923164 211.94146283],[336.91341802 166.8438931 ],[358.63960275 133.09645232],[364.41386214 102.82358385],[369.13308242 188.53801111],[433.0262338  193.30450995],[411.39462961 194.21959222],[391.02607365 188.03783483],[366.73953501 217.48387746],[428.68415302 231.83308774],[395.61017024 232.8607102 ],[377.69698893 223.45350991],[362.15299268 249.90986691],[419.61543805 264.06733485],[386.98972816 261.18513617],[369.09191429 255.24805348],[357.7247901 284.6784275],[405.90530418 292.6378522 ],[380.91380497 287.34036811],[362.64041678 279.88738474]
[299.50072875 248.989567  ],[320.13893927 201.73341744],[352.72727962 156.77853667],[374.68483694 121.96281514],[383.19959862  91.2480735 ],[394.58467221 167.51312166],[460.04513915 188.19232584],[446.6723936  200.96422685],[427.5132631  200.70646742],[391.7090521  195.86112798],[456.66048018 227.30377621],[436.26171431 238.42028976],[412.92064629 231.43967891],[384.27457808 231.0664005 ],[444.12380129 261.04396983],[425.15261213 268.07069057],[401.7274322 262.3795668],[376.26125464 267.91047709],[428.20587995 287.56637841],[413.08524384 291.28064466],[392.84403285 285.92005209]
[312.27868818 242.7135479 ],[347.7140795  200.50104455],[375.03502425 153.93186649],[400.85389551 117.50033739],[410.16553122  83.17721935],[408.21499584 155.30906563],[482.5785075  165.92433194],[479.84835298 181.20173408],[466.70231314 193.29940797],[401.35464822 179.87442097],[469.4363848  212.48817061],[458.19482385 223.83977327],[440.3969114  225.97863794],[392.51303816 212.42094502],[456.4289076  244.14596198],[448.51413814 252.99614957],[428.95644128 254.99177178],[387.67932781 248.30332415],[435.47376816 272.83237224],[433.2485997  279.10745446],[423.9617884  281.91245286]
[316.44427971 238.28738533],[349.1965395  187.82068689],[380.10823769 145.32569719],[408.18197736 113.91900936],[417.99812888  83.75482977],[433.396141   151.82305568],[503.82238518 167.56985253],[515.53404535 183.6361404 ],[512.91596948 194.01186278],[429.23445893 179.13871264],[481.82595642 215.83976433],[484.28233195 224.6762622 ],[475.22823122 227.47930777],[419.50670582 212.95258831],[466.70450758 242.90912274],[464.99915988 251.03389982],[450.06651253 254.06297416],[410.58899622 249.84084748],[448.33551395 270.47088154],[445.1347088  272.89848038],[437.45583785 275.38414041]
[325.12969278 242.07013613],[356.45642026 183.36007719],[388.23429178 139.7964077 ],[411.42128461 113.13030966],[417.94046394  89.51593022],[445.51265639 154.58416219],[515.25875055 147.62826669],[544.57640925 154.12423976],[553.00302051 160.66262879],[447.38584915 179.97105026],[496.11152131 203.19145958],[497.33289408 213.39973318],[491.24929743 213.53528635],[442.05541689 214.53598399],[490.61761058 239.37333711],[484.96812007 247.43460056],[470.26816096 248.39494716],[436.43245182 248.61334494],[473.40528608 266.96481414],[462.3585849  269.67627552],[448.50609988 270.85176665]
[343.45951713 233.03971137],[362.72265999 180.17010589],[398.19680005 137.97155287],[428.11447034 108.10967384],[441.7985692   77.91952013],[459.22255014 145.97145503],[527.0940979  150.53192159],[547.02170267 166.96401388],[550.60708468 177.21959166],[469.16593729 176.61684451],[510.29665329 201.70751868],[508.84602865 213.1290836 ],[495.81607742 214.31433561],[469.8921516  214.65604821],[506.02813737 236.11938288],[500.39528596 247.70118714],[483.41346841 251.17990438],[464.46772646 252.19740128],[490.5433397 265.8467962],[475.80349389 271.52864294],[458.23100223 273.87821753]
[367.44878108 221.93633822],[385.65563341 172.67105317],[413.49996867 127.04599586],[438.54283354  96.75947737],[446.85734359  65.81478667],[467.31946494 134.28115118],[544.06323649 133.19115334],[567.85627621 149.79209759],[569.23529758 161.22772132],[479.16659433 163.58440078],[536.3702919 182.8189528],[539.57385716 198.603902  ],[524.70920105 204.17917016],[485.33773835 198.83424315],[532.6236811 220.9549597],[526.77837173 233.39455613],[508.50259438 235.58225807],[489.68585636 231.88524838],[521.08126722 247.29734516],[503.32294777 252.70145479],[482.37772079 252.87429035]
[397.17049335 217.9264362 ],[416.82213326 158.43233886],[439.41389101 117.40101602],[459.18668471  91.55843819],[456.33077839  61.3926032 ],[494.65751684 130.15492403],[565.440896   122.18036794],[588.32161994 135.4950693 ],[592.71196171 150.08102314],[505.32930442 155.82624918],[559.00696818 178.93674285],[556.76725822 195.58056049],[541.32821742 204.23122853],[511.90440637 192.55127246],[562.93184065 213.62400921],[549.14457109 227.45390797],[527.96536859 237.03123717],[515.83904508 225.36306196],[551.15494795 242.63452635],[536.68326688 253.44782553],[523.03349221 262.31850617]
[426.30753078 227.21567218],[436.88613969 159.92534329],[456.1198865  120.08428419],[469.09179432  89.46543088],[474.1459393   54.05593689],[529.44213498 141.36868781],[577.43538308 130.41511023],[604.21631141 139.25441191],[619.55332205 140.84024221],[537.17707516 176.21663174],[568.04458514 177.59883045],[575.1899372  188.45078564],[573.63968582 187.24142896],[538.16762005 216.05928674],[569.06995274 224.9919626 ],[573.47708376 227.9470048 ],[568.85772183 225.16419862],[537.42467262 252.8333847 ],[564.59020715 251.55486962],[559.10792471 249.68405207],[553.16117932 250.04205713]
[438.11968416 215.83305986],[446.87330698 155.333612  ],[463.6786098  113.73725595],[468.80326498  81.9127511 ],[468.39932174  49.67854749],[536.81543285 137.92964159],[579.20270827 145.81769649],[583.53061082 162.31570533],[580.41182512 170.17229377],[547.51934465 173.13105172],[565.2842951  200.64448405],[557.85265777 213.70651989],[546.24721274 209.32642148],[550.83620624 217.81473477],[570.27339973 241.95183845],[563.76071549 250.70091338],[546.74637725 249.08014876],[551.03515261 255.17196014],[566.72246696 272.37383991],[560.44621115 280.47843009],[550.78272217 282.99145226]
[404.94593089 204.19894865],[418.69104096 156.09990392],[441.51123251 110.98416558],[459.17515118  79.41848045],[463.24418254  54.04191688],[510.04694336 128.46756814],[568.01647891 131.00127654],[579.6269733 146.4840169],[574.78783951 154.60881649],[515.00428426 161.26344419],[559.50236297 177.1787853 ],[563.83856815 189.46383678],[547.91045232 187.95488898],[514.77451769 200.02288358],[556.09243507 219.54882911],[557.87220399 225.88508358],[543.08474078 223.45411422],[513.45475037 234.93314082],[546.75302123 251.01433672],[540.36369915 255.11800391],[523.57538394 254.36679588]
[354.29177457 216.95264371],[375.20284008 160.90940656],[403.66115684 116.52666158],[427.34875308  88.71339271],[433.87229507  63.87323974],[469.42323923 129.93939829],[538.52130169 130.40023752],[558.61389374 144.68616876],[558.49868589 155.5500028 ],[476.02281305 160.99438538],[520.65750296 183.96978194],[526.03232704 191.33161364],[518.32661288 189.53284506],[477.22531095 198.98379428],[516.00376769 220.66067038],[511.41934651 228.00327691],[496.11581564 228.22043236],[474.81928303 233.38956899],[503.79305189 247.98924444],[492.22124778 251.98818029],[476.78951693 255.0880064 ]
[330.01108985 214.69806446],[353.65805951 170.60065904],[371.88427303 124.19439242],[387.67613196  92.94997254],[395.91913461  67.48597177],[444.55244638 134.87494864],[514.52129103 136.92143422],[545.1936142  152.12667311],[551.67857156 165.35061211],[454.14488419 161.67777883],[491.75361564 185.86606369],[484.65115942 199.09848061],[464.58238067 201.33235005],[454.38516707 194.85121253],[477.05489629 223.9626116 ],[464.90297692 232.11559818],[443.59932391 230.75509442],[449.75519306 227.45838296],[468.01413981 254.58126472],[447.33439002 255.79951825],[421.99014596 250.44053606]
[285.17073586 214.65335816],[301.47244245 174.25941964],[329.30237746 129.72692547],[347.95213452  95.94974134],[355.5906205   70.37989007],[394.42230923 149.73396808],[454.83314123 158.80132078],[465.76797497 171.8918388 ],[468.76320896 176.75331564],[402.20407591 178.21103634],[450.91273468 199.973204  ],[438.98739195 210.91515531],[425.03974042 208.44077356],[399.63762772 210.45618332],[437.60051715 234.4183033 ],[420.65010569 247.07119152],[398.58220329 243.76824138],[391.25434274 243.96676284],[423.40022726 261.00652682],[399.31684326 264.33150327],[375.61665299 257.91165868]
[250.82692774 221.67327852],[261.753195   183.21923674],[294.3293927  136.98562712],[321.44067703  99.85447575],[329.30284559  68.11442182],[349.23990276 152.20406226],[414.61089287 162.52977193],[414.29036661 177.75496182],[407.93332522 183.21883207],[350.41267817 183.64053026],[410.95082515 208.24241368],[397.98199042 217.48470789],[378.42102826 211.61848917],[344.36536195 216.84154752],[396.16446584 241.35838179],[379.80160719 247.74415149],[355.80028668 240.26899975],[338.04943569 251.45127095],[385.63031881 269.20220227],[366.92793236 270.51270974],[343.64966739 261.17195704]
[220.21599865 230.45206367],[232.24505601 185.61286841],[263.60893755 144.04000524],[287.42456264 110.89204697],[290.25041517  76.86391729],[301.21625241 162.74308659],[375.00921943 170.58807757],[352.88440751 176.18264595],[329.24759358 172.9714102 ],[299.05059593 193.76035303],[368.84744876 209.61941787],[340.27086719 214.0054466 ],[317.65587587 205.92995552],[295.40367355 225.59658155],[356.07689543 243.95270461],[329.07068912 246.93737954],[304.45305448 240.18331059],[291.47816894 257.4795677 ],[337.94663781 271.05545378],[318.67846374 271.17294042],[298.55637382 264.12985703]
[188.4653171  229.70781855],[201.85232948 186.08425886],[232.10368001 145.68085909],[257.54939814 112.94475513],[264.90628514  77.43691565],[266.32574803 163.62424831],[338.32660749 174.61982144],[315.72095789 182.35122741],[293.32218056 177.82469835],[262.82987784 195.74149744],[333.46914431 211.54254666],[304.83307017 216.81750373],[281.55084929 206.80486613],[259.04156828 227.44620777],[321.34438264 243.9584915 ],[295.60227188 249.28649351],[273.3668672  242.78998681],[255.69532494 257.22394411],[303.16751053 267.77235283],[284.04844876 270.74538303],[266.10358818 265.37682769]
[170.88912105 232.04325039],[181.98989032 190.79941004],[209.09160738 153.21667302],[229.3024179  118.09528598],[236.48196012  82.19644599],[246.24196009 175.69274273],[305.28134783 178.91452683],[279.1678749  180.54377946],[256.31255854 173.3308517 ],[245.10470168 204.34957283],[303.46058126 212.94146474],[273.14532791 213.59290702],[254.9457836  201.15804147],[239.92682024 233.26587635],[295.3134942  244.07633399],[264.98553146 243.04266601],[244.10478322 233.38928465],[232.87555181 264.04019202],[277.38879688 273.44819525],[255.5856863  269.89729631],[236.97887592 258.30102953]
[144.49659985 239.98160214],[160.93934647 196.03415031],[184.76586696 159.22608231],[203.05136978 124.71153012],[213.31460341  94.29614191],[233.11319953 183.79468648],[278.91514727 180.12348981],[253.61148349 179.18270241],[234.09542775 172.83084898],[231.49500858 212.88257048],[279.22538141 217.36790557],[248.97421143 215.55370607],[233.92553612 205.17721056],[223.72937465 242.5708732 ],[265.22167383 247.89663729],[233.2669006  241.73283907],[215.81044992 232.13387068],[212.80117146 273.79932245],[248.02015889 281.93192918],[228.59840575 275.61723396],[216.43764115 264.76516835]
[118.92919784 252.14811049],[138.13948326 205.65559647],[162.19034694 171.29154327],[180.39183097 134.68214516],[189.1368982  101.26732587],[201.00544188 187.4339723 ],[256.80348648 182.00788139],[229.73952208 179.9912114 ],[207.11592792 172.02123062],[200.02623508 215.70243667],[253.11400156 218.28730704],[219.44852668 215.62840465],[208.3278235  205.00319506],[194.29167685 245.37449188],[240.67013235 251.97835907],[207.53400557 244.61998324],[194.75301996 235.42776294],[189.06502426 276.30677018],[226.91476863 282.25584268],[204.20704831 274.77155929],[192.8144138  264.65232917]
[ 91.39457491 249.12275536],[117.87656023 211.7241697 ],[144.95155281 176.18866257],[161.13429337 142.65373386],[163.09896439 110.22906035],[168.66536489 188.71905722],[223.04541747 192.49526182],[203.8387134  191.39530643],[185.84032209 182.94004998],[163.66933407 214.14952884],[220.41672418 226.73264844],[195.25278938 221.46453454],[181.90956635 205.82990118],[156.68713373 241.64247836],[211.3981088  255.72808249],[186.47883064 248.22804874],[171.26617973 236.5373432 ],[147.92026697 272.01357323],[194.60580354 283.47291139],[173.57850499 278.37331732],[159.18316237 267.5218017 ]
[ 67.28831671 257.05265084],[ 93.36285065 219.84311711],[120.88504634 183.77924858],[137.43640662 148.9402575 ],[139.40607041 111.92883644],[143.68227227 191.61154988],[198.52254458 195.6596648 ],[180.80675424 199.19109389],[163.54257873 194.3951179 ],[138.97790672 218.08883994],[195.34779679 233.88324903],[170.07539402 234.32750174],[155.29594547 218.61472882],[132.09407574 247.07417218],[186.0919508  261.65145746],[162.46401186 261.24722344],[147.29332645 251.55523326],[123.43063816 279.39145889],[171.10354727 289.89717009],[154.4610728  289.15102771],[141.0611478  279.54882486]
[ 52.81919745 267.79708996],[ 71.26688389 230.61875936],[100.68635871 191.20004353],[118.78190702 156.62379841],[125.88662109 120.96522223],[131.39461653 206.58501705],[178.98574504 214.27968311],[158.98820159 212.8564149 ],[142.40001451 203.17053726],[129.22702313 234.4060879 ],[177.34368246 246.63193802],[146.41855012 243.67600549],[131.73505182 229.89843182],[121.6544818  263.90208184],[167.06363531 274.34880055],[135.61685272 270.26858686],[115.34037422 260.94282699],[111.45490304 294.10607611],[152.08251286 305.83042494],[131.38493271 299.91280027],[115.65985227 288.69550371]
[ 42.24067081 299.62624626],[ 53.74099811 250.21558049],[ 80.44587117 204.7502331 ],[106.57083234 172.11994047],[124.57356398 155.01028423],[134.42049529 245.63154083],[187.77535408 233.48656189],[223.12292889 218.42377216],[251.90916635 206.71587287],[142.8725457  281.09431842],[181.51254062 270.50308889],[142.35194034 256.45227733],[122.22785655 247.33181567],[134.93310286 311.96757445],[165.67083398 304.16057541],[123.0451591  285.34284098],[100.63163899 278.94061677],[123.19356151 342.63007857],[142.50016506 339.48605477],[109.89811665 321.30100728],[ 97.19671052 311.07129384]
[ 32.33883955 325.1158685 ],[ 51.00369836 269.59235551],[ 83.38349572 231.55564389],[115.24388447 192.07794942],[139.05056515 154.88747219],[132.76954188 269.19390328],[158.66417814 263.88808877],[149.37903989 259.01221532],[151.63806481 254.27903435],[131.38658689 307.49931133],[159.75763035 309.78722107],[122.7143694  297.61133815],[118.46721276 284.91314613],[119.38673048 339.66769755],[143.30171348 337.81930509],[101.03465507 325.1066716 ],[ 89.45854858 321.28506005],[105.37055844 370.30590326],[126.3738382  371.65927492],[ 98.71984521 360.18952363],[ 89.48554763 360.95326882]
[ 39.20783359 352.09848432],[ 46.44487677 308.81078094],[ 79.49108019 268.20320568],[ 98.16388685 229.8150312 ],[108.2208492  190.22181584],[108.29183539 289.94154412],[155.14838286 293.86135143],[126.62658209 294.34752063],[108.40630647 287.88681505],[101.41479586 324.63063345],[156.13600702 327.3663106 ],[117.75158018 324.85922057],[ 98.60001785 314.50040339],[ 92.79846933 356.47726988],[143.12472058 360.87494275],[106.10961626 355.54191815],[ 84.59991454 346.46499273],[ 85.1301333  386.23443474],[123.93607687 394.36864626],[ 98.5636075 385.5682546],[ 82.59110961 374.61596791]
[ 31.03580019 385.33292923],[ 46.54076218 341.75600844],[ 75.05374187 301.41180168],[ 89.49012432 264.97283687],[ 98.07345154 219.40320194],[100.53630652 319.30281216],[139.34496349 330.73522692],[108.90486764 331.45275721],[ 92.8750087  324.45319362],[ 93.90659389 355.68711412],[136.01239075 363.64791568],[102.35231565 361.35087816],[ 90.30063824 351.83688651],[ 86.5733706  390.92118211],[124.36377189 397.56683003],[ 88.52353945 390.28717211],[ 73.78809395 381.75143978],[ 79.51110122 424.61277643],[107.64067457 431.409945  ],[ 83.15451537 420.86056816],[ 72.26595451 411.93189341]
[ 15.35876299 410.39182145],[ 35.27071518 361.00774474],[ 61.96521614 323.3996444 ],[ 79.06138817 285.64199006],[ 94.19211145 245.45184425],[ 88.05499252 353.2557569 ],[132.88783466 354.82563043],[107.98408414 354.22358462],[ 90.72665358 352.10081819],[ 85.63793727 387.26697344],[136.97912036 391.04281022],[105.1860906  390.73188534],[ 88.32926623 385.36643984],[ 81.37636925 421.29784651],[126.61722048 422.29908368],[ 93.5979111  415.28548998],[ 75.57851084 411.40255394],[ 75.70073547 453.24369453],[108.15046042 457.14224882],[ 90.71068637 446.11054962],[ 80.97741009 440.8571651 ]
[ 17.03210579 448.87598918],[ 50.76471112 389.67397508],[ 69.1605622  341.56044762],[ 79.54589865 296.26463653],[ 83.21199011 261.04663838],[ 54.84427983 359.99641265],[107.64726889 366.76881454],[111.48003677 371.80826779],[102.67223619 372.73038336],[ 47.00124797 389.35157183],[113.21073272 406.72288201],[110.91263852 410.79946217],[ 98.74084153 410.36736905],[ 42.45471452 423.47513116],[103.62269069 441.54845401],[ 98.43455856 444.26596892],[ 86.58304935 443.20632895],[ 41.17587309 453.6187508 ],[ 83.99262287 465.07618699],[ 72.99022289 460.90891219],[ 54.06716995 455.0600104 ]
[ 78.14267892 323.86804128],[ 72.74155657 352.76242107],[ 66.49812047 367.57940621],[ 62.18289688 379.10944071],[ 65.01610245 387.12172469],[ 55.44497419 375.2804556 ],[ 41.57981351 394.79883666],[ 32.42802043 403.76303394],[ 27.10660945 404.25114175],[ 59.67513336 372.32805508],[ 48.23556336 392.22927603],[ 41.52209909 398.03137822],[ 37.13945966 395.89541294],[ 66.68033144 364.30198724],[ 62.32058597 381.30696296],[ 61.57152684 386.4108876 ],[ 62.1325074  384.08138511],[ 75.88539586 354.2979878 ],[ 79.51215436 365.90613395],[ 82.31100662 372.83791531],[ 81.24318194 374.07599526]
[ 17.97494081 454.28228428],[ 67.8688768 402.8543214],[ 87.25170381 372.79291699],[ 97.74944861 353.13095784],[107.43846167 330.47660487],[ 54.57936185 379.45223577],[ 80.2282427 377.3396727],[ 89.48461482 370.63002728],[ 90.30466686 358.72520087],[ 34.82339493 408.36357132],[ 94.37207762 415.59269508],[117.09976365 418.02240668],[124.10501745 415.82130794],[ 26.27127936 439.44254695],[ 87.94533013 453.00743004],[111.92423383 454.00040882],[119.24517639 451.04762181],[ 22.46600567 467.54805775],[ 71.80293306 470.00099491],[ 86.05141621 460.4960706 ],[ 87.59270613 454.63569825]
[ 72.19484582 431.54579378],[ 96.6474548  396.91857785],[100.4877496  371.44100318],[108.6231702  353.64176194],[110.9830467  331.32222037],[ 67.79624675 379.22729057],[ 90.20310624 392.75270253],[100.14667933 379.1200108 ],[104.02947123 359.77404109],[ 52.71379108 408.65994459],[103.82965512 435.15444966],[119.48457467 424.94625616],[124.99752061 414.38615619],[ 43.77869077 437.25721136],[ 95.48175939 466.26023569],[115.29225686 460.8663451 ],[120.42623424 453.75699566],[ 42.07356779 465.39664142],[ 66.114951   481.41945841],[ 77.42873411 474.69685782],[ 79.29520269 469.79292264]
[ 89.18158814 435.21104601],[ 98.75693354 392.9804486 ],[102.28015943 362.1468473 ],[112.09719414 347.74352613],[114.52343649 326.26740238],[ 85.26381796 373.25853502],[108.5429416  371.23903821],[124.51083704 366.66285372],[131.47093417 362.10933451],[ 77.01714496 406.84015372],[118.35091621 417.80103934],[146.10674574 417.30295407],[160.2864463  413.33633979],[ 75.32399102 436.20837425],[116.84045925 448.43123022],[145.02763092 444.41559236],[159.13333883 439.25764585],[ 73.95155823 465.44879596],[ 94.80560799 469.94439822],[111.16214982 463.5312018 ],[121.03220355 456.76572888]
[ 52.18624271 446.1456818 ],[ 95.18630604 401.80210439],[121.0969534  366.33022618],[132.34551108 338.33261751],[139.54627031 310.76210518],[124.67166004 389.43825048],[163.41953776 402.71344904],[166.9749366  410.38115733],[165.76030472 411.39413811],[114.39913762 416.75376601],[174.70513717 435.21780945],[176.13939871 441.33862251],[170.67067547 442.07036344],[107.21104708 443.48154676],[172.6201608  458.82080261],[168.49128207 457.29037623],[157.87735384 456.0045145 ],[104.52972405 466.35881685],[157.36833822 472.09753166],[160.8431727  466.41825184],[156.92068425 462.13875744]
[127.17436681 451.18103942],[147.23952314 419.63388477],[165.84100881 383.7138784 ],[177.63734626 362.49059241],[189.04550109 331.13125676],[134.5132323  386.64502027],[170.95504929 376.30803748],[192.23751958 372.2966528 ],[202.11827931 371.24797206],[123.43527343 416.45046054],[181.91681986 418.027577  ],[214.00396133 415.07840438],[232.27924722 415.47929097],[117.00784737 445.10603554],[163.08513475 454.6718626 ],[197.329909  452.7351312],[218.00138543 452.34962581],[111.54826407 471.35648473],[135.82162362 481.36010101],[158.73763607 475.84110196],[178.20312135 470.21000866]
[133.62579942 434.79236769],[156.43544917 382.10073812],[186.58935443 347.43380521],[202.05385509 318.18317421],[212.34770963 286.45475833],[225.17931739 374.49701189],[272.16252642 385.21514769],[252.16807794 389.05282363],[232.70121443 385.64175302],[219.24981696 404.24866622],[269.72585425 415.88897069],[246.04009129 414.23145656],[227.73713414 408.00027179],[213.08660576 434.6381223 ],[257.81055202 445.5473295 ],[225.44606624 438.05473264],[202.61561377 429.01750983],[207.13343552 463.79298766],[249.71789513 471.44363648],[231.6251158  465.82716696],[218.15749358 458.8215883 ]
[145.70487523 428.84208867],[182.68951287 377.31658401],[210.09840506 337.71842252],[231.42638535 302.85831687],[237.0891629  265.09915502],[249.39272681 372.85467362],[301.36946113 375.51949684],[275.44806024 378.7905926 ],[253.05769904 376.40772294],[247.89686178 404.74230417],[299.36955637 410.3457285 ],[267.0315817 411.3047241],[244.87337296 402.9250318 ],[241.47200389 436.32625306],[290.71266865 438.36165416],[259.91668276 436.28841447],[241.20130084 431.60839404],[232.74025741 465.86268676],[271.55007788 469.22880858],[257.52099837 469.34149881],[249.44239896 469.63479264]
[159.64743926 414.16681955],[188.21104722 363.16028392],[223.98132872 319.36673454],[250.92221994 281.54341636],[257.86224803 246.54849148],[270.72278518 352.027806  ],[329.10724141 352.45396799],[313.626554   355.34465809],[294.26582852 354.84560236],[266.77491228 387.79872854],[329.51318431 389.14089222],[294.94843585 389.54890617],[266.34197809 384.55820697],[258.23090038 421.67112265],[310.27157302 418.34484353],[280.39517898 417.2025766 ],[256.55757836 416.78356016],[248.7991479  454.18824839],[288.36116979 451.68076407],[268.70174484 447.86935063],[251.55134761 446.67644056]
[173.03074698 411.47947505],[204.83541339 351.24310283],[244.48889426 309.64883153],[271.59528495 275.28441649],[278.92514022 246.04253226],[291.45782027 347.09599947],[358.0384954  347.21362121],[379.81650214 346.57904529],[387.79434655 347.80942056],[290.41518791 379.304636  ],[357.47870201 380.87405695],[338.80182461 375.08374421],[314.29052361 366.86296212],[281.35374419 410.78077719],[337.90857855 409.30602712],[313.83369253 400.44670923],[287.98236925 394.9266704 ],[271.52035187 443.91292068],[314.14598616 447.72394421],[297.13815189 439.57037722],[277.83211286 432.67727817]
[183.54471281 409.64733495],[213.20253797 352.6934505 ],[255.93869722 311.20837274],[286.21410821 276.27413624],[293.8364833  242.69292447],[295.97610324 338.396493  ],[368.85572042 336.30898215],[370.83546416 335.34018144],[358.41120166 333.66885907],[294.14751691 372.40046297],[362.74824669 373.26254679],[341.53312501 370.84363741],[318.12016708 366.37724945],[287.08207071 406.06363603],[344.37643752 401.41335744],[319.84220631 400.62634772],[297.61456812 401.51964777],[280.57157181 437.86137939],[321.7009336  435.53876251],[303.9307247  434.87038465],[290.21552287 435.92302202]
[205.16532524 398.91861086],[237.51421329 343.52842285],[275.27633015 301.56333142],[297.10858351 267.85166493],[296.86117187 234.43136353],[317.10048684 335.48711625],[383.9856795  339.03559102],[379.71166541 341.88710882],[366.44972757 338.91287827],[314.41174836 369.0350551 ],[374.70782406 375.73422752],[346.61372103 375.06997775],[322.23152536 366.59352765],[305.74275073 401.81364311],[360.62863409 404.20036268],[332.49464404 404.40271824],[308.7571626  401.20590388],[297.07213673 434.833772  ],[341.70987681 436.91164573],[318.14734426 435.23045075],[297.81332062 432.04868728]
[220.91193466 394.45956187],[253.51465441 340.19207527],[289.65729251 299.49483734],[309.8864586  263.12299496],[313.46095704 230.56359163],[330.1978021  339.30947085],[400.28371168 339.96076109],[407.60224143 339.63971118],[407.1849473  338.03926219],[326.65963392 369.78693342],[387.2605911  370.09410771],[360.60148328 365.61456245],[335.31249912 359.76344492],[316.21070494 400.21595899],[371.59997378 398.94713925],[345.85464147 392.97547905],[320.80019838 391.72491925],[307.01523241 432.33505727],[353.40504072 436.1422646 ],[333.55303189 431.86714154],[314.81613099 429.38039656]
[239.35504223 393.98025905],[269.23194861 335.81788279],[309.10126328 294.82257726],[330.21641178 259.50919679],[335.72555464 224.08391607],[352.19879265 336.40069943],[418.98188729 337.43364221],[424.33217039 340.45771892],[420.51908669 339.9889401 ],[350.5986937  367.46173586],[408.58221444 371.23518931],[385.10883767 371.03702456],[360.35258047 367.12046696],[340.75534896 399.16968642],[394.6475776  403.26555718],[370.81580314 402.20391894],[345.55048944 401.98769101],[330.97698714 434.16708775],[374.4750446  436.78318038],[356.86872993 433.97140752],[341.19916945 432.85578454]
[250.29261198 393.59375883],[277.84223469 332.32957546],[314.80146573 289.4209785 ],[338.48335036 256.32950385],[348.68737138 221.33408786],[375.19278164 331.0195167 ],[435.54171214 340.47944525],[445.11059884 344.34212084],[445.96117402 342.12870001],[374.7388894  364.50917711],[419.89081691 378.64218215],[402.00334475 381.20468897],[376.35404599 376.1659735 ],[364.90377785 400.84123859],[412.88019381 413.16905603],[395.09393755 414.07155557],[368.21125675 411.10418266],[355.47237648 439.49155012],[398.87406145 446.24833383],[381.92117824 443.72146993],[361.03868221 440.92914719]
[267.09973198 382.38906889],[295.97908989 333.59479393],[332.42311853 294.21245359],[355.44084224 254.69296851],[365.26882493 222.18751873],[393.05335896 334.23954715],[432.9932391 339.479669 ],[423.84923086 350.09726275],[414.00138274 353.95539291],[389.31715489 370.29919556],[434.65531778 375.67748703],[411.4194442  379.50313971],[382.53521148 371.34157124],[380.45690509 404.44358188],[428.32638275 412.23123259],[408.49724034 411.54895909],[383.02268233 403.80687448],[370.95450895 440.6215137 ],[408.23108418 445.62477643],[391.00807096 437.25597353],[369.5169636  425.89322364]
[277.13180719 383.86345887],[302.12383209 336.84407348],[344.48259148 296.68008965],[368.37821444 259.66214156],[377.68859906 217.10822771],[401.46850019 336.48483826],[451.64179706 344.25929832],[454.58190353 354.40517627],[454.51301048 358.89731315],[403.3755685  373.90996867],[448.47110329 379.20136144],[423.36667691 384.39638765],[397.81550921 380.22217891],[396.4196949  408.86222503],[443.51092276 411.23472957],[421.4836565  411.66734692],[398.35831637 408.802791  ],[386.27197901 444.86270465],[421.44242983 442.67046645],[402.18289626 436.85690465],[383.98937036 433.25268189]
