[246.46216161 378.38837195],[282.88343639 375.98965776],[294.1644798  356.33362228],[284.11265174 332.71018808],[265.61581904 313.5296402 ],[301.41553403 309.91119127],[311.46674603 275.1756628 ],[318.85139466 251.21425809],[325.06966074 233.51516116],[278.97231823 308.15897135],[277.32627338 302.75588066],[273.11717105 330.72846581],[274.51312469 340.79917468],[253.95006267 312.50698432],[253.04608115 311.37161669],[250.41861459 335.44773505],[252.12600591 344.15979917],[229.87218401 317.07924216],[231.00890682 314.75957441],[231.82782887 330.31001427],[234.28706132 338.55408001]
[195.78763038 287.6296089 ],[238.53343867 275.20136029],[248.50912043 242.1294392 ],[235.38719531 212.55600349],[218.92037767 189.39642867],[252.74941946 192.39628495],[259.45334794 149.07888331],[263.57387539 125.64356982],[265.1514549  111.48087027],[223.60669357 193.09808873],[225.44021328 171.22839903],[224.66196457 206.31403408],[222.46691682 225.24758155],[194.95836321 198.33877348],[197.33293878 189.19121565],[204.1452523  224.22635656],[206.05974507 240.45832068],[168.35772662 203.27318214],[175.76389533 202.67800627],[181.21274459 226.73421619],[182.22057158 239.25528421]
[204.46851834 285.43030029],[248.67144848 277.65846352],[258.29328028 247.50498469],[243.39487709 217.62370763],[225.84860647 194.41261871],[259.39854457 192.40375297],[271.01529353 149.09162394],[277.80314447 122.05960606],[282.54550901 102.03295743],[233.42563335 195.64018994],[234.31187132 170.35398208],[232.13037845 199.56945233],[231.2097834 214.8582972],[205.97217565 202.71939431],[205.13959247 186.338878  ],[210.92041516 216.64970598],[213.16208347 231.11165093],[180.49738019 209.94409009],[186.033365   206.83901439],[193.42515818 227.29870581],[196.48232897 242.32728328]
[215.40860278 280.15712755],[262.76423748 275.03134225],[274.38189374 243.38527931],[259.80611834 213.03858788],[238.37470164 192.28315327],[278.27361587 193.96036615],[292.63950628 152.28084061],[302.06376542 125.00091514],[306.88708919 103.47160693],[252.55038074 195.23110203],[251.31077407 170.83813928],[244.26894585 202.91053515],[240.53657238 219.30158868],[223.86398705 199.52826379],[221.99119192 181.04382467],[223.18730921 214.9593211 ],[225.0905482 232.465735 ],[197.41692293 201.29726571],[196.45304544 190.2597289 ],[198.77708909 210.92768222],[198.93705409 225.18061894]
[220.80160671 267.9967845 ],[262.94180912 271.04792671],[276.11044804 243.37664774],[264.25041377 217.771527  ],[246.30413449 200.58638701],[287.16941883 188.80370228],[299.49200435 149.38387734],[310.24546393 124.64611596],[316.9436115 104.4130396],[259.73946218 185.82969633],[254.45598139 178.34641261],[246.74473963 211.21343438],[244.15996429 225.68330982],[231.94138887 187.71134476],[224.32900961 185.65526997],[223.39298357 220.81720481],[225.9390901  238.28086937],[207.20352469 187.51916098],[202.30157295 187.61604243],[203.89832035 210.87806164],[205.63949433 223.72802727]
[226.90817704 261.89124214],[268.62513612 267.91615795],[281.62891001 243.0981258 ],[270.66961044 215.32874523],[257.91725947 188.75732735],[301.87512255 190.63969539],[313.81624837 147.45672053],[324.32334839 124.26074704],[332.42857783 105.02843943],[272.39558404 185.18678039],[265.4265005  173.35612466],[257.34251288 209.34451002],[259.91885933 221.6424516 ],[242.73707323 181.6319439 ],[234.24503753 177.06507383],[233.36423233 214.88594009],[238.00809322 227.85488176],[216.52457799 178.367591  ],[212.3058132  180.54362754],[212.44889418 204.23457243],[215.15892903 212.31408265]
[219.88137813 272.09364647],[261.43464463 280.13811101],[281.87301657 248.7235712 ],[269.81387068 213.43465156],[251.16228751 186.81492796],[304.05520469 195.49559945],[321.1377018  153.08837015],[337.92970198 128.64973377],[348.81551664 106.19508398],[274.19824476 187.08522931],[268.45944074 176.7943683 ],[258.46420927 215.25906077],[257.35640346 225.78922647],[241.59615465 183.33356988],[236.02624554 179.14445068],[233.94122498 216.85844044],[235.47332746 225.50663264],[212.66878287 180.05158131],[210.64869666 180.33221534],[213.11763458 205.77994357],[216.19332407 213.06536181]
[221.34078586 267.84838214],[259.89843344 272.79220161],[276.99409588 249.64650709],[265.81251664 221.92699982],[248.77303603 194.17427324],[298.72473414 202.42406449],[314.89502076 165.94293109],[323.93975661 144.69918769],[330.02335035 130.86118157],[272.36757495 194.59946318],[262.19418735 167.04672453],[247.97698899 201.22958242],[247.87341041 226.22642862],[244.0247534  189.84769946],[232.75337832 170.31422925],[227.56102001 209.81751657],[230.75922008 236.13464366],[218.74926652 189.66983559],[207.30515085 176.53556902],[203.30160595 196.17597602],[204.65948177 212.75376483]
[215.71224403 281.20813063],[265.01908399 277.48638786],[276.17247714 242.68625751],[258.66913809 209.43583598],[233.97604201 189.40535769],[281.14280917 190.2675466 ],[291.02512966 146.32789988],[297.4113234  119.63658364],[300.65194205  98.96433602],[252.99255003 193.01547846],[250.51476805 168.37511467],[244.39024278 202.04961369],[240.61426099 219.93986641],[222.63019801 198.4179318 ],[219.88831088 179.58622533],[223.86188818 213.98037754],[226.39402616 231.05654434],[195.14904612 200.53690918],[196.3458548 191.9177572],[201.84995906 215.16894172],[203.3113697 229.8961816]
[217.474739   281.40042042],[261.40886009 276.41085084],[271.31155389 243.08927112],[254.54078216 211.9609771 ],[232.92950566 192.06548441],[268.27422376 183.63581977],[266.48369818 140.37158632],[268.87458263 114.69482195],[269.96363545  93.27686286],[239.34491052 189.08728512],[237.28473265 167.65890374],[239.98930723 200.91699981],[239.83165113 215.75747555],[209.70048512 198.97222686],[207.14075572 187.24981731],[217.84625975 221.25985276],[222.70762836 235.99065819],[182.94633629 208.08161845],[187.09899807 207.13557224],[196.89904884 229.87640615],[200.59497444 242.9793497 ]
[236.51742767 284.72318485],[276.09017614 271.52280776],[281.24597191 239.25836512],[264.16304954 214.91515889],[242.35513647 198.70146211],[264.01222324 183.3795343 ],[256.30868334 139.90213823],[255.89705198 114.28786291],[254.48354727  94.90059133],[238.73126796 192.30318647],[236.13448201 170.15676813],[243.00325656 197.98093188],[243.97062714 208.25433432],[212.71669486 206.30100046],[208.48018608 195.23583265],[225.73251013 226.59769752],[233.7263761  239.13098963],[190.28795798 221.19343143],[192.51368286 221.29421388],[207.49133022 238.70695837],[216.18344208 247.86558067]
[241.31597142 292.11568732],[281.02606968 280.82615019],[288.74033866 242.35603299],[273.38635208 213.814469  ],[251.02140502 198.09199856],[273.96199746 185.3394224 ],[263.93552779 142.55608445],[262.86337045 114.86004436],[260.02426628  92.02479443],[248.96940196 194.92233828],[242.39729672 173.61329954],[248.55601298 207.02051441],[249.53037555 220.94229508],[221.73901526 207.84710273],[212.44594523 194.6634797 ],[227.37987011 226.13742761],[234.43502428 239.24025947],[196.81838226 220.52101289],[196.11849956 217.75156591],[211.05101115 237.35072102],[218.96804145 248.33573168]
[248.6272147  286.45185956],[287.57877354 270.75299362],[290.59344322 234.82332248],[275.40189622 206.87264728],[255.81662497 190.91116061],[276.17811603 183.90567984],[266.64434237 139.94134101],[265.09261083 112.14836811],[261.91651625  90.69229484],[251.50046005 192.93079574],[244.04799685 175.27897018],[250.88270525 208.19712297],[251.36529605 221.36065602],[225.45409293 207.58539931],[219.81763745 195.35974281],[234.84039171 225.50045676],[240.64083678 237.72729199],[201.67993934 221.60831645],[202.82850449 218.50808155],[215.67591401 235.59115667],[221.96295309 244.66467715]
[254.17097295 288.47360044],[293.06881934 273.77080643],[291.73157224 239.65411924],[274.82461624 211.72477445],[253.84273589 192.65573492],[283.18059743 188.83252525],[272.72885066 145.75925989],[269.65242663 115.61466634],[264.28795226  91.17156415],[258.46147695 197.91065239],[247.54271779 178.39409782],[253.20306272 210.72567339],[253.38342984 223.66481403],[233.20461556 211.56024602],[224.63271989 197.59297595],[240.30689112 230.2495435 ],[248.24305596 244.50938197],[210.85207753 224.65463589],[207.51467708 216.93301816],[216.71162695 232.71812133],[219.98533443 239.72649183]
[253.20423391 296.20727448],[292.25472713 280.29978509],[292.78481893 245.52965587],[277.90834197 216.86514348],[257.94233485 198.06413283],[281.44962825 195.97025602],[272.85039615 150.8993151 ],[268.76031994 120.6448089 ],[263.28881938  97.34153973],[258.34610982 205.25065466],[247.80492676 180.37724324],[249.75419042 209.34796356],[248.20680325 220.91372485],[234.65794081 219.18525929],[223.94929001 199.57725331],[236.72778715 232.34027039],[244.76473332 247.79720506],[213.76130518 232.1300707 ],[208.568008   220.71888677],[214.95452942 234.37925968],[218.46681561 240.370933  ]
[250.19655736 309.24554068],[287.49064761 287.23917392],[287.22420999 250.5319242 ],[271.28476796 223.59129969],[248.80157582 210.06005858],[272.76230424 198.42757534],[264.27868233 152.56902891],[259.53787079 124.09810762],[254.33987413 103.37911909],[251.3562005  208.29199622],[241.70707318 177.88931929],[244.36953282 204.44653488],[244.04116087 215.02456158],[228.42693013 223.19370492],[217.33032104 200.70026133],[229.74422004 233.03538735],[235.87966515 245.7300386 ],[206.50308677 238.91471753],[202.64315118 227.36465633],[215.22280279 246.90556913],[222.73587455 258.845987  ]
[246.00004864 305.87000556],[279.87282581 281.52923521],[279.99559703 248.2203456 ],[264.24596985 229.30442003],[244.90020235 219.62421592],[261.10451262 202.6511533 ],[251.76681711 160.5223134 ],[247.46058775 134.61556559],[243.07211655 114.1017109 ],[239.10940763 212.24448242],[235.01014491 182.43340746],[237.30036672 193.05521055],[236.39925705 194.64184732],[217.42252389 228.55845626],[216.25853256 215.07288993],[230.52868546 246.90279474],[236.96993081 260.56430766],[197.04509727 245.79495045],[202.57865458 239.51891958],[215.46152135 258.28124534],[224.86794827 268.06417771]
[234.26866259 309.01458342],[264.70886438 288.44170372],[270.75397632 255.6009605 ],[257.51373516 235.26683485],[242.02539938 225.28584299],[249.91260037 203.22459898],[244.27282788 164.57886178],[239.37082076 142.21419391],[233.47688498 124.97203501],[227.31789813 212.30049757],[226.20578606 194.59507371],[231.54496595 212.24908727],[232.11855644 215.24618858],[205.22187022 227.90121418],[205.59364913 225.5003676 ],[220.61671334 253.75207658],[226.0844704  259.29942227],[186.28670581 245.65930797],[191.00446391 246.90981637],[205.83635471 265.50068634],[215.90723004 271.49651817]
[229.94057767 314.72043728],[263.71444276 289.65409148],[270.10648244 258.39361869],[252.99575029 238.63809971],[233.37676531 229.19778153],[245.09781452 212.33911294],[237.584737   172.98956713],[235.7831507  149.07458714],[232.35401189 129.96831674],[221.83786766 221.32184769],[223.63753374 195.97809951],[233.09474074 203.3838777 ],[235.29616818 202.52394913],[199.77541038 236.99159125],[207.71351273 228.7297605 ],[224.33931412 260.16212228],[228.63710624 273.9085323 ],[179.82133991 253.53121204],[192.08478053 248.63060908],[205.6283195  269.18122121],[210.20759779 279.45242498]
[227.07787027 326.89207281],[262.95779161 306.4917442 ],[270.96047179 270.74065704],[258.86172177 243.99107993],[241.23673236 234.98831856],[240.93886103 228.11073151],[232.91596506 186.92625325],[232.28156427 162.29620335],[230.13683157 139.51321009],[221.58236607 236.90663896],[222.2693968  207.03976618],[237.42548675 211.45794561],[242.75933161 205.46378787],[201.71212851 252.18124553],[211.51228687 236.96533731],[228.53820337 269.69216374],[229.9107761  283.78218817],[182.70461524 268.39759093],[195.36110778 256.51171663],[208.20055063 275.99509016],[211.19260278 286.35136646]
[222.23011109 328.63060046],[258.39492389 309.76424934],[264.03807487 274.39173104],[252.15945713 249.35417916],[238.70298057 236.07905057],[236.25059203 232.58526158],[228.83968025 191.09031192],[229.39102522 164.02782183],[226.86850219 140.69425916],[217.3868988  243.34035004],[219.43940039 213.40063546],[233.93444222 217.25956574],[236.75241989 213.428515  ],[197.65667089 259.06765073],[210.93261632 247.32876935],[226.46505376 278.17286757],[225.39176312 291.26837225],[178.85841967 273.91503426],[192.16019371 266.49102218],[204.12175814 284.77881542],[206.04180809 293.23446802]
[213.24307212 342.15912105],[246.8451493  323.23650872],[254.90592105 284.48258965],[248.32962342 256.4411902 ],[235.75150407 243.5632948 ],[234.84823703 240.50181937],[230.86318012 200.18016648],[232.56358814 173.42727577],[231.7562414  149.13814603],[215.8067203  247.50075172],[217.21878387 219.17741276],[230.88482676 222.96386734],[234.08840702 215.57636598],[194.39586161 262.31428207],[204.61526927 250.57683874],[219.0528037  283.59426524],[217.92825045 298.05357466],[173.555736   278.79198145],[185.57238849 270.92232066],[196.52136037 290.69299886],[198.80757189 302.50169433]
[209.56373342 376.33982725],[241.24890041 351.04313898],[252.10771487 308.58294247],[251.579104   272.87429472],[246.07887587 252.13653836],[238.36380821 253.38572774],[243.56893614 206.29987129],[245.59127859 178.4870769 ],[245.61317234 159.27693735],[221.24273766 253.8351711 ],[225.7075992  203.00052882],[236.89222671 171.91275052],[241.70787092 149.43332943],[201.77012843 266.19997363],[208.26286095 244.59596741],[219.10023491 276.13396869],[219.59086137 297.04908344],[186.57618803 279.54509111],[197.00804116 268.84164086],[204.86191588 288.88209489],[207.06781056 305.73752917]
[215.46162774 390.48392053],[253.46082904 367.6833014 ],[264.62086107 326.90647718],[259.68869941 292.29918327],[249.3404062  272.47429193],[248.9351945  261.94806418],[252.15698341 211.94304208],[252.08736431 182.82363191],[250.71891235 164.78917437],[230.98697019 263.81656951],[236.13285495 206.64646422],[248.08329962 176.26660608],[253.53859471 158.089305  ],[210.02134731 277.38914222],[218.76492761 253.81205197],[231.05951937 289.1287345 ],[230.28914698 311.96046765],[192.30165263 292.47179871],[205.09917338 283.30490606],[211.64822827 308.31814947],[208.92028358 326.71910659]
[222.28937717 368.26765175],[256.46324023 359.52084368],[272.09822136 322.63428644],[267.47135873 297.79607732],[263.62225806 286.47502803],[258.7067715  270.77472932],[251.6079351  226.62847464],[255.30433221 196.38299107],[258.14375598 167.15935163],[238.40895334 276.2832492 ],[240.83912389 253.12648632],[252.27341023 283.35053661],[255.31315218 297.03753883],[215.82561152 290.32846422],[222.70930671 279.10797737],[232.4388285  310.47793215],[234.31914993 323.53945194],[192.71025313 305.17761063],[202.87603202 294.92419334],[208.49347081 313.88483078],[207.29613924 326.8702388 ]
[217.84941325 427.89079981],[250.85018623 396.66154258],[265.2896396  346.17379236],[271.20775526 313.47018312],[272.3564341  300.86090377],[270.92328058 301.4365817 ],[267.17131022 245.88111934],[275.23441115 207.80472039],[280.86834717 172.56067803],[260.18333759 302.55626172],[261.31511118 258.49666896],[263.74966508 267.33177157],[262.17419653 268.07399198],[243.59532999 313.95325048],[234.33084353 288.50786459],[238.29881248 325.0360305 ],[239.90295214 345.48040903],[224.60488793 329.53988174],[219.22292374 304.53256647],[218.80926107 317.93444397],[214.93837191 329.54372149]
[218.143277   435.59258532],[247.41860525 404.93250117],[259.15873399 359.38441219],[260.55779098 330.75435603],[255.21743013 318.88975844],[274.90823425 315.12423036],[274.73126859 266.9061741 ],[279.2219748  243.06475686],[285.65653952 219.67226755],[263.03871798 310.86911822],[270.33755281 245.01500239],[278.39279704 209.13449518],[282.96398931 179.55194712],[247.02189541 320.55793031],[238.80065018 285.89312601],[245.96311938 320.18569549],[251.02796501 342.39965683],[228.63444314 333.14220691],[221.60954221 303.60408445],[223.3304251  317.49027797],[225.36077288 332.61452898]
[233.33596919 413.64981478],[267.97405968 401.48151508],[288.73017639 366.21689821],[286.36952144 341.80057051],[279.3618523  338.61990098],[281.71695795 311.75565338],[284.04683527 268.42565851],[290.30821544 238.77588134],[297.35760931 206.98594301],[265.31109546 316.13144277],[272.87180325 295.21426915],[274.89527216 327.41770196],[274.2611099  337.07727595],[242.83070349 328.26915627],[250.0691796  308.46221416],[255.12538928 339.14095331],[255.94411407 351.15042667],[217.27520192 343.81546144],[227.81162479 328.47908153],[231.48322826 346.36900436],[232.1362928 356.5789392]
[237.39746715 450.31177691],[274.91817393 429.99275564],[291.51606566 379.92191301],[287.96085317 343.83952345],[279.21941079 327.4412545 ],[300.66954937 333.62700658],[299.19633032 287.79077439],[304.36048102 263.69788995],[309.80537503 237.12609535],[284.22300731 333.88995768],[288.35880516 297.65048563],[287.58873484 311.00378588],[276.65106884 316.92431338],[262.16611206 341.23649369],[254.40049867 314.99024191],[260.90262403 344.90851436],[259.33275055 364.5836617 ],[235.74980991 349.47447185],[233.51675905 320.08272931],[235.66177249 325.67682897],[229.3465479  331.30399958]
[242.77446171 458.90824263],[295.50855691 439.03204854],[322.39332905 383.9714865 ],[314.19168782 338.33935561],[292.75094313 311.73358256],[314.07399869 337.6594708 ],[315.414907   296.15987572],[323.48359323 268.07514793],[329.21019274 239.06506348],[289.55325307 337.58903014],[299.0739078  287.73603206],[305.90564693 279.75011164],[297.11883819 275.43574192],[261.69773602 344.8513538 ],[262.79769535 311.84103027],[275.12514338 344.47164184],[272.84265302 366.8020348 ],[231.81103362 354.11420721],[238.1317163  324.90992167],[246.79859688 342.82981481],[243.63261551 357.00850971]
[250.45721071 459.8900033 ],[279.07058218 437.60910506],[301.64982684 389.79541239],[299.63922506 344.29491303],[291.12848139 327.76603645],[310.46060323 346.38482189],[311.88034977 293.06645564],[321.7529786  251.52288702],[333.1397501  211.74195896],[296.24696718 341.73765017],[297.14651765 294.44221951],[300.24132619 317.43506906],[292.75288046 337.58344791],[276.24350963 342.10443782],[267.61248181 304.05389324],[277.71842315 335.80009806],[279.82233548 357.528913  ],[251.79016597 345.26804189],[251.83747305 317.78757155],[255.07252529 330.9330104 ],[251.63789269 342.28858917]
[247.0565483  454.58493924],[302.01909679 436.09439708],[327.04598415 387.87898609],[314.88583539 339.14928708],[293.66466588 316.67053502],[315.59761718 318.14639367],[317.96278323 268.66754251],[332.74292611 229.39149128],[340.94163593 192.85728416],[292.48226221 324.32942398],[303.40205384 286.63988125],[307.71962444 313.65914471],[296.4293822  333.79170544],[264.40074308 333.61389248],[264.78243699 307.39987049],[275.17653314 349.71761356],[271.0758738  374.51951804],[236.14989564 341.19831911],[242.60587744 322.01164476],[250.29392374 338.26962844],[246.08573609 346.66289374]
[246.41773719 444.44289694],[294.12773222 430.42716474],[318.20245393 381.90953591],[311.76143864 334.50851902],[294.41768687 314.12566044],[321.95863746 323.33293   ],[324.92852212 275.35344865],[332.61749012 240.92331587],[340.81413979 206.93137907],[299.58750668 323.04077206],[310.97059248 282.09889703],[316.5450082  295.68066265],[310.41904398 302.16906811],[271.77713362 328.28472447],[269.83532929 302.13433289],[282.23897391 344.49550788],[281.80573346 370.00657239],[242.56487523 335.98257435],[246.62804632 310.42217679],[252.58440402 327.06440175],[249.17845695 339.27682657]
[254.26085028 409.06886247],[293.09509736 399.13505417],[318.13277521 365.01208715],[317.14233076 328.37240423],[307.27303078 309.84475681],[313.84823388 312.71450547],[318.4231742  269.18106858],[326.08010858 241.07782006],[335.42481139 211.95757672],[289.74872414 313.05188958],[294.92129869 292.76461932],[292.27821347 330.5878324 ],[292.07463909 341.74105368],[262.38341662 316.54425109],[267.92262515 302.01973475],[269.25167641 338.10608303],[267.72216523 348.79920114],[233.66778352 324.44472504],[244.24125045 313.38905216],[250.06483446 335.78018693],[251.80955516 343.42826556]
[257.60645505 393.30714616],[298.11633501 387.70384252],[319.43843796 356.89859917],[313.98426421 319.34586954],[299.79466787 301.19843936],[314.36884275 306.9973643 ],[317.78581375 266.31449048],[325.54436997 239.06728135],[332.97839524 213.08424755],[291.67895891 305.72073713],[298.41646236 292.01087626],[298.12910501 324.7085063 ],[296.95542764 334.34631736],[265.19723886 308.79818398],[274.20961471 301.70629364],[274.79894842 332.86982103],[271.07472662 341.53683284],[238.48409009 315.23610686],[250.04656002 310.32192755],[254.87808275 330.20792677],[254.6169062  336.62965198]
[258.54314266 379.28844368],[296.83963111 373.50196875],[315.39319617 347.58485969],[311.91046829 320.69404719],[299.56042905 303.78808176],[312.9435612  302.53189396],[318.44095955 264.41657964],[327.80033079 239.86403901],[335.83132228 218.83518309],[290.30508006 302.54781777],[297.93895408 288.37133943],[294.15623721 319.64011683],[291.30551363 327.5940197 ],[264.17680376 306.1788991 ],[274.37961945 299.81583003],[274.01281192 329.53066237],[271.09795073 336.33082535],[239.39396702 311.48521804],[248.85205647 308.08009005],[250.18950545 327.46291784],[248.73455791 332.76026866]
[252.3232754  375.48849634],[293.04744122 372.23408022],[312.38775333 349.61396023],[306.17941134 321.11283879],[290.12328811 305.2964707 ],[311.20046943 300.70846852],[318.72274103 265.51312391],[327.71539454 241.94837467],[335.14179479 220.71684257],[288.69967144 299.10625653],[291.91344142 284.3351329 ],[288.21601736 314.93305456],[285.83553491 325.49343631],[262.4430219  301.83427897],[268.16093799 293.74123851],[268.34673551 322.35753958],[266.49714303 331.62703948],[236.6351359 306.8736178],[243.66958891 301.96295544],[246.60254362 319.9914154 ],[246.50764721 327.11705233]
[248.29053734 369.29153477],[288.01343109 362.0075599 ],[302.31794888 338.91453314],[296.1685367  312.02862451],[281.3633822  295.44163825],[300.29064214 291.04234001],[312.72560235 259.0501426 ],[321.98025347 236.58005868],[328.60662122 215.27197762],[279.05903743 291.36093454],[284.15064867 271.96935771],[281.44142041 300.02685203],[279.0796297  310.59988939],[254.52777419 294.92082012],[261.20737886 280.8167813 ],[261.63713055 307.10188468],[259.99089621 317.14855174],[231.47426861 297.7799127 ],[238.65562785 290.16519714],[237.57448384 308.03011499],[234.46272817 318.44274463]
[247.63459164 357.47092515],[288.73972991 344.58934565],[301.75988711 320.58415393],[291.87541463 292.50427701],[275.82676834 275.39546362],[300.40965263 281.93296205],[310.8420064  249.21082392],[320.51426242 225.73755126],[326.94083441 206.30246517],[279.51837136 279.73894456],[283.40588899 261.56748838],[281.28560779 287.17874498],[276.850932   299.62023312],[255.79068387 281.78780525],[258.98954448 267.95818524],[262.6680121  292.79834553],[262.06209053 304.90133451],[232.90587633 284.54102013],[237.54106616 276.53237978],[240.44652161 293.90496212],[239.30626872 305.41926834]
[248.99118113 337.33300909],[285.62939223 328.38165632],[298.96280275 305.4754649 ],[292.72376007 278.1634415 ],[279.35288377 260.84283591],[299.30348038 266.86263635],[311.40721095 235.84274878],[321.81166277 213.40864303],[327.94329395 195.63800806],[278.37810249 264.61763736],[282.42978156 247.55111789],[281.1270238  271.95808729],[277.13490644 283.37977003],[255.91926997 266.42230274],[259.82622672 253.7671929 ],[261.96511105 277.36205562],[260.17342519 288.07774641],[234.76444629 268.28354207],[239.22165355 261.86775945],[240.8337748  279.12098401],[238.68798509 288.45526123]
[255.72887295 322.12623925],[287.15584069 313.91807058],[298.79312032 295.0195161 ],[293.63061872 269.48961393],[284.94234052 252.47344683],[302.88073308 257.95840401],[314.22677394 229.76595936],[322.04027366 207.82201375],[326.35458826 188.49269298],[283.21883974 254.90483339],[282.84491373 237.9492009 ],[280.4806766  260.81443638],[275.26199483 274.2309029 ],[261.19405903 257.04340276],[262.30782453 243.89318458],[264.21454972 265.48780866],[261.67286133 278.15749757],[239.65981503 260.48168408],[242.2133807  251.87912441],[242.4384105 267.32945  ],[239.0986342  278.13227093]
[260.99986019 312.72401907],[293.11752753 305.26839097],[306.81422094 285.12268172],[302.55266702 261.79243624],[295.00982813 242.63529086],[308.37742166 251.03458258],[320.16447976 225.48776067],[329.60434333 204.37630501],[335.46429355 186.44961277],[290.11110514 248.9882958 ],[290.48142635 231.81169634],[288.52212761 252.7298075 ],[283.88828535 265.94629487],[269.98462896 250.79215224],[271.43391784 237.75031718],[272.72988609 258.97386473],[270.47582173 271.17402173],[250.6041421  254.19715422],[253.22898663 245.87208851],[254.13513687 260.67251066],[251.31709349 271.43999653]
[270.03581277 310.61953383],[301.13996141 302.47463341],[316.34086939 282.49752579],[313.28751461 258.81862834],[305.87605733 239.18196783],[317.57354852 247.51965408],[327.19857483 220.89448638],[335.91832315 202.25441102],[340.90012905 188.46219531],[298.62086228 245.81191086],[302.25130785 230.78520211],[299.2515468  251.47140457],[293.50536862 262.50548314],[278.6905546  247.85756346],[283.22058917 238.5718003 ],[283.05627252 259.83456887],[280.26973644 269.86013897],[260.03818797 250.50043757],[266.27842193 246.39332313],[266.3194983  262.61609952],[262.99444341 272.48717278]
[279.03157154 308.99811641],[309.39875583 301.56546692],[324.58392295 282.96861495],[320.36137891 261.38724994],[311.25220401 243.84325994],[328.61443049 243.60430821],[337.61782728 217.55502653],[345.69825629 199.23218653],[350.99700296 183.97305694],[308.72509378 241.86452835],[310.81948072 228.34243561],[308.48960586 252.55657947],[303.81612226 264.44749429],[288.87155859 244.03376886],[292.93502465 236.71640499],[292.97092032 259.15213339],[290.20648194 269.64172589],[270.59177181 246.66606089],[275.57495551 241.67694847],[275.53528745 257.61942728],[272.35422663 267.62939197]
[291.89273448 301.08184329],[325.52527799 298.49418076],[339.87152873 278.99745735],[333.3621397  257.78877078],[318.08154103 244.12860793],[339.76765208 244.15002983],[349.2972672  213.96839134],[357.43154021 194.90751152],[363.01379441 180.55622409],[318.70049723 243.66583278],[323.85449999 229.97774586],[322.7753518  253.73980283],[321.23736772 265.82394275],[297.34452683 245.40782651],[305.83921617 239.42326382],[306.11810326 261.969517  ],[304.27599777 271.4337525 ],[278.61894832 247.62113693],[287.87593156 246.62377004],[289.13177446 262.46840639],[288.50343475 270.84299116]
[301.7189788  317.65113237],[339.27342923 309.06070517],[354.29288339 284.35727066],[350.01160723 256.2721078 ],[339.29743831 238.31989631],[350.77368492 245.93291211],[359.86431169 214.02266628],[369.66490108 193.84364713],[375.79610531 177.2801948 ],[330.77753605 245.02562539],[337.5636392  228.52260437],[336.72619472 255.74772165],[331.65428138 267.7698905 ],[309.2186598  247.16927631],[316.22195284 239.17890459],[316.61030729 266.19544422],[313.31145862 276.01793246],[289.63125719 249.50682571],[298.87139665 248.61746425],[298.7409736  266.89730565],[294.74167057 273.98216147]
[303.54751145 316.40003576],[341.58967028 311.67905586],[361.57646941 286.97251134],[359.58752571 258.85895541],[346.09808573 241.45578274],[356.8478894  243.00640949],[363.38552852 207.9199206 ],[371.6254607  186.56762736],[377.9135131  166.76808379],[335.79585702 242.47552579],[340.60728086 225.32743642],[339.31060983 257.42740163],[334.89660296 269.74673976],[312.00720699 244.58738402],[319.47928643 236.26718223],[321.71673634 265.71850441],[319.03071789 275.33059732],[289.90697818 247.62247691],[299.316663   247.02239665],[299.86087992 267.56391082],[296.6420554  274.72221331]
[299.2256396  321.76914265],[340.23882441 318.54262648],[362.61821973 294.83522688],[358.30992983 266.4909327 ],[341.97444431 252.65347217],[358.03790225 240.3335701 ],[363.25267577 200.89719534],[371.27631446 178.37812216],[377.93727448 159.36306037],[332.60001869 240.86947778],[340.56564343 221.9295534 ],[338.77957571 257.38620391],[337.61832178 266.71527299],[305.44814881 244.2708855 ],[313.65018598 234.17888992],[317.25543379 268.63466334],[318.75288249 276.10243544],[280.33897176 248.45594318],[291.21258854 246.1182072 ],[294.73996273 269.38922276],[295.63244436 276.79296674]
[294.0591002  331.55706038],[335.76171982 325.88934357],[358.50919715 302.45297728],[355.7545751 278.8158231],[336.86824256 266.97360438],[354.53426829 247.94376159],[359.96489144 203.85197722],[368.93363161 176.95547359],[376.53736662 155.09716516],[329.50085403 248.67040577],[337.17584239 229.4122422 ],[338.95428253 264.60590566],[338.79846203 275.4331456 ],[300.77294355 253.12192671],[310.63389539 243.2773687 ],[315.91914547 275.31256854],[316.38813264 285.17202177],[274.15834628 258.82441159],[284.84003833 254.46350425],[288.11394988 275.97472892],[288.41235032 284.54889945]
[289.07355038 331.36306036],[328.33308609 331.54410905],[347.44347733 312.85456958],[342.8191621  293.16736606],[327.00402414 282.07677282],[354.29716537 248.57554927],[358.79871613 202.57003902],[364.73184494 174.58237413],[368.60838844 150.31874059],[326.99219237 246.96231696],[323.12516145 233.34034591],[323.15433786 270.06792783],[326.85094949 283.98969851],[295.87500614 252.17987988],[296.66614679 248.50946476],[300.49237213 282.02438768],[303.73019599 293.83407391],[267.32972451 258.11029149],[270.54568239 258.73206486],[273.88877684 280.94488694],[276.50570308 289.71049737]
