[220.80988275 411.44018879],[254.58638012 408.68501057],[267.78552521 374.4485495 ],[247.00968324 345.96475169],[220.8547773  319.54881042],[276.60977703 310.34694104],[294.40368798 269.53752178],[307.34001912 242.2773787 ],[319.55957939 219.79450671],[244.90172169 307.20110824],[237.82636721 250.81257823],[237.43522325 209.69789924],[238.86196098 173.13125562],[216.20764004 318.10563683],[211.36544007 298.6967972 ],[219.58550637 338.32766541],[224.39781427 358.03150275],[189.63779681 330.89813922],[190.05459848 323.94000747],[199.73530983 352.4931592 ],[208.56991923 371.86641941]
[287.13775737 364.78732274],[342.14510995 359.53707354],[360.76263559 308.69450594],[341.23743174 267.90910153],[318.8791895  240.48942668],[367.90665922 235.81511245],[394.67248473 181.75478169],[412.9896267  146.92440067],[430.45710635 112.61865262],[334.64128778 227.76292122],[340.0341149  163.04511351],[338.2801037  113.68412193],[338.14483383  69.08582214],[297.8785033  232.87504818],[288.85426076 206.04926786],[299.33604008 248.37195227],[308.75045988 277.45836559],[266.48309776 247.47461565],[267.39513528 233.78382569],[280.04961279 265.83823311],[290.1451058  294.47172072]
[277.35213884 360.70387032],[327.42709431 361.96737022],[352.14208039 313.8063597 ],[326.66259726 273.92252715],[298.87798339 248.10940214],[357.94236284 233.77676459],[385.22179235 185.85022742],[403.2730876  151.61596816],[419.61789365 118.17279686],[318.20902539 223.92778574],[319.8402034  164.32872322],[317.90619019 115.35830732],[318.3412402   69.89194831],[279.21279941 230.4790692 ],[273.71080577 210.15287952],[289.10005173 257.67806106],[300.83042337 286.40648812],[247.75269675 244.313157  ],[246.74856518 234.33242254],[261.26138431 268.35310458],[274.79550702 297.40496064]
[282.25160262 375.69773575],[328.4698223  363.60947792],[350.90603583 311.58855992],[326.47981753 273.75830512],[294.04021655 250.5798727 ],[351.97320162 229.83045498],[378.77174489 177.31165946],[399.44068924 139.46563552],[414.16350698 107.20749079],[309.22926241 224.93723555],[305.65307293 159.79243961],[301.56652988 109.22033501],[294.00578745  66.36356717],[270.08827294 236.31938879],[263.660495   205.05919316],[281.07486171 246.05445413],[287.25084387 275.27936643],[236.67404435 255.36129586],[239.93615759 234.7298841 ],[256.92618584 264.96275529],[267.01674227 293.43077701]
[269.2797662  376.07765769],[320.63326355 364.51785322],[344.43663176 316.44472055],[310.38813972 279.68778849],[272.35057476 255.42039054],[343.58028    228.60151683],[366.4462694  175.47435051],[387.2986633  136.66787579],[402.3033232   99.69708692],[300.5433106 224.2957658],[298.91514259 156.82861969],[296.14269078 103.81438392],[291.90047366  58.13684391],[261.3262539  236.17639213],[251.62036957 206.80752609],[269.66238532 253.68141026],[279.83493491 284.39734947],[229.35479758 255.75215217],[231.56915575 239.98514411],[250.48403653 272.22377709],[263.02721062 301.77858259]
[264.60130914 380.99040954],[317.65655247 371.12831144],[338.78232201 323.65442391],[304.76737761 282.2332443 ],[265.61175929 250.00073334],[341.3231995  227.65106166],[363.3826061  168.52615263],[383.52069225 128.0202844 ],[397.13669356  91.54753743],[296.40409585 223.56599209],[291.72762251 152.7960259 ],[286.31378983  95.3157106 ],[277.90842898  45.76628459],[254.2582955  234.03995799],[243.38850256 207.57125261],[260.22608094 254.70712684],[268.23371949 283.10649322],[220.68316755 252.08395439],[220.22162035 239.55263771],[237.80011865 272.99147066],[248.58037081 300.96866515]
[258.98842117 374.76016583],[322.11402441 371.30568264],[340.1468687  321.69660344],[300.09613242 286.29038401],[258.53464124 251.60483065],[340.64741487 234.12608103],[361.14265814 169.9825594 ],[379.96943456 129.30165141],[393.17214824  91.3214937 ],[294.22787416 230.42335053],[280.06906416 155.85409748],[269.44097811  98.70221352],[255.81090977  42.56752483],[250.97485143 242.80381528],[236.11775641 214.98630446],[259.89264002 261.88436382],[276.81585259 284.46581698],[215.92961753 261.22808656],[210.31057454 247.55039792],[231.56432693 281.83332775],[247.26247602 304.76784482]
[259.44622852 387.1006708 ],[313.82607753 381.67791558],[331.5705626  330.11360874],[301.22563953 295.84664534],[263.92805036 260.10259863],[332.83534402 230.13095074],[358.20921286 164.59476451],[378.13098647 123.12855334],[391.45244849  86.30521405],[280.68332746 221.2652139 ],[270.50718646 142.98036304],[262.40103441  85.80058495],[246.97469016  38.03624384],[240.68948385 240.31731227],[236.76528112 195.771475  ],[248.41170183 228.74534071],[247.79301021 247.80423621],[203.48767404 267.09968725],[206.41528942 237.56495055],[222.79517588 266.30865288],[228.66347973 295.01737128]
[259.09653746 384.35336972],[315.82274427 374.29114793],[331.90443378 319.75566938],[297.21095661 284.91411603],[256.01452544 247.24032736],[326.39032977 229.19004278],[345.02034752 164.23019139],[363.46525125 120.11335727],[372.96963619  80.1349917 ],[276.3603981  222.52468715],[257.73834168 148.03849758],[247.72156751  89.1390866 ],[230.63465255  37.71871327],[233.68894245 240.55154398],[221.59975694 208.3350815 ],[241.54779647 260.07916359],[247.91679566 290.12243161],[195.09482562 266.42351991],[193.57115157 245.442505  ],[213.86865449 282.14420203],[224.37355875 310.11539649]
[252.54432063 384.65760301],[296.01082294 375.67751031],[313.78573851 323.54522752],[284.11297681 283.27508423],[247.53125599 242.44696027],[308.27673294 219.47758259],[324.68195802 156.66085021],[339.32556364 108.82612018],[350.04265265  63.41932449],[257.18552507 215.92276859],[249.75396291 142.04236419],[248.4632443   83.36247912],[247.45935527  32.15459774],[216.10037361 234.40321426],[203.78293261 210.59811496],[225.02239283 272.49266028],[236.19489156 310.0959523 ],[179.11597766 259.70167665],[178.21296825 246.2566891 ],[203.86129959 287.27701913],[222.86076112 318.94547701]
[246.75799176 395.51674906],[302.43323088 382.99954265],[316.84214353 318.19231394],[278.13220746 282.89613342],[232.9783992  252.52287384],[315.81188706 222.25360456],[336.19000482 160.781348  ],[356.16195861 117.43138077],[371.429334    78.92617287],[265.732436   220.40532706],[250.7451846  148.57953681],[241.5494367   88.25302609],[225.25085675  31.13710024],[224.07917761 241.6070134 ],[214.62212699 212.95524244],[235.39407179 266.74835306],[241.9499164  295.76688757],[186.15527365 269.85626023],[186.58332532 247.94254673],[206.99497993 287.64651341],[219.3961549  318.45767291]
[248.91835718 390.76497495],[300.80033258 379.4206136 ],[314.08605482 320.7893103 ],[278.24848205 284.36070071],[233.29004584 250.68997539],[315.8666844  220.88584729],[337.77711059 160.01312013],[356.13342059 117.5559745 ],[365.84681065  79.30552519],[266.41310526 217.24440276],[252.18944075 144.32279273],[239.79402293  86.50012176],[217.95404451  32.62090936],[225.16281647 235.18301813],[215.85838463 207.1709271 ],[237.12738044 257.45109876],[241.9461601  282.72040776],[188.01314532 261.49102205],[188.04569064 247.38753805],[209.66044118 283.76059961],[222.21688591 310.78418952]
[246.64137072 391.72844561],[295.45367522 377.44042264],[307.12362366 316.252188  ],[270.9700463  280.44868767],[224.75123939 249.02603664],[310.14316941 221.208456  ],[336.34875174 159.6805616 ],[356.28164423 117.60790741],[368.27937917  80.46523227],[262.11556944 214.62792647],[245.73115351 141.87514505],[234.2855082   80.33438693],[213.41974409  27.13613395],[221.6676388  233.84039332],[213.77219069 200.46244445],[233.83429089 249.20552707],[239.13675251 279.04366248],[187.19063208 262.27140454],[187.60366883 245.46361527],[207.59382131 283.86123082],[220.24024787 314.75636268]
[238.72420062 398.78604964],[291.68204623 381.0671298 ],[306.66668726 319.89179177],[262.89641294 280.8416569 ],[215.23874347 250.1914145 ],[305.39954326 226.0140463 ],[334.61651424 156.95929944],[357.66679818 112.43776647],[373.99947478  76.16706275],[258.62049451 226.16327507],[242.43545849 149.09502529],[230.41588006  86.47620011],[216.04435435  30.76985131],[217.0795637  242.93517639],[207.17804902 205.47580459],[227.39298051 255.87523082],[234.94976835 288.99203551],[183.60421716 264.88029365],[183.18061782 243.49545386],[203.25412353 278.93880533],[215.52788024 311.84254986]
[237.02589715 395.86308467],[294.83316489 380.43850379],[310.4977467  316.21467679],[265.73315192 276.75441235],[218.16801271 248.68535702],[304.99099901 227.00862956],[335.56537453 159.36412874],[356.47381143 114.12840025],[371.23665316  76.45770432],[256.82204205 225.48224425],[240.56836335 147.68600292],[225.50299787  86.76589787],[206.42315809  32.61011467],[215.41608824 242.37436677],[206.62090251 204.0562473 ],[230.73767427 250.21218919],[240.16456571 279.88226888],[182.32376186 265.03450455],[184.1754407  244.91262104],[208.43878443 280.66325176],[221.82661247 311.52312615]
[231.99948138 383.48249387],[285.9826377  377.40390376],[298.60291222 325.85210295],[256.92593057 283.24171153],[218.13134553 242.33626225],[306.60544327 230.12398335],[330.81185138 160.50928971],[352.11512242 116.47318864],[366.28139596  75.91927344],[262.17163821 225.16767545],[248.54069567 152.15137586],[236.68252672  92.60879981],[221.21195778  38.49757936],[215.68112118 231.59048107],[208.39650639 202.08538645],[227.71985965 253.9165472 ],[235.87578753 286.38171839],[182.06782809 244.95186438],[181.54614658 234.62306199],[201.69172907 274.87535647],[213.72624926 307.62512817]
[227.38111887 385.59488773],[282.17740052 375.50851637],[295.62820099 320.69601733],[254.2517396  272.82392978],[211.25639824 233.85323221],[307.70573672 228.40573753],[332.78747099 162.02670672],[353.63640374 118.64276507],[366.53777902  77.30298652],[262.49997682 223.90479608],[251.93534198 149.41720107],[240.72238412  91.05662854],[224.1799801   38.18927521],[215.00861936 230.06915422],[204.96626703 198.91751786],[225.1714024  255.31756637],[234.03091568 288.74936099],[180.42459351 243.42828622],[178.60235689 228.64771898],[200.62304402 269.7213665 ],[214.74725202 302.73781106]
[220.2936583  378.41714786],[271.75014127 381.13795989],[285.99976264 330.29722047],[250.63204335 282.03546848],[212.5416649  235.24065653],[305.52455487 235.79706518],[330.27317437 169.61515228],[350.49946157 124.04352313],[365.09130656  80.13657911],[260.8327685  230.31301815],[253.14159822 153.4172863 ],[240.10521973  91.67604314],[226.46076681  34.7971223 ],[215.75247937 234.79977558],[201.01917556 206.20092431],[214.86468521 259.66718687],[224.14122876 288.46024876],[182.98967696 243.5041319 ],[176.67858617 234.53276655],[193.1376229  272.71058402],[205.67833657 299.71771257]
[289.19473876 334.19653656],[287.27452324 276.23970836],[275.27390935 238.91291343],[275.23189117 211.47236354],[277.55341424 188.8513509 ],[204.6808749  248.10363557],[202.03811183 230.32986541],[230.91792679 217.14805446],[261.84196025 210.0148458 ],[201.74725481 260.38397387],[194.42192642 224.3503603 ],[220.05638219 202.47651371],[245.33776027 195.19742204],[216.45300361 275.39276073],[227.85625029 238.94567288],[250.78903616 230.18315333],[266.69910538 226.74487211],[241.07221591 289.32856744],[256.8619675  266.80042074],[272.27373704 260.27055894],[281.75462594 255.69870853]
[221.02120051 385.23207834],[276.96748196 378.74352564],[300.3619967  319.64919561],[260.35604713 272.10650494],[214.23817785 237.14861764],[309.44329416 228.0232509 ],[333.95195447 167.99417043],[351.42363887 126.17566224],[363.38884314  85.36261726],[260.65757029 220.37763164],[249.78100076 147.80812316],[236.41137768  85.49000627],[220.23278575  32.1276196 ],[213.68345963 228.93967195],[200.03735703 202.97472603],[220.13271945 251.39742152],[232.3873615  279.44904781],[178.18083714 244.35973973],[174.31939986 232.05173102],[197.84377125 269.22480894],[213.68053771 298.8067026 ]
[221.91077645 389.06023408],[275.09261301 380.43221389],[290.39218618 320.96355929],[253.41036894 274.43733445],[213.96445146 234.14921332],[305.7764955  236.67279444],[329.25487901 172.61032051],[348.31510399 127.3705838 ],[361.47990079  84.52064623],[260.04564201 229.65034978],[247.244478   151.99190616],[233.936153    89.61345318],[218.06314363  34.27876483],[214.0846141  237.78957538],[199.20091708 206.21848784],[217.49744565 251.3469941 ],[229.17269295 277.35717242],[180.42370252 251.20372928],[174.7827024  236.57935915],[195.91464025 271.60475924],[209.73693881 299.83359786]
[268.11649723 275.39711302],[287.66110139 247.54410864],[282.31595303 223.91842886],[275.53780197 200.05933141],[274.07937138 186.57312242],[226.88995785 261.88899194],[211.37339239 235.39417666],[211.24953837 222.92954052],[213.01848642 215.42634124],[202.22511674 293.29381549],[184.21019659 284.32663892],[193.2569947  280.89635913],[201.12896925 281.22911312],[188.36117698 318.50628677],[189.08929885 308.59476961],[208.37830076 303.21109088],[216.26465594 300.60927055],[185.2588281  331.90449805],[195.26716086 327.71279544],[207.04351041 323.07405656],[209.65509616 319.59774204]
[229.2375008  394.34236493],[284.83406135 368.84022252],[294.78266376 312.0825729 ],[255.6210343  271.27608975],[220.91186044 239.37734919],[293.61501912 239.23518038],[319.47798986 178.86534828],[339.60168021 140.03878522],[354.66363409 103.32790766],[253.18584676 238.69078722],[243.2144362  169.63332497],[234.84851908 113.36461312],[223.63329911  59.09751565],[211.34877038 249.6416851 ],[211.49503301 204.94854221],[227.94251301 243.74192029],[230.38639456 271.27869505],[181.1517232  267.29905994],[191.13761147 244.21143455],[211.82118386 277.49253744],[221.28982929 309.25472606]
[219.84006404 377.36318749],[272.14318232 366.26661031],[281.61099794 316.55635755],[247.64384983 278.77471276],[220.28802218 247.43351388],[289.71862044 237.42275353],[316.81868402 182.04183035],[335.64248209 143.01103491],[350.54264371 106.90965512],[251.43836468 231.42173916],[248.35859502 165.72481123],[238.10843248 110.7930587 ],[226.57492353  59.89362395],[211.14049397 240.28656597],[204.81777423 206.44531443],[217.46884195 242.09145267],[224.2798654  264.83784224],[181.47367842 255.31703062],[184.03167046 242.82044616],[201.58652412 274.87743728],[212.30532262 302.51997229]
[229.97219038 343.87687642],[276.44811174 333.53184953],[285.9300494  295.11586675],[265.65861091 268.20769029],[241.45615392 237.86676518],[293.26909619 231.59146166],[315.44977526 182.49771833],[333.573113   150.94069786],[344.89044676 122.11103653],[256.77100218 226.75984355],[244.9236932  168.18179258],[238.40981229 121.42638143],[228.19481721  78.78742333],[224.45274789 238.40094354],[214.54624091 208.94496875],[226.12583913 245.28243566],[229.54780173 267.7867107 ],[195.69522492 254.18389757],[198.38034654 233.6061673 ],[210.14633456 258.59136884],[215.81550629 278.34288905]
[236.251401   324.69275109],[279.3914501  318.64675541],[289.86104348 288.3188863 ],[275.481204   264.07177306],[257.75164204 233.18983878],[296.15103287 231.99528005],[317.38700168 183.76311688],[335.50973584 153.76734964],[347.79780914 129.72538291],[263.9938405 227.0286181],[254.07487185 169.20647271],[248.83795389 126.41124775],[241.15274722  88.65655139],[234.67552053 235.52685988],[226.01356793 202.58547233],[233.04822855 231.61351332],[234.93084093 252.28319102],[208.18192824 247.69827546],[208.31849202 222.87060285],[216.65268782 242.47114785],[220.97390154 261.20726406]
[242.10353222 302.0491399 ],[281.17246035 301.41741201],[290.8371658 277.5571944],[272.93749017 256.80766302],[253.14833084 229.52956255],[300.87616416 226.12610461],[318.05868961 183.87812605],[332.18678103 158.08024844],[342.52003472 135.85343859],[270.79929696 220.51317833],[262.67144712 167.92595474],[255.62084927 129.19117165],[248.86444749  96.1962093 ],[243.32327382 224.10339852],[232.16121014 203.50476744],[239.06872758 237.3379179 ],[244.39916517 257.6938365 ],[219.61760834 231.674268  ],[215.41227359 221.01500887],[222.85346936 246.09471861],[229.46651935 265.5534335 ]
[245.04081366 317.90727709],[279.99296939 314.01537391],[291.23996654 281.71484135],[275.82494378 255.63881092],[257.82802668 230.4096783 ],[302.56479608 232.72569294],[322.54313823 192.50947749],[335.79749547 165.22989456],[346.00931631 141.61235666],[272.22855864 229.33624908],[268.79469982 179.08960924],[264.59068167 142.92571794],[261.48356483 109.1659738 ],[244.42434366 234.89691563],[239.30561871 212.31912888],[246.24873145 239.85504714],[250.81851704 253.8613911 ],[221.07653301 244.39329056],[219.75580165 228.37008783],[227.00721349 249.34831696],[233.2834799  265.65345912]
[248.68005404 317.47928732],[282.30115918 312.37945047],[294.50985192 281.19324742],[278.47831707 255.57451587],[258.50295918 234.17991755],[298.26439033 237.92389514],[315.1867663  200.57469323],[328.51939636 175.49990683],[339.69429373 154.05163693],[270.47383105 233.82754881],[265.62392049 187.3903609 ],[261.38947863 153.59619417],[257.45880977 122.18674758],[245.33304513 240.69544795],[241.64080725 223.24177971],[250.61054608 249.68419976],[256.12494947 263.49237524],[224.08294129 251.17339818],[223.6489469  240.59343432],[230.57053867 262.40118572],[236.54946049 278.68677664]
[246.59240953 317.26082234],[279.82082899 309.3285945 ],[290.20145643 278.33618466],[276.54930539 251.47058298],[261.96263602 229.65391029],[292.70214671 238.24091109],[309.75639471 203.33485677],[321.13633582 178.82541191],[331.81820068 158.92517952],[265.34949666 234.92264321],[260.44307922 191.21934451],[256.4792976  159.03387482],[252.57978373 129.24803769],[241.69854971 242.77276095],[240.49347694 220.1950583 ],[250.73549618 245.24572472],[254.82699493 261.59209485],[220.86301544 252.70057062],[224.36079622 238.46729457],[233.0912478  258.31085077],[238.74960512 274.69101508]
[247.09742766 303.4241727 ],[276.16990332 298.75826745],[287.79522118 275.86029712],[273.26967828 255.53394643],[256.63598807 232.69133331],[289.8168195  234.28732892],[302.79055883 201.16205745],[314.86366306 179.26982829],[324.4929751  159.05975284],[264.37121296 227.21196321],[258.94499523 188.71931666],[257.4655487 160.1840697],[256.33073351 133.51186497],[241.38815626 231.89653974],[237.75478707 216.6361628 ],[242.83838082 244.20602957],[242.58027524 260.3741396 ],[220.55593088 240.87876391],[222.3019967  229.70311292],[228.23532913 250.54427851],[231.34169668 267.32482304]
[249.71313678 299.05152272],[276.32435519 292.28882896],[283.94621794 271.10837459],[266.82442091 252.27331762],[249.52123199 232.84014317],[289.72391458 232.92484939],[301.9937606  202.18161555],[313.2343596  181.00786098],[321.56963669 158.59710347],[265.92209295 225.55320406],[261.28679237 186.27720966],[261.31915432 161.15566826],[259.69466818 138.46436568],[243.45628552 229.91247072],[234.74535196 208.13189909],[238.42023275 234.84126189],[238.07423648 251.23487162],[222.95421494 239.45760916],[218.90703545 224.69798615],[224.68685018 246.81374456],[227.73005909 265.90461027]
[245.09184654 303.61633973],[269.92547263 299.00949886],[281.0155783  275.33046384],[266.73709067 255.96999868],[250.5419077  238.29208557],[286.74798169 235.37004929],[299.61677491 207.32896702],[311.26046489 187.01383647],[320.90651293 167.06871605],[264.50860822 232.68922148],[257.22708383 193.61752673],[253.53038974 168.44886638],[250.82641594 145.571916  ],[244.42462764 239.0889478 ],[234.87954897 220.4012946 ],[242.13289442 243.10091053],[245.8547661 254.2561279],[226.12394285 248.79765645],[220.99044142 236.91045398],[227.7169486  255.44373214],[232.89647145 268.65259421]
[247.76350478 312.22562211],[272.83291227 302.93850659],[282.28244695 277.39535518],[266.23926497 258.86621343],[250.37097936 241.14519447],[285.18640669 240.26382121],[296.19585608 214.39526827],[305.43396208 193.97058045],[313.76691629 173.78176009],[261.79553233 235.81741887],[256.38247792 200.93724865],[255.41681866 174.20394102],[254.90437183 151.52496383],[241.41108369 242.24386288],[238.70586756 229.47214625],[246.27190545 253.91074954],[249.38056265 266.65747454],[223.72640842 252.1444205 ],[225.11318693 243.30532176],[231.79098157 264.22770676],[235.31428233 279.45143574]
[562.06048339 463.48858077],[572.74103706 440.05450844],[566.86912348 415.82110818],[551.02328188 397.64233177],[542.93620581 391.2446749 ],[531.01759797 413.9833798 ],[504.45629085 378.56939452],[497.468464   364.35044364],[493.61825667 358.86928277],[512.8624683  427.63029264],[485.683918   387.44207595],[485.27250287 375.18695716],[486.80433542 372.55044135],[502.22854343 439.83334261],[477.18371483 404.05372556],[481.18463136 392.86532729],[485.82193088 389.59743238],[496.16135534 451.2840803 ],[479.5379235  425.74607944],[481.97042218 416.51864741],[483.06041543 413.79438139]
[562.12093679 464.24011119],[566.15666768 440.2611838 ],[562.51027368 414.49994699],[550.3141067  397.25938579],[538.16851138 396.30985498],[535.00743936 413.41148761],[513.82168445 378.12639023],[505.90730999 370.24088191],[503.26762168 369.62715284],[518.29892342 424.7316974 ],[494.4304686  386.16915849],[495.76280425 379.89352867],[500.79767281 380.34289348],[507.81838268 436.9927431 ],[482.54035795 402.86450694],[485.5259357  395.37541202],[492.5950954  393.78207565],[503.63393651 449.26015645],[482.0956177  423.57591984],[481.42117315 415.75362998],[483.26046952 412.3154307 ]
[566.32790368 469.16094464],[568.17373953 441.89563504],[557.47692106 416.50309497],[541.9440772  398.82399146],[532.06508523 396.59944249],[536.33397871 422.57197936],[511.25769465 385.38088049],[504.42660027 378.21498358],[500.56709233 376.45111037],[521.82736764 432.46383185],[493.97131813 390.95173459],[496.58161742 384.79735729],[500.40588002 385.8546169 ],[512.96819644 442.70748902],[484.65884894 405.30383938],[491.2827777  399.77832804],[498.63917005 400.09224945],[509.54211818 454.09702274],[487.76471885 425.32640591],[492.39879014 418.66105152],[496.83122781 416.50239147]
[243.83019161 293.15429335],[265.74791029 282.07307184],[271.88667549 261.40841678],[262.16548016 246.86490605],[249.24020986 231.64742908],[267.65480622 235.27913144],[275.58901978 215.63362057],[282.39492035 201.19920884],[290.76942839 183.36580062],[247.8055135  236.55469443],[240.10759295 208.21111157],[237.78239497 188.90830137],[238.21884295 168.95854935],[228.68577428 244.02703409],[228.99879171 226.76549478],[238.99058277 245.209284  ],[244.29175875 257.04073078],[214.30749168 254.03796231],[218.96609766 241.60473751],[227.21277334 252.20406785],[231.83000553 263.41007409]
[247.50066551 289.50796665],[265.46418965 279.17752654],[270.19775502 258.50730613],[264.41516411 241.31941596],[256.06098232 225.89734231],[267.75589075 238.34220333],[275.63778725 216.37787214],[281.24290032 202.11679121],[287.0576103 185.7540497],[249.84258104 240.18528544],[245.85452496 210.95147681],[246.82310447 191.92116456],[249.03568222 171.6345865 ],[231.83382029 246.06210804],[229.90770977 229.62267138],[236.04476286 246.3450362 ],[238.64565912 256.4887114 ],[217.23637002 252.83880067],[218.65087877 242.54352362],[224.17198454 252.45760507],[226.1959006  261.25548801]
[251.20333371 295.06087225],[265.74589548 290.32484068],[269.08582377 272.43593378],[257.34536477 258.07187536],[243.43711309 247.20714514],[277.70260492 242.93569437],[288.29569994 226.08392541],[293.65840201 212.07733474],[297.31138884 198.55528949],[260.27426012 241.44942235],[258.5111927 217.1960136],[258.76428532 200.7481563 ],[259.04798493 187.68840977],[243.62576465 245.63785541],[239.49615218 237.87779065],[243.42183945 253.29730642],[244.85055288 261.20519151],[228.34269715 252.30893743],[227.98724935 248.61236685],[231.73830971 261.25521383],[233.36481713 268.36835051]
[269.57605556 300.68205984],[282.86232996 296.66560478],[288.79127212 280.73673705],[278.97418088 268.3217006 ],[265.97016899 257.30173735],[294.35963005 253.97389396],[302.61824852 236.96900701],[309.07620957 222.50439476],[313.99741982 208.71574327],[278.28157501 251.82675421],[273.20691201 225.88673115],[271.92118397 207.88710318],[270.72987322 193.14149531],[262.69773596 256.22033823],[256.64063573 246.21407674],[262.55774582 262.41526603],[266.14211353 272.92306367],[249.29695614 263.31716637],[245.98891027 258.51481749],[249.78889516 269.13453594],[253.64409284 277.1320908 ]
[277.85582122 304.72881523],[290.74812604 299.29613688],[297.3553572  282.88531566],[289.21369258 269.67890771],[276.17794189 259.09748825],[306.45377098 255.79416884],[316.17694246 238.93534476],[322.35495101 225.47286961],[326.83414559 212.69346035],[291.25052437 252.72536952],[287.89602696 227.00036399],[286.91138359 209.95740874],[284.1919188  196.06344636],[276.58566297 255.92797093],[270.64937741 246.83366882],[275.72031202 263.51420321],[277.59630528 273.13032247],[262.69609773 261.02599854],[260.28850086 256.26635459],[263.92198934 268.02350584],[266.49668059 275.9636066 ]
[284.70465707 299.19280495],[299.11303236 297.06671824],[303.42372123 282.84267856],[295.14679591 271.2139892 ],[284.55997226 261.81601869],[308.84390751 256.10432405],[317.29469751 238.5531726 ],[324.27561922 225.16145039],[329.53183861 211.35057618],[293.86898105 254.45511853],[290.69487825 227.79715905],[290.31854157 211.67159196],[289.2225254  196.51951545],[279.69915809 257.00728077],[273.96329538 245.46635345],[277.67309271 262.9814569 ],[279.14229526 273.56626555],[266.48885788 261.0244436 ],[264.15356254 255.02998022],[267.14059841 266.73232173],[269.4759952  274.78387259]
[292.52771382 296.10104369],[305.79633406 294.49678646],[311.88457925 280.48586596],[304.59131952 270.14147025],[294.94643441 260.91280458],[315.62768321 253.37855344],[323.46315484 236.17874563],[329.41191617 223.08483368],[333.26582596 210.4386396 ],[301.05186765 252.15455785],[295.75980509 227.32194253],[294.30253439 210.99348531],[292.69088719 195.9837916 ],[287.62287435 255.7446073 ],[281.15851662 245.47965009],[285.47465595 263.33532618],[287.51249775 274.78691576],[274.97507914 260.82620316],[271.70011487 255.78142016],[275.08001005 267.05588368],[277.5711788  275.21548849]
[302.67706779 293.82084135],[315.2744462  292.76739555],[320.86754659 279.02129389],[311.46463973 269.44227912],[300.41223841 261.16404016],[324.06993384 253.22056329],[331.7723225 235.0731468],[338.25293594 222.28130868],[344.32727348 209.94508276],[309.20993487 249.77539254],[305.65367675 223.21646409],[303.28826332 206.52541903],[301.32471494 192.21397456],[295.6437727  253.38818963],[293.00697279 241.89105287],[297.95776242 258.21927245],[301.01567444 268.66353299],[283.81119234 258.46953623],[283.78317483 251.7169329 ],[286.85309865 262.09249824],[289.86350855 270.60540183]
[310.27627432 292.11475348],[324.54889831 289.96916057],[328.78916225 275.93102703],[320.57793996 263.99469137],[310.40370954 252.96446314],[333.95160256 248.69740849],[341.19286376 230.23758131],[346.55158868 216.80590222],[350.75271344 205.00140943],[318.49817781 247.35329007],[314.04259311 220.91773366],[311.52106139 204.04374645],[308.22163416 189.64349589],[303.64940241 250.76773579],[297.1241185  241.32612031],[303.526697   256.27871393],[306.88594474 264.98327589],[290.35744365 256.23811122],[288.46206587 252.58627163],[293.14213282 262.96622942],[297.04758464 270.7324378 ]
[316.5462957  288.94011298],[331.43821747 288.36887578],[335.43806204 272.73721626],[327.78118892 260.58817738],[317.50698496 250.6051492 ],[341.88399001 246.41134764],[349.45267209 226.99127924],[355.29397821 214.16511507],[359.89573092 203.7475792 ],[326.28981791 245.08079387],[322.10135398 218.56197926],[320.24339259 202.15131686],[317.35049049 188.57530219],[311.65244752 248.65876412],[305.82497786 239.17007156],[310.4772683  255.18315056],[312.99484217 264.43481914],[298.46720275 254.11866474],[297.99953528 248.5968237 ],[301.18290065 258.84254432],[303.81212002 266.50143866]
[325.77131021 280.87001177],[340.66472588 280.45341745],[343.76472051 267.42468502],[336.21369258 257.53859288],[324.34178104 246.62841951],[350.60127783 243.65476781],[359.11472062 224.85781503],[366.61338053 213.33477643],[372.78621388 201.75416599],[335.269808   242.37303176],[329.81078116 215.16408379],[327.19851971 198.59257872],[323.92213832 183.46147968],[320.51152609 244.75089283],[315.21136015 234.80530862],[320.42054266 250.93300872],[323.63138442 259.83671196],[308.21503974 249.04984576],[306.96515546 245.6886064 ],[310.97388927 256.47896241],[314.36505252 264.44686534]
[337.42461281 289.14091949],[350.49079472 287.05386164],[354.22840458 270.39305191],[345.99387921 256.32393121],[335.01347629 243.55137497],[363.77991056 247.57312066],[372.70980163 227.34341015],[379.69141404 213.40387449],[383.85937723 200.50104649],[348.85937715 244.78277886],[345.1814097  218.27412997],[345.14531762 200.04625864],[343.15399561 185.35348724],[334.4134103  246.30779862],[328.72824388 233.91959495],[332.44697566 249.96864279],[334.16077593 261.51833732],[323.26408456 250.67558364],[320.54502714 245.58295642],[323.02464474 256.50526198],[325.45300787 265.34848535]
[349.25616242 286.5311039 ],[366.42815973 281.57838828],[370.86062928 264.53168318],[363.47180598 250.35645256],[351.49117861 238.94807484],[375.35143944 240.86233367],[386.06998052 221.42122042],[393.75074101 208.71048539],[398.27169624 197.60892699],[359.53569884 239.44173181],[354.84009146 212.21982586],[353.30161107 195.1657702 ],[349.56371613 181.85869373],[344.59803652 242.78465141],[340.90372009 230.96268549],[347.10096089 245.54585274],[349.29976271 256.38140977],[332.06200385 248.08418289],[331.98182748 242.39620192],[336.80726499 252.78456839],[339.62118241 261.30743168]
